process_id,episode_id,removed_weeks,remaining_weeks,spearman_without_event
R7R__RB06__GAM,E017,0,404,0.04024104222845779
R7R__RB06__GAM,E022,53,351,-0.06039541207306229
R7R__RB06__GAM,E024,41,363,0.06423583793201526
R7R__RB06__GAM,E025,42,362,0.051755169157477916
R7R__RB06__GAM,E028,38,366,0.10170300548880624
R7R__RB06__LGBM,E014,0,404,0.02381484297577767
R7R__RB06__LGBM,E017,0,404,0.02381484297577767
R7R__RB06__LGBM,E022,53,351,0.056330778733614445
R7R__RB06__LGBM,E024,41,363,0.02452903385088507
R7R__RB06__LGBM,E025,42,362,0.00702144808307788
R7R__RB06__LGBM,E028,38,366,0.0004788938705576357
R7R__RB06__RIDGE,E014,0,404,0.12482302863507391
R7R__RB06__RIDGE,E017,0,404,0.12482302863507391
R7R__RB06__RIDGE,E022,53,351,0.04134536492961033
R7R__RB06__RIDGE,E024,41,363,0.15640056331641705
R7R__RB06__RIDGE,E025,42,362,0.11830943259300522
R7R__RB06__RIDGE,E028,38,366,0.18875005021327793
R7R__RB07__GAM,E014,0,404,0.12760276264099213
R7R__RB07__GAM,E017,0,404,0.12760276264099213
R7R__RB07__GAM,E022,53,351,0.05338225012541012
R7R__RB07__GAM,E024,41,363,0.16895735304585302
R7R__RB07__GAM,E025,42,362,0.15914662550941128
R7R__RB07__GAM,E028,38,366,0.17882758391994646
R7R__RB07__LGBM,E014,0,404,0.15779418605871776
R7R__RB07__LGBM,E017,0,404,0.15779418605871776
R7R__RB07__LGBM,E022,53,351,0.14051256530688994
R7R__RB07__LGBM,E024,41,363,0.17404688631281523
R7R__RB07__LGBM,E025,42,362,0.15523936413939296
R7R__RB07__LGBM,E028,38,366,0.15162101993655872
R7R__RB07__RIDGE,E014,0,404,0.19589828121465735
R7R__RB07__RIDGE,E017,0,404,0.19589828121465735
R7R__RB07__RIDGE,E022,53,351,0.12068562770559815
R7R__RB07__RIDGE,E024,41,363,0.24840510333944518
R7R__RB07__RIDGE,E025,42,362,0.20579945510715308
R7R__RB07__RIDGE,E028,38,366,0.25976948030069247
R7R__RB08__GAM,E014,0,404,0.10740649220203291
R7R__RB08__GAM,E017,0,404,0.10740649220203291
R7R__RB08__GAM,E022,53,351,0.033457411529159396
R7R__RB08__GAM,E024,41,363,0.13222648105547605
R7R__RB08__GAM,E025,42,362,0.14175265756807828
R7R__RB08__GAM,E028,38,366,0.15336498503642743
R7R__RB08__LGBM,E014,0,404,0.1290617342532654
R7R__RB08__LGBM,E017,0,404,0.1290617342532654
R7R__RB08__LGBM,E022,53,351,0.1217723432688053
R7R__RB08__LGBM,E024,41,363,0.12351885032343515
R7R__RB08__LGBM,E025,42,362,0.1412367487692162
R7R__RB08__LGBM,E028,38,366,0.11332624326218847
R7R__RB08__RIDGE,E014,0,404,0.17647523471344048
R7R__RB08__RIDGE,E017,0,404,0.17647523471344048
R7R__RB08__RIDGE,E022,53,351,0.1038097062455825
R7R__RB08__RIDGE,E024,41,363,0.21343459474508444
R7R__RB08__RIDGE,E025,42,362,0.17220271653465527
R7R__RB08__RIDGE,E028,38,366,0.23640504187875183
