transfer_id,path_type,cost_bps,terminal,cagr,sharpe,mdd,cumulative_l1_turnover,mean_actual_long_exposure,event_count
R9__MOM255__TOP10__MONTHLY,matched_static,0.0,1.1515544627917906,0.03590784181592532,0.26821779461790785,-0.38929565988204584,28.946000463744006,0.7331362913708672,222
R9__MOM255__TOP10__MONTHLY,matched_static,5.0,1.1350055296462307,0.03216586982012237,0.25270310503217336,-0.3941134798461392,28.946000463744006,0.7331362913708672,222
R9__MOM255__TOP10__MONTHLY,matched_static,10.0,1.1186894660893731,0.028436276159448992,0.23718071519920844,-0.39889486988506917,28.946000463744006,0.7331362913708672,222
R9__MOM255__TOP10__MONTHLY,matched_static,20.0,1.0867431612233522,0.021014074905335578,0.206116457199324,-0.40834941288697413,28.946000463744006,0.7331362913708672,222
R9__MOM255__TOP10__MONTHLY,naked,0.0,1.1307739670378345,0.031202483720344176,0.2564708059956485,-0.5097955856980021,38.01429103002542,1.0,48
R9__MOM255__TOP10__MONTHLY,naked,5.0,1.1094795908190198,0.026312998584300695,0.24154365761041174,-0.5148868986177483,38.01429103002542,1.0,48
R9__MOM255__TOP10__MONTHLY,naked,10.0,1.088577267531424,0.021444596210996814,0.22660863569693862,-0.5199276749097412,38.01429103002542,1.0,48
R9__MOM255__TOP10__MONTHLY,naked,20.0,1.047920688936545,0.01177071211151226,0.1967184558249859,-0.5298595272814959,38.01429103002542,1.0,48
R9__MOM255__TOP10__MONTHLY,p00_overlay,0.0,1.472246801518249,0.10152702048067597,0.5388741543880365,-0.3522236166466225,43.32137763877814,0.7331362913708688,222
R9__MOM255__TOP10__MONTHLY,p00_overlay,5.0,1.44069507342288,0.0955772811564708,0.5151204106255859,-0.3551428281773694,43.32137763877814,0.7331362913708689,222
R9__MOM255__TOP10__MONTHLY,p00_overlay,10.0,1.4098102369425294,0.08965788271064512,0.4913456525264035,-0.3580499461620078,43.321377638778145,0.7331362913708688,222
R9__MOM255__TOP10__MONTHLY,p00_overlay,20.0,1.3499859244054613,0.07790952620104696,0.44374152210081735,-0.3638280846444103,43.32137763877814,0.7331362913708688,222
R9__MOM255__TOP10__WEEKLY,matched_static,0.0,1.0408236002236109,0.010053278810966626,0.15627640127417794,-0.3314209916709172,60.60573098921505,0.733007043594472,209
R9__MOM255__TOP10__WEEKLY,matched_static,5.0,1.009753866165396,0.0024295977728481244,0.12198403931239579,-0.3414609924676568,60.60573098921505,0.733007043594472,209
R9__MOM255__TOP10__WEEKLY,matched_static,10.0,0.9796060061680785,-0.005137960961265398,0.08769713588997638,-0.35135204516976937,60.60573098921505,0.733007043594472,209
R9__MOM255__TOP10__WEEKLY,matched_static,20.0,0.9219679554831737,-0.020106319871449063,0.0191497852564895,-0.3706960058918989,60.60573098921505,0.733007043594472,209
R9__MOM255__TOP10__WEEKLY,naked,0.0,0.9873476443895818,-0.003178208337357047,0.14142937951955448,-0.44421614758588024,82.64283190417731,1.0,209
R9__MOM255__TOP10__WEEKLY,naked,5.0,0.9473754446040448,-0.013424034965150322,0.10721660718214246,-0.45558493874365547,82.64283190417731,1.0,209
R9__MOM255__TOP10__WEEKLY,naked,10.0,0.9090118325264734,-0.02356714504091273,0.07300920892270017,-0.46672397635356333,82.64283190417731,1.0,209
R9__MOM255__TOP10__WEEKLY,naked,20.0,0.8368555472607035,-0.043549221872851485,0.0046205615199776395,-0.48833104756985846,82.64283190417731,1.0,209
R9__MOM255__TOP10__WEEKLY,p00_overlay,0.0,1.2981561016228007,0.06741113692856038,0.407038200396105,-0.29716113211132156,72.69994583111637,0.7330070435944732,209
R9__MOM255__TOP10__WEEKLY,p00_overlay,5.0,1.25180985256334,0.05775379302483219,0.3656902340779613,-0.3019918866175315,72.69994583111637,0.7330070435944732,209
R9__MOM255__TOP10__WEEKLY,p00_overlay,10.0,1.2071073338594833,0.04818145613420888,0.32433867563313534,-0.30679057434486023,72.69994583111637,0.7330070435944732,209
R9__MOM255__TOP10__WEEKLY,p00_overlay,20.0,1.1224038697789132,0.02928889889733277,0.24164455882747085,-0.31629256991108723,72.69994583111637,0.7330070435944731,209
R9__MOM255__TOP20__MONTHLY,matched_static,0.0,1.3640443946244134,0.08070491421405879,0.4877675868604995,-0.2710072555676927,25.765152154015833,0.7331222360169234,222
R9__MOM255__TOP20__MONTHLY,matched_static,5.0,1.3465823423666028,0.07722947703032257,0.4717379594026713,-0.2747273694484572,25.765152154015837,0.7331222360169232,222
R9__MOM255__TOP20__MONTHLY,matched_static,10.0,1.3293391899414981,0.07376427877669944,0.4556939748929561,-0.2787585274142449,25.765152154015837,0.7331222360169233,222
R9__MOM255__TOP20__MONTHLY,matched_static,20.0,1.2954988723765513,0.06686448928935884,0.4235669104385173,-0.28675742859567765,25.765152154015837,0.7331222360169233,222
R9__MOM255__TOP20__MONTHLY,naked,0.0,1.4432693041550966,0.09606634733834696,0.47265663271794117,-0.36831978699315404,33.857253502495496,0.9998306725961692,48
R9__MOM255__TOP20__MONTHLY,naked,5.0,1.4190377883003156,0.09143654204147,0.4572255103511952,-0.37292876479999104,33.857253502495496,0.9998306725961692,48
R9__MOM255__TOP20__MONTHLY,naked,10.0,1.3952040697567616,0.08682453393330469,0.44177989372654025,-0.3775060907434101,33.857253502495496,0.9998306725961692,48
R9__MOM255__TOP20__MONTHLY,naked,20.0,1.3487045943918836,0.07765366247888661,0.4108489933975434,-0.3872995021427833,33.857253502495496,0.9998306725961692,48
R9__MOM255__TOP20__MONTHLY,p00_overlay,0.0,1.7192407698698697,0.1450756390464769,0.802489727538853,-0.26085521295847924,40.78534392058906,0.7331222360169238,222
R9__MOM255__TOP20__MONTHLY,p00_overlay,5.0,1.684530919812273,0.13925186111799515,0.7760404849626308,-0.2634494295255656,40.785343920589064,0.7331222360169237,222
R9__MOM255__TOP20__MONTHLY,p00_overlay,10.0,1.6505120224488974,0.13345601894161074,0.7495500406749424,-0.266035424401888,40.785343920589064,0.7331222360169238,222
R9__MOM255__TOP20__MONTHLY,p00_overlay,20.0,1.5844931076590654,0.12194763801062947,0.6964574008886022,-0.27118284249475677,40.78534392058906,0.7331222360169238,222
R9__MOM255__TOP20__WEEKLY,matched_static,0.0,1.193938908335868,0.045311013832064484,0.32498182674895504,-0.27061972940051715,52.54393958013826,0.7330234057882233,209
R9__MOM255__TOP20__WEEKLY,matched_static,5.0,1.1629779528021182,0.038467406888544886,0.29136887768174324,-0.27405035415988876,52.54393958013826,0.7330234057882233,209
R9__MOM255__TOP20__WEEKLY,matched_static,10.0,1.1328154232827012,0.03166759237560712,0.25775714757620677,-0.28183085785328643,52.54393958013826,0.7330234057882233,209
R9__MOM255__TOP20__WEEKLY,matched_static,20.0,1.0748042626895582,0.018198247128823786,0.19054589181599552,-0.29714610071293435,52.54393958013826,0.7330234057882233,209
R9__MOM255__TOP20__WEEKLY,naked,0.0,1.2038865269479317,0.047481565332146536,0.30828593419699124,-0.36226076040457933,71.65249211145189,0.9999724992548188,209
R9__MOM255__TOP20__WEEKLY,naked,5.0,1.1615150095275861,0.038140673247064605,0.27476218757013954,-0.3715805810288596,71.65249211145189,0.9999724992548188,209
R9__MOM255__TOP20__WEEKLY,naked,10.0,1.1206265912762696,0.028881197993446905,0.2412398776913157,-0.38076612966284107,71.65249211145189,0.9999724992548188,209
R9__MOM255__TOP20__WEEKLY,naked,20.0,1.0430943374214847,0.01060373027720174,0.1742080634442347,-0.39874201154221256,71.65249211145189,0.9999724992548188,209
R9__MOM255__TOP20__WEEKLY,p00_overlay,0.0,1.5013252664712642,0.10692628016162442,0.6309786470744594,-0.23553757119493535,64.78615559675153,0.7330234057882242,209
R9__MOM255__TOP20__WEEKLY,p00_overlay,5.0,1.4534668147501653,0.09799732009753193,0.5882340338219544,-0.23841804808563527,64.78615559675153,0.7330234057882242,209
R9__MOM255__TOP20__WEEKLY,p00_overlay,10.0,1.4071239983922148,0.08913845557005295,0.5454709132001276,-0.24128829886364833,64.78615559675153,0.7330234057882242,209
R9__MOM255__TOP20__WEEKLY,p00_overlay,20.0,1.3187960260157952,0.07162887575589982,0.4599107620319797,-0.2469982586006133,64.78615559675151,0.7330234057882242,209
R9__MOM255__TOP50__MONTHLY,matched_static,0.0,1.3953612554468235,0.0868551434425422,0.5521300860992652,-0.26579213362826437,22.87478878290343,0.7331946570835666,222
R9__MOM255__TOP50__MONTHLY,matched_static,5.0,1.3794909767275039,0.08375151108185452,0.5363323041282272,-0.26596236299398845,22.874788782903433,0.7331946570835666,222
R9__MOM255__TOP50__MONTHLY,matched_static,10.0,1.3637974397731087,0.08065599655349565,0.5205193946617784,-0.2664254129360979,22.87478878290343,0.7331946570835667,222
