transfer_id,cost_bps,overlay_to_naked_terminal_ratio,timing_value_vs_static,delta_sharpe_vs_naked,delta_mdd_vs_naked,overlay_terminal,naked_terminal,static_terminal,overlay_cagr,naked_cagr,overlay_sharpe,naked_sharpe,overlay_mdd,naked_mdd,overlay_turnover,naked_turnover,overlay_mean_actual_long_exposure,static_mean_actual_long_exposure,four_metric_gate
R9__MOM255__TOP10__MONTHLY,0.0,1.301981513931501,0.2784864711904138,0.28240334839238806,0.1575719690513796,1.472246801518249,1.1307739670378345,1.1515544627917906,0.10152702048067597,0.031202483720344176,0.5388741543880365,0.2564708059956485,-0.3522236166466225,-0.5097955856980021,43.32137763877814,38.01429103002542,0.7331362913708688,0.7331362913708672,True
R9__MOM255__TOP10__MONTHLY,5.0,1.2985322896830904,0.26932868236503626,0.27357675301517415,0.15974407044037886,1.44069507342288,1.1094795908190198,1.1350055296462307,0.0955772811564708,0.026312998584300695,0.5151204106255859,0.24154365761041174,-0.3551428281773694,-0.5148868986177483,43.32137763877814,38.01429103002542,0.7331362913708689,0.7331362913708672,True
R9__MOM255__TOP10__MONTHLY,10.0,1.2950943208097374,0.26023376430890455,0.2647370168294649,0.16187772874773343,1.4098102369425294,1.088577267531424,1.1186894660893731,0.08965788271064512,0.021444596210996814,0.4913456525264035,0.22660863569693862,-0.3580499461620078,-0.5199276749097412,43.321377638778145,38.01429103002542,0.7331362913708688,0.7331362913708672,True
R9__MOM255__TOP10__MONTHLY,20.0,1.2882520009939484,0.24223089003456466,0.24702306627583145,0.16603144263708558,1.3499859244054613,1.047920688936545,1.0867431612233522,0.07790952620104696,0.01177071211151226,0.44374152210081735,0.1967184558249859,-0.3638280846444103,-0.5298595272814959,43.32137763877814,38.01429103002542,0.7331362913708688,0.7331362913708672,True
R9__MOM255__TOP10__WEEKLY,0.0,1.3147913088154206,0.24723930293654406,0.2656088208765505,0.14705501547455868,1.2981561016228007,0.9873476443895818,1.0408236002236109,0.06741113692856038,-0.003178208337357047,0.407038200396105,0.14142937951955448,-0.29716113211132156,-0.44421614758588024,72.69994583111637,82.64283190417731,0.7330070435944732,0.733007043594472,True
R9__MOM255__TOP10__WEEKLY,5.0,1.3213450482522624,0.23971781095245226,0.2584736268958189,0.15359305212612395,1.25180985256334,0.9473754446040448,1.009753866165396,0.05775379302483219,-0.013424034965150322,0.3656902340779613,0.10721660718214246,-0.3019918866175315,-0.45558493874365547,72.69994583111637,82.64283190417731,0.7330070435944732,0.733007043594472,True
R9__MOM255__TOP10__WEEKLY,10.0,1.327933576512964,0.23223757945433698,0.25132946671043516,0.1599334020087031,1.2071073338594833,0.9090118325264734,0.9796060061680785,0.04818145613420888,-0.02356714504091273,0.32433867563313534,0.07300920892270017,-0.30679057434486023,-0.46672397635356333,72.69994583111637,82.64283190417731,0.7330070435944732,0.733007043594472,True
R9__MOM255__TOP10__WEEKLY,20.0,1.3412157850335111,0.2174000876100921,0.2370239973074932,0.17203847765877123,1.1224038697789132,0.8368555472607035,0.9219679554831737,0.02928889889733277,-0.043549221872851485,0.24164455882747085,0.0046205615199776395,-0.31629256991108723,-0.48833104756985846,72.69994583111637,82.64283190417731,0.7330070435944731,0.733007043594472,True
R9__MOM255__TOP20__MONTHLY,0.0,1.1912127313456093,0.2603994244214163,0.3298330948209118,0.1074645740346748,1.7192407698698697,1.4432693041550966,1.3640443946244134,0.1450756390464769,0.09606634733834696,0.802489727538853,0.47265663271794117,-0.26085521295847924,-0.36831978699315404,40.78534392058906,33.857253502495496,0.7331222360169238,0.7331222360169234,True
R9__MOM255__TOP20__MONTHLY,5.0,1.1870937713575322,0.25096762879849566,0.3188149746114356,0.10947933527442544,1.684530919812273,1.4190377883003156,1.3465823423666028,0.13925186111799515,0.09143654204147,0.7760404849626308,0.4572255103511952,-0.2634494295255656,-0.37292876479999104,40.785343920589064,33.857253502495496,0.7331222360169237,0.7331222360169232,True
R9__MOM255__TOP20__MONTHLY,10.0,1.182989684610543,0.24160337326813752,0.3077701469484021,0.11147066634152214,1.6505120224488974,1.3952040697567616,1.3293391899414981,0.13345601894161074,0.08682453393330469,0.7495500406749424,0.44177989372654025,-0.266035424401888,-0.3775060907434101,40.785343920589064,33.857253502495496,0.7331222360169238,0.7331222360169233,True
R9__MOM255__TOP20__MONTHLY,20.0,1.1748259138788626,0.22307563630091276,0.2856084074910588,0.11611665964802653,1.5844931076590654,1.3487045943918836,1.2954988723765513,0.12194763801062947,0.07765366247888661,0.6964574008886022,0.4108489933975434,-0.27118284249475677,-0.3872995021427833,40.78534392058906,33.857253502495496,0.7331222360169238,0.7331222360169233,True
R9__MOM255__TOP20__WEEKLY,0.0,1.2470654275676571,0.257455683862281,0.32269271287746815,0.12672318920964398,1.5013252664712642,1.2038865269479317,1.193938908335868,0.10692628016162442,0.047481565332146536,0.6309786470744594,0.30828593419699124,-0.23553757119493535,-0.36226076040457933,64.78615559675153,71.65249211145189,0.7330234057882242,0.7330234057882233,True
R9__MOM255__TOP20__WEEKLY,5.0,1.251354311246759,0.24978019681983943,0.31347184625181485,0.13316253294322433,1.4534668147501653,1.1615150095275861,1.1629779528021182,0.09799732009753193,0.038140673247064605,0.5882340338219544,0.27476218757013954,-0.23841804808563527,-0.3715805810288596,64.78615559675153,71.65249211145189,0.7330234057882242,0.7330234057882233,True
R9__MOM255__TOP20__WEEKLY,10.0,1.2556582266976695,0.24214763453221289,0.3042310355088119,0.13947783079919274,1.4071239983922148,1.1206265912762696,1.1328154232827012,0.08913845557005295,0.028881197993446905,0.5454709132001276,0.2412398776913157,-0.24128829886364833,-0.38076612966284107,64.78615559675153,71.65249211145189,0.7330234057882242,0.7330234057882233,True
R9__MOM255__TOP20__WEEKLY,20.0,1.2643113654282137,0.22701041649730636,0.285702698587745,0.15174375294159925,1.3187960260157952,1.0430943374214847,1.0748042626895582,0.07162887575589982,0.01060373027720174,0.4599107620319797,0.1742080634442347,-0.2469982586006133,-0.39874201154221256,64.78615559675151,71.65249211145189,0.7330234057882242,0.7330234057882233,True
R9__MOM255__TOP50__MONTHLY,0.0,1.1263388155674263,0.20806805660975347,0.3250902190707503,0.16576696970017946,1.6856913601361898,1.4966112654893928,1.3953612554468235,0.13944801252121075,0.10605634760724225,0.8581735375212881,0.5330833184505378,-0.18792891604080053,-0.35369588574098,38.17684366646744,30.033787731155627,0.7331946570835671,0.7331946570835666,True
