transfer_id,cost_bps,year,active_log_return,positive
R9__MOM255__TOP50__WEEKLY,10.0,2018,0.040048898723304055,True
R9__MOM255__TOP50__WEEKLY,10.0,2019,0.04454169408074661,True
R9__MOM255__TOP50__WEEKLY,10.0,2020,0.1306083854983912,True
R9__MOM255__TOP50__WEEKLY,10.0,2021,-0.020228289226575824,False
R9__MOM255__TOP50__WEEKLY,20.0,2018,0.03482369192954795,True
R9__MOM255__TOP50__WEEKLY,20.0,2019,0.04037347200637035,True
R9__MOM255__TOP50__WEEKLY,20.0,2020,0.12763331920911036,True
R9__MOM255__TOP50__WEEKLY,20.0,2021,-0.0209054591835241,False
R9__MOM255__TOP50__MONTHLY,0.0,2018,0.04103939163048553,True
R9__MOM255__TOP50__MONTHLY,0.0,2019,0.04675598319747734,True
R9__MOM255__TOP50__MONTHLY,0.0,2020,0.11691909112808663,True
R9__MOM255__TOP50__MONTHLY,0.0,2021,-0.015692029777258892,False
R9__MOM255__TOP50__MONTHLY,5.0,2018,0.038139127191732465,True
R9__MOM255__TOP50__MONTHLY,5.0,2019,0.04422342296412906,True
R9__MOM255__TOP50__MONTHLY,5.0,2020,0.1149925532517479,True
R9__MOM255__TOP50__MONTHLY,5.0,2021,-0.01598491889275311,False
R9__MOM255__TOP50__MONTHLY,10.0,2018,0.03523795218977341,True
R9__MOM255__TOP50__MONTHLY,10.0,2019,0.04168999285011318,True
R9__MOM255__TOP50__MONTHLY,10.0,2020,0.11306554956743181,True
R9__MOM255__TOP50__MONTHLY,10.0,2021,-0.01627801140475385,False
R9__MOM255__TOP50__MONTHLY,20.0,2018,0.02943286799001983,True
R9__MOM255__TOP50__MONTHLY,20.0,2019,0.03662052025794045,True
R9__MOM255__TOP50__MONTHLY,20.0,2020,0.10921014384356889,True
R9__MOM255__TOP50__MONTHLY,20.0,2021,-0.016864807692234335,False
