attack_arm_id,cost_bps,common_start,mean_daily_target_weight,dynamic_cagr,dynamic_sharpe,dynamic_mdd,dynamic_ann_vol,dynamic_beta,dynamic_turnover,dynamic_cost,static_cagr,static_mdd,active_terminal_wealth
A4__RV21_LVL,0,2009-01-05,0.6661063569682152,0.09423234504298428,0.905736501915902,-0.18357287582883597,0.10561634402700452,0.5662230904287869,51.46535638427532,0.0,0.10696946637126903,-0.23587131107637982,-0.1395204339521542
A4__RV21_LVL,5,2009-01-05,0.6661063569682152,0.09206562073441171,0.8867998992558341,-0.18382017191171596,0.10563850766873906,0.566330045331334,51.46535638427531,0.04707878248508392,0.10683647321588086,-0.23590447555896688,-0.16007372064220737
A4__RV21_LVL,10,2009-01-05,0.6661063569682152,0.08990266728961371,0.8678354952070932,-0.1840674445625503,0.10566502342739602,0.5664369008300904,51.46535638427532,0.09278906414014798,0.10670348618201309,-0.2359376389417599,-0.1801410541386782
A4__RV21_LVL,20,2009-01-05,0.6661063569682152,0.0855880503278772,0.8298328478699264,-0.18456191957382473,0.1057310976607105,0.5666503120583353,51.46535638427532,0.1802504405562968,0.10643753046011928,-0.2360039624080681,-0.21886308560083556
A4__RV126_LVL,0,2009-01-05,0.5922982885085575,0.07925598814226409,0.8073119770299573,-0.2142669963754742,0.10080470157878169,0.5454713450479812,12.864151901035882,0.0,0.0957926834534828,-0.2119527004762004,-0.1791690141733795
A4__RV126_LVL,5,2009-01-05,0.5922982885085575,0.07872142387694603,0.8023438621564649,-0.21468962617181853,0.10081226984900751,0.5455035660367312,12.864151901035882,0.012117750278638392,0.0956552624155238,-0.21198958555746605,-0.1831030934360064
A4__RV126_LVL,10,2009-01-05,0.5922982885085575,0.07818701458319732,0.797368607034361,-0.21511212915981737,0.10082083524750621,0.5455357267205033,12.864151901035882,0.024149084833019807,0.09551785074575592,-0.21202646931884428,-0.18701931665997806
A4__RV126_LVL,20,2009-01-05,0.5922982885085575,0.07711866081943608,0.787397282264206,-0.21595675475346277,0.10084095638339344,0.545599866703577,12.864151901035886,0.04795471541521656,0.09524305549640455,-0.2121002328820757,-0.19479850064636994
A4__RV_RATIO_LVL,0,2009-01-05,0.690403422982885,0.11015308509317734,0.9112418933633716,-0.2713169972047099,0.1230145520390862,0.6493435074333632,49.121176752993605,0.0,0.11063541152520973,-0.2436179779280735,-0.005624092980911821
A4__RV_RATIO_LVL,5,2009-01-05,0.690403422982885,0.10805486198010383,0.895806231776982,-0.2713169972047095,0.12302262893559629,0.6493967141791634,49.1211767529936,0.052871998572856106,0.11050502721483824,-0.24364959842135325,-0.028271862224821365
