experiment_id,batch_id,status,assessment,run_id,formal_eligible,lockbox_authorized,mom255_transfer_authorized
R3A__ASYMMETRIC_REENTRY,R3A_ASYMMETRIC_REENTRY,completed,completed_no_reentry_candidate_fast_price_exit_lost_defense_value,r3a-asymmetric-reentry-development-v1,false,false,false
R3B__RECOVERY_PERSISTENCE,R3B_RECOVERY_PERSISTENCE,completed,completed_no_persistence_candidate_model_and_economic_gates_failed,r3b-recovery-persistence-development-v1,false,false,false
