policy_id,cost_bps,mean_target_weight,dynamic_terminal,static_terminal,active_terminal_wealth,dynamic_cagr,dynamic_sharpe,dynamic_mdd,static_cagr,static_sharpe,static_mdd,dynamic_turnover
P00_RSP_Y5_CLEAR,0,0.7451564828614009,3.0578430682534212,2.351055020863425,0.30062590671758427,0.15018401272973425,1.265590793511486,-0.18121092841261033,0.11295347886217488,0.9091954043079243,-0.2608470415914501,28.222122062930094
P00_RSP_Y5_CLEAR,5,0.7451564828614009,3.0149914895188754,2.348836583838772,0.2836105799201183,0.148153746036209,1.2503090908795529,-0.18125027322863763,0.11282195716457144,0.9082410521091268,-0.26087463387755083,28.222122062930097
P00_RSP_Y5_CLEAR,10,0.7451564828614009,2.972730193037078,2.3466199098223615,0.26681367553133617,0.14612656957794723,1.23498978759758,-0.18128961659821707,0.11269043140350599,0.9072857651913946,-0.260902225377164,28.222122062930097
P00_RSP_Y5_CLEAR,20,0.7451564828614009,2.8899465916266007,2.3421918456828994,0.2338641674264712,0.14208147153869555,1.204244169523885,-0.18136829899818352,0.11242736765370376,0.9053724002730371,-0.26095740601699446,28.222122062930097
P01_RSP_RAW_RECOVERY,0,0.6005961251862891,2.30657060685398,2.0319296675521974,0.13516262087586628,0.11029519653922737,1.1092096195349535,-0.1812109284126101,0.09281322964271066,0.9217872482956114,-0.2146709583957187,7.65809923829457
P01_RSP_RAW_RECOVERY,5,0.6005961251862891,2.2977545927074887,2.0298541990608694,0.1319801164884482,0.10976305403804143,1.1045396642237217,-0.18125027322863785,0.09267343056786537,0.920505807836325,-0.2147075002932094,7.658099238294567
P01_RSP_RAW_RECOVERY,10,0.6005961251862891,2.288970424376733,2.027780661626368,0.12880572721355343,0.10923105434329639,1.0998565748199847,-0.18128961659821696,0.09253363663708458,0.9192234334992135,-0.2147440408908613,7.658099238294568
P01_RSP_RAW_RECOVERY,20,0.6005961251862891,2.2714971915636135,2.0236393731434332,0.1224812195836893,0.10816748330700943,1.0904515264134995,-0.18136829899818374,0.09225406418843374,0.9166559009944389,-0.2148171181867795,7.658099238294568
P02_RSP_A4_ISOTONIC,0,0.7451564828614009,3.0578430682534212,2.351055020863425,0.30062590671758427,0.15018401272973425,1.265590793511486,-0.18121092841261033,0.11295347886217488,0.9091954043079243,-0.2608470415914501,28.222122062930094
P02_RSP_A4_ISOTONIC,5,0.7451564828614009,3.0149914895188754,2.348836583838772,0.2836105799201183,0.148153746036209,1.2503090908795529,-0.18125027322863763,0.11282195716457144,0.9082410521091268,-0.26087463387755083,28.222122062930097
P02_RSP_A4_ISOTONIC,10,0.7451564828614009,2.972730193037078,2.3466199098223615,0.26681367553133617,0.14612656957794723,1.23498978759758,-0.18128961659821707,0.11269043140350599,0.9072857651913946,-0.260902225377164,28.222122062930097
P02_RSP_A4_ISOTONIC,20,0.7451564828614009,2.8899465916266007,2.3421918456828994,0.2338641674264712,0.14208147153869555,1.204244169523885,-0.18136829899818352,0.11242736765370376,0.9053724002730371,-0.26095740601699446,28.222122062930097
