group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,target_gross_exposure,target_net_exposure,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,high_vol_rebalance_count,high_vol_rebalance_fraction,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G21,G21__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,0.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,3.4424076894824553,0.19254843327288262,0.3958982076710005,0.6442795275459617,0.5738784100065126,0.8130376291937383,-0.6157149378522417,453.0,0.3127233423059976,1.1353310516223374,13.67504655618583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.10011524754122153,0.04042747762435599,1.5222720145808881,0.019187181526169456,0.03374318432013551,0.28539522462177813,0.3507951041363776,26,0.2549019607843137,-0.03536405015390737,-0.11593044614896952,-0.16685224064733561,0.05263760208255197,4.766682727359365
G21,G21__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,5.0,0.0,True,,True,1.0,1.0,True,0,0,2134.0,3.1924002809213334,0.1844192054112077,0.3958695159619373,0.6270160042698362,0.5566102166553418,0.7879194601296671,-0.6160992229143893,453.0,0.2993336114576367,1.1353310516223374,13.67504655618583,0.08886654710973749,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.09326265945734435,0.03333521050700032,1.5221013647654544,0.012361036290354835,0.026912489564988207,0.28537744222172023,0.3268045951049108,26,0.2549019607843137,-0.03803497683050988,-0.12021649708796511,-0.16238668493287323,0.05261326113262549,4.766682727359365
G21,G21__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,10.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,2.956294800562631,0.17633949846897634,0.39585308770174815,0.6097310884402248,0.5393227986098585,0.762819876909783,-0.6164835079765372,459.0,0.28604090164191004,1.1353310516223374,13.67504655618583,0.17203066229696642,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.08641007137346698,0.026286147442300917,1.5219307149500219,0.005534891054539832,0.02008179480984079,0.2853766727771363,0.3027930437781387,26,0.2549019607843137,-0.04067841783193327,-0.12451155130251201,-0.1579616379781052,0.05259606935412098,4.766682727359367
G21,G21__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,20.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,2.522776181888847,0.16032758018684024,0.39585702649551496,0.5751034909611127,0.5046967024467672,0.7126803766032684,-0.6172520781008326,463.0,0.2597440913931594,1.1353310516223374,13.67504655618583,0.3225906754692631,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.07270489520571263,0.012316702440816995,1.521589415319155,-0.008117399417089546,0.006420405299546243,0.2854261702625529,0.25472399793906114,26,0.2549019607843137,-0.04588358977808976,-0.13312458028753205,-0.14923179127548042,0.05258313864399017,4.766682727359365
G21,G21__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,0.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,4.441128972080272,0.22145118933317853,0.38092906342579613,0.716936770272322,0.6437674202840601,0.9157243015386265,-0.6307949400054944,478.0,0.3510668448469952,1.122119973705853,13.515919308404518,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.11814818978200708,0.0656434107849716,1.4709588154347533,0.045171302179748865,0.05829651575704769,0.2712949353854134,0.4354972186051341,26,0.2549019607843137,-0.006461294093611458,-0.046041435871422065,-0.18193224280058828,0.037668457837347624,4.607555479578053
G21,G21__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,5.0,0.0,True,,True,1.0,1.0,True,0,0,2134.0,4.138379108062233,0.21322152476895284,0.3809382514370503,0.6991751768924644,0.6260081940563144,0.8897213075804877,-0.6311641450654889,488.0,0.3378226194183277,1.122119973705853,13.515919308404518,0.0740873309427409,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.11138870668026203,0.05846351862683771,1.470802466898208,0.0384360458876617,0.05155717759605586,0.2713290553157607,0.4105299616756223,26,0.2549019607843137,-0.00923265747276475,-0.05081851968699258,-0.17745160708397278,0.037681996607738466,4.607555479578053
G21,G21__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,10.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,3.8522727421875747,0.20504139026097778,0.38095986032068685,0.6813922233522108,0.6082299738997937,0.8637358226900206,-0.6315333501254834,516.0,0.3246723078365328,1.122119973705853,13.515919308404518,0.14325664350626327,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.10462922357851671,0.0513268384926785,1.4706461183616637,0.03170078959557421,0.0448178394350639,0.27138060776976586,0.3855442156990163,26,0.2549019607843137,-0.011976526039931823,-0.05560437601257684,-0.17301148012705142,0.037702841973059675,4.607555479578055
G21,G21__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,20.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,3.326423382754757,0.18882865717373476,0.3810403310377625,0.6457692269955131,0.5726235368022943,0.8118239609629476,-0.6390939496267705,765.0,0.2954630649906955,1.122119973705853,13.515919308404518,0.2680314177311109,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.09111025737502662,0.03718219453464424,1.4703334212885748,0.01823027701139957,0.031339163113080326,0.27153596717544937,0.3355366079962326,26,0.2549019607843137,-0.017382512791195237,-0.065197745932005,-0.17107366280141828,0.03776644318623773,4.607555479578053
G21,G21__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,0.0,0.0,True,,False,1.0,0.0,True,1,0,2134.0,0.95205157079293,0.0821901168831638,0.216519504220936,0.47394182719298644,0.34525461085149695,0.4758696550011843,-0.46601473334653853,1483.0,0.17636806521746914,1.145803561786958,13.801187793895016,0.0,4.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0011819429718947351,0.5018846689958572,0.5030666119677517,1.004951280963609,-0.0011819429718947351,0.0,2134.0,-0.05233621319995373,-0.055853580278767634,0.214154487603295,0.06943358439471177,0.047542744315368556,0.2606371311120879,-0.2008010638263447,26,0.2549019607843137,0.014372098405635497,0.06552501469286515,-0.028885246590837133,-0.015898208490278898,4.361101461789048
G21,G21__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,0.0,0.01,True,,False,1.0,0.0,True,1,0,2134.0,0.8713041518051774,0.07680487288895033,0.21656451566377571,0.450848487557618,0.32218634533521806,0.44366053724179283,-0.4706172520264448,1484.0,0.16320029186825163,1.146079104346126,13.80450670014659,0.0,4.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0011829218270874454,0.5019959268104118,0.5031788486374994,1.0051747754479112,-0.0011829218270874454,0.04831415062648729,2134.0,-0.05731607830768231,-0.060551884908554746,0.21417661764987544,0.06445029015078486,0.04256008143316857,0.26067139867929817,-0.21987866178674173,26,0.2549019607843137,0.014320910245000429,0.06401415867915183,-0.02723238769904146,-0.015903536283174674,4.362020959682885
G21,G21__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,0.0,0.03,True,,False,1.0,0.0,True,1,0,2134.0,0.7217272016031504,0.06626359149162053,0.21665331233957333,0.4053379538670174,0.2767252397155108,0.38035959149516807,-0.4795778075313408,1502.0,0.13817067939969294,1.1466228403725829,13.811055992941364,0.0,4.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0011848543053993468,0.5022153798440658,0.5034002341494652,1.0056156139935308,-0.0011848543053993468,0.13759978700991768,2134.0,-0.06713605233110918,-0.06974852506936623,0.21422027621335282,0.05462355106430925,0.03273458792416692,0.2607390096799743,-0.25748372832093896,26,0.2549019607843137,0.014220367575710935,0.06103536355202707,-0.022496201217702905,-0.015914050459644363,4.363835163231613
