group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,base_target_gross_exposure,base_target_net_exposure,high_vol_rebalance_fraction,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G12,G12__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,0.0,0.0,True,,False,True,0,0,2134.0,1.1370988228257777,0.09382629686970256,0.18109923999121644,0.5864225254647057,0.43256904486241626,0.5830064572694835,-0.35414320582788805,1285.0,0.26493885898605013,0.4124557581465193,4.968023808527709,0.0,0.0,0.0,0.0,0.0,0.0,0.5260171635982661,0.2672226020731698,0.9733161718562475,1.0,0.0,0.5274571658347268,0.5274571658347268,0.0,0.5274571658347268,0.5274571658347268,0.0,2134.0,-0.04875318897795569,-0.04570170631306919,0.7072649439250178,-0.003392761305094059,-0.011540625318711351,0.1324120910031996,-0.3681928788268863,1.0,1.0,0.39215686274509803,-0.13408618655708743,-0.2572398112930659,0.09471949137701807,-0.16216136559723207,-3.9403400202987555
G12,G12__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,5.0,0.0,True,,True,True,0,0,2134.0,1.0926084592515632,0.0911122534644524,0.18109397335075678,0.5727120586684948,0.4188529585054016,0.5641850953998412,-0.35798350017272496,1288.0,0.2545152316251762,0.4124557581465193,4.968023808527709,0.02261972062378743,0.0,0.0,0.0,0.0,0.0,0.5260171635982661,0.2672226020731698,0.9733161718562475,1.0,0.0,0.5274571658347268,0.5274571658347268,0.0,0.5274571658347268,0.5274571658347268,0.0,2134.0,-0.05123916036317421,-0.0480695475306679,0.7072319259545469,-0.005873616428251134,-0.014022424656250861,0.13241406988026108,-0.3869616001495051,1.0,1.0,0.39215686274509803,-0.1313419287772652,-0.25797375523790533,0.09572903780879116,-0.16216228147855505,-3.9403400202987555
G12,G12__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,10.0,0.0,True,,False,True,0,0,2134.0,1.0490335562172466,0.08840427026740438,0.1810919957535933,0.5589906416553602,0.40512872064934136,0.5453766183668266,-0.3618021537498526,1372.0,0.24434423441416675,0.4124557581465193,4.968023808527709,0.04473938886642791,0.0,0.0,0.0,0.0,0.0,0.5260171635982661,0.2672226020731698,0.9733161718562475,1.0,0.0,0.5274571658347268,0.5274571658347268,0.0,0.5274571658347268,0.5274571658347268,0.0,2134.0,-0.053725131748392795,-0.05043210157756902,0.7071989079840768,-0.0083544715514084,-0.016504223993790357,0.13242054691080296,-0.4057159783865072,1.0,1.0,0.39215686274509803,-0.12861364603350522,-0.2587056292630292,0.09671971624857939,-0.16216502259403387,-3.9403400202987537
G12,G12__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,20.0,0.0,True,,False,True,0,0,2134.0,0.9645560388231416,0.08300643618395265,0.18109790794094913,0.5315179464464082,0.37765878129604646,0.5078013117176039,-0.3693749991977867,1391.0,0.22472131672210374,0.4124557581465193,4.968023808527709,0.0875214615037014,0.0,0.0,0.0,0.0,0.0,0.5260171635982661,0.2672226020731698,0.9733161718562475,1.0,0.0,0.5274571658347268,0.5274571658347268,0.0,0.5274571658347268,0.5274571658347268,0.0,2134.0,-0.058697074518829724,-0.05514139031032672,0.707132872043136,-0.013316181797722607,-0.02146782266886923,0.13244699233436188,-0.4431740840943312,1.0,1.0,0.39215686274509803,-0.12320473378097735,-0.2601625014382528,0.09864528762756547,-0.16217597991057567,-3.9403400202987555
G12,G12__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.0,True,,False,True,0,0,2134.0,0.7537149103774334,0.06858396640636921,0.16029857661186675,0.49418626816025407,0.3204007350122814,0.44233859167419426,-0.31205083807414213,1193.0,0.21978459288763041,0.6417328487074702,7.729663141132527,0.0,4.0,27.0,3.0,0.0,0.0,0.7969023373577576,0.2869551327139419,1.0,0.7352941176470589,0.0,0.0012570542087909397,0.40053341161205863,0.3992763574032677,0.7998097690153262,0.0012570542087909397,0.0,2134.0,-0.07573650728612465,-0.06772413616210003,0.010755368597998801,0.07755076945869861,0.04999735894923849,0.24844703113736982,-0.3048396551144492,1.0,0.0,0.20588235294117646,0.0007659479288409099,0.04067113885364959,0.12507864868155927,-0.07211913609934814,-1.710423190973441
G12,G12__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.01,True,,False,True,0,0,2134.0,0.6957200205792182,0.06434884926159157,0.1603281326587213,0.4693508650963265,0.2955917619726617,0.4076453453157598,-0.31779041341248515,1208.0,0.2024883273557662,0.6418650428085028,7.731255417221066,0.0,4.0,27.0,3.0,0.0,0.0,0.7969023373577576,0.2869551327139419,1.0,0.7352941176470589,0.0,0.00125699237101205,0.40060753081538236,0.39935053844437035,0.7999580692597528,0.00125699237101205,0.03451327039100745,2134.0,-0.07970371489069422,-0.07141902361945232,0.01074788034321646,0.07358472218813211,0.0460310496843021,0.24846721153824466,-0.3207816210326248,1.0,0.0,0.20588235294117646,0.00186488661764167,0.037419575316595455,0.12559445091491817,-0.07213991928822908,-1.7112303232426385
G12,G12__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.03,True,,False,True,0,0,2134.0,0.5869250731801379,0.056047192452224115,0.16038652271162399,0.4204084068811058,0.24670161001255553,0.3394953337098258,-0.32896761304761224,1310.0,0.1703729796772191,0.6421262622365927,7.73440180156016,0.0,4.0,27.0,3.0,0.0,0.0,0.7969023373577576,0.2869551327139419,1.0,0.7352941176470589,0.0,0.0012568694810265867,0.4007537113560554,0.3994968418750289,0.8002505532310845,0.0012568694810265867,0.09910581924571504,2134.0,-0.08752602015494954,-0.07866172472348329,0.010733127346351248,0.06576470295772678,0.03821051421412535,0.24850707884465015,-0.35220735184636287,1.0,0.0,0.20588235294117646,0.004003968536314517,0.031011733849071826,0.12811399326602568,-0.0721808400875937,-1.7128190281495916
G12,G12__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.0,True,,False,True,0,0,2134.0,0.6972375176458052,0.06446128193004674,0.16029057190019633,0.47008322458800406,0.2962837260407191,0.4085169361285327,-0.31826641075734363,1208.0,0.2025387529166377,0.6417328487074702,7.729663141132527,0.033262666094888954,4.0,27.0,3.0,0.0,0.0,0.7969023373577576,0.2869551327139419,1.0,0.7352941176470589,0.0,0.0012570542087909397,0.40053341161205863,0.3992763574032677,0.7998097690153262,0.0012570542087909397,0.0,2134.0,-0.07960395374344406,-0.07132093281292504,0.01080289330686992,0.07367595886416814,0.04612386647641205,0.24843482266472236,-0.3204218832513442,1.0,0.0,0.20588235294117646,0.001672589969466745,0.036872337943924804,0.12506407881076798,-0.07212331234193717,-1.710423190973441
G12,G12__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.01,True,,True,True,0,0,2134.0,0.6410992516883516,0.060241659772822365,0.16032013358191316,0.44524642605950077,0.2714733842807855,0.37390269776669,-0.3239554142692225,1221.0,0.18595663822663774,0.6418650428085028,7.731255417221066,0.03271630103342971,4.0,27.0,3.0,0.0,0.0,0.7969023373577576,0.2869551327139419,1.0,0.7352941176470589,0.0,0.00125699237101205,0.40060753081538236,0.39935053844437035,0.7999580692597528,0.00125699237101205,0.033913758493773205,2134.0,-0.08357189615061508,-0.07500230181654748,0.010795469138632642,0.06970916686054249,0.04215681426279414,0.24845499724300404,-0.33636633224517803,1.0,0.0,0.20588235294117646,0.0027631699475028637,0.03362012899624148,0.12636600468801373,-0.07214408255225435,-1.7112303232426385
G12,G12__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.03,True,,False,True,0,0,2134.0,0.5357882254351873,0.051970382397876325,0.16037853444212566,0.3963012209193289,0.22258053778276823,0.3059078795996883,-0.3350341016310455,1321.0,0.1551196792949406,0.6421262622365927,7.73440180156016,0.03167408052595303,4.0,27.0,3.0,0.0,0.0,0.7969023373577576,0.2869551327139419,1.0,0.7352941176470589,0.0,0.0012568694810265867,0.4007537113560554,0.3994968418750289,0.8002505532310845,0.0012568694810265867,0.09740307089184883,2134.0,-0.09139565364467662,-0.08221849867349944,0.010780842031635263,0.06188767589320962,0.03433481056177778,0.2484948529499007,-0.36779696866841344,1.0,0.0,0.20588235294117646,0.004885924010563425,0.027211025251467236,0.12881762362645927,-0.07218497758343714,-1.7128190281495916
