arm_id,quintile,weeks,cash_win_rate,mean_t1
R4B__RV21,1,178,0.4438202247191011,0.00023182232124650408
R4B__RV21,2,177,0.4350282485875706,0.0020102459411017893
R4B__RV21,3,177,0.4011299435028249,0.0003211049368077432
R4B__RV21,4,177,0.3672316384180791,0.003719762596625083
R4B__RV21,5,177,0.4293785310734463,0.0021389550333433464
R4B__RV126,1,178,0.43258426966292135,0.0004256857746237485
R4B__RV126,2,177,0.3954802259887006,0.001308802973066989
R4B__RV126,3,177,0.4124293785310734,0.0013975239524631072
R4B__RV126,4,177,0.4406779661016949,0.0012710715952813912
R4B__RV126,5,177,0.3954802259887006,0.004017711259941336
R4B__RV_RATIO,1,178,0.43258426966292135,0.0014088764451403821
R4B__RV_RATIO,2,177,0.4180790960451977,0.00293171361514569
R4B__RV_RATIO,3,177,0.4406779661016949,0.001069089293087857
R4B__RV_RATIO,4,177,0.4124293785310734,0.002080535321604715
R4B__RV_RATIO,5,177,0.3728813559322034,0.0009250261308469856
R4B__RET21,1,178,0.37640449438202245,0.0017453462536732003
R4B__RET21,2,177,0.4180790960451977,0.0019196505480848813
R4B__RET21,3,177,0.4689265536723164,-0.0008435399201444768
R4B__RET21,4,177,0.3785310734463277,0.002897669282393285
R4B__RET21,5,177,0.4350282485875706,0.0026942136824484983
R4B__RET126,1,178,0.4157303370786517,0.0012087872364915007
R4B__RET126,2,177,0.4011299435028249,0.001501341313970483
R4B__RET126,3,177,0.4576271186440678,0.0014897766159550005
R4B__RET126,4,177,0.3954802259887006,0.0007114488768609846
R4B__RET126,5,177,0.4067796610169492,0.0035050172100541525
R4B__SMA_GAP,1,178,0.449438202247191,-0.0003267502101851678
R4B__SMA_GAP,2,177,0.3559322033898305,0.003322665807805867
R4B__SMA_GAP,3,177,0.4350282485875706,0.0023003124539671756
R4B__SMA_GAP,4,177,0.4293785310734463,0.0016022899156501868
R4B__SMA_GAP,5,177,0.4067796610169492,0.0015265286389001425
R4B__DRAWDOWN252,1,178,0.449438202247191,-0.00019854164669303421
R4B__DRAWDOWN252,2,177,0.3954802259887006,0.0004662650286176056
R4B__DRAWDOWN252,3,177,0.4180790960451977,0.0016170365777896858
R4B__DRAWDOWN252,4,177,0.3898305084745763,0.003859533699485901
R4B__DRAWDOWN252,5,177,0.423728813559322,0.0026800286047714236
R4B__DOWNSIDE_VAR63,1,178,0.42134831460674155,0.0017146061167600383
R4B__DOWNSIDE_VAR63,2,177,0.4067796610169492,0.0005561915034177149
R4B__DOWNSIDE_VAR63,3,177,0.4519774011299435,0.0006504697557147801
R4B__DOWNSIDE_VAR63,4,177,0.3954802259887006,0.002772932632939335
R4B__DOWNSIDE_VAR63,5,177,0.4011299435028249,0.0027193135107134244
R4B__SKEW63,1,178,0.4044943820224719,0.002956707867530381
R4B__SKEW63,2,177,0.4293785310734463,0.0017558484875034
R4B__SKEW63,3,177,0.4293785310734463,0.0017761334073694165
R4B__SKEW63,4,177,0.4350282485875706,-0.0012171736915821654
R4B__SKEW63,5,177,0.3785310734463277,0.00313497992470861
R4B__KURT126,1,178,0.47191011235955055,0.00013282557486549162
R4B__KURT126,2,177,0.4293785310734463,0.0025853943607907297
