arm_id,common_target_weeks,auc_t2,spearman_t1,dynamic_cagr,dynamic_mdd,mean_target_weight,active_terminal_wealth
R4B__DOWNSIDE_VAR63,677,0.4918739452637758,0.0936591771357129,0.1168057613185487,-0.23278865650946423,0.8684290953545232,-0.20840617774463777
R4B__DOWN_VOLUME21,677,0.4956709956709957,0.07581395269690948,0.11493876397090452,-0.2309667361829275,0.8748471882640587,-0.23382925450892333
R4B__DRAWDOWN252,677,0.4860683102208526,0.13310057459612984,0.11913792601984108,-0.23278865650946434,0.9301650366748166,-0.2673215621703309
R4B__KURT126,677,0.478905275515445,-0.006192400780002953,0.12782053940533444,-0.23278865650946468,0.7894254278728606,0.02976546361734167
R4B__RET126,677,0.4733381025753907,0.10133459987257777,0.11304338066306996,-0.3124212265609799,0.9190097799511002,-0.3045392395062062
R4B__RET21,677,0.5072364076601364,0.058658667802540226,0.12182965119118072,-0.23278865650946434,0.9067848410757946,-0.21374004150044135
R4B__RSP_SPY63,677,0.5111526891187909,-0.05456292523228803,0.15528798140501898,-0.22942155877648762,0.8117359413202934,0.3542449349731791
R4B__RV126,677,0.49951390417492114,0.08176499065758432,0.11948636899450471,-0.31242122656098004,0.918398533007335,-0.24964394810827828
R4B__RV21,677,0.4768600044023773,0.10173433166244725,0.1315850434553827,-0.23278865650946456,0.9012836185819071,-0.11197041314066769
R4B__RV_RATIO,677,0.46645021645021645,0.06023350122120073,0.13577851318264988,-0.2713169972047097,0.8901283618581907,-0.05051789375387217
R4B__SKEW63,677,0.5104373028101842,-0.022460355354445228,0.13402437310858306,-0.23890954113872997,0.785299511002445,0.11371376253297871
R4B__SMA_GAP,677,0.4724759703573263,0.0631285401459346,0.13097423094232918,-0.3369994047056153,0.9190097799511002,-0.14416409400099128
R4B__VIX_LEVEL,677,0.4867745249101182,0.12574889997953315,0.12141358442698458,-0.23278865650946434,0.894101466992665,-0.20055321156509787
R4B__VIX_RV_GAP,677,0.5240755007704161,0.03298398311535395,0.11366207166728248,-0.26095299296604435,0.8659841075794621,-0.23367107318207792
R4B__VOLUME_SHOCK,677,0.45977327756988773,0.08812697579309983,0.14446828256849065,-0.2713169972047097,0.953239608801956,-0.05741426879628564
R4B__YC_10Y2Y,677,0.4621441411695649,0.02108909061698475,0.1584128933844864,-0.2713169972047097,0.934596577017115,0.13809821412649015
R4B__YC_10Y3M,677,0.4536649790887079,0.036708627627092115,0.14659038253436862,-0.2713169972047097,0.9093826405867971,0.03936653784573707
