arm_id,execution_year,active_log_return,positive
R4B__DRAWDOWN252,2016,-0.016043030916787344,False
R4B__DRAWDOWN252,2017,0.016464825060384113,True
R4B__DRAWDOWN252,2018,-0.0428359124751054,False
R4B__DRAWDOWN252,2019,-0.017702817791166524,False
R4B__DRAWDOWN252,2020,-0.11962589712678501,False
R4B__DRAWDOWN252,2021,0.02081001075138357,True
R4B__DOWNSIDE_VAR63,2005,-0.03531891895155277,False
R4B__DOWNSIDE_VAR63,2006,-0.015812591491524253,False
R4B__DOWNSIDE_VAR63,2007,-0.06674988933568737,False
R4B__DOWNSIDE_VAR63,2008,0.11397179521843404,True
R4B__DOWNSIDE_VAR63,2009,0.04078198032258774,True
R4B__DOWNSIDE_VAR63,2010,-0.07156398715438295,False
R4B__DOWNSIDE_VAR63,2011,-0.03298389514047242,False
R4B__DOWNSIDE_VAR63,2012,-0.0436856834801692,False
R4B__DOWNSIDE_VAR63,2013,-0.010775889816434639,False
R4B__DOWNSIDE_VAR63,2014,-0.0029148168204925495,False
R4B__DOWNSIDE_VAR63,2015,-0.06934026267830562,False
R4B__DOWNSIDE_VAR63,2016,-0.03830391616392834,False
R4B__DOWNSIDE_VAR63,2017,0.020185372171101973,True
R4B__DOWNSIDE_VAR63,2018,0.014716271119630225,True
R4B__DOWNSIDE_VAR63,2019,-0.007538882245530287,False
R4B__DOWNSIDE_VAR63,2020,-0.01899043695271449,False
R4B__DOWNSIDE_VAR63,2021,0.015177461291701888,True
R4B__SKEW63,2005,-0.00011367143656019802,False
R4B__SKEW63,2006,0.017520266264926074,True
R4B__SKEW63,2007,0.0062087554199434895,True
R4B__SKEW63,2008,0.03153714607569708,True
R4B__SKEW63,2009,0.10073431562694507,True
R4B__SKEW63,2010,-0.00416533033467037,False
R4B__SKEW63,2011,-0.02890126143396185,False
R4B__SKEW63,2012,0.02869285041544553,True
R4B__SKEW63,2013,0.012147075104683436,True
R4B__SKEW63,2014,-0.027065971714213488,False
R4B__SKEW63,2015,-0.033974412979036264,False
R4B__SKEW63,2016,-0.018102404952400925,False
R4B__SKEW63,2017,0.005130270952295735,True
R4B__SKEW63,2018,0.008697254168317473,True
R4B__SKEW63,2019,-0.01797926884778149,False
R4B__SKEW63,2020,-0.0009570446041955449,False
R4B__SKEW63,2021,0.06429105021671329,True
R4B__KURT126,2005,0.0017923979265486636,True
R4B__KURT126,2006,0.017181621082688815,True
R4B__KURT126,2007,-0.025626255570165922,False
R4B__KURT126,2008,-0.006921347625875476,False
R4B__KURT126,2009,0.05077682145088647,True
R4B__KURT126,2010,0.07004191750386118,True
R4B__KURT126,2011,-0.055725612236933564,False
R4B__KURT126,2012,0.05645295236971809,True
R4B__KURT126,2013,0.0418244112214768,True
R4B__KURT126,2014,0.019325846599699492,True
R4B__KURT126,2015,-0.049477799504144715,False
R4B__KURT126,2016,0.017669240385019908,True
R4B__KURT126,2017,-0.06427574101078493,False
R4B__KURT126,2018,0.020702318142943057,True
R4B__KURT126,2019,-0.07775083354410858,False
R4B__KURT126,2020,-0.10141766074922187,False
R4B__KURT126,2021,0.04522577781849716,True
R4B__VIX_LEVEL,2005,0.001052582891630327,True
R4B__VIX_LEVEL,2006,0.01037550225498778,True
R4B__VIX_LEVEL,2007,-0.05653478374988838,False
R4B__VIX_LEVEL,2008,0.13229508763277756,True
R4B__VIX_LEVEL,2009,-0.09726644286116316,False
R4B__VIX_LEVEL,2010,0.002694036833193262,True
R4B__VIX_LEVEL,2011,0.006031477442034812,True
R4B__VIX_LEVEL,2012,-0.01929444228565385,False
R4B__VIX_LEVEL,2013,0.030503798012372768,True
R4B__VIX_LEVEL,2014,0.01346881769331134,True
R4B__VIX_LEVEL,2015,-0.04046931694817228,False
R4B__VIX_LEVEL,2016,-0.02195706283798946,False
R4B__VIX_LEVEL,2017,0.021616138484157818,True
R4B__VIX_LEVEL,2018,-0.04987108361625913,False
R4B__VIX_LEVEL,2019,0.02083598323710005,True
R4B__VIX_LEVEL,2020,-0.07078010890158776,False
R4B__VIX_LEVEL,2021,-0.021316562212790255,False
R4B__VIX_RV_GAP,2005,0.0011166867759120267,True
R4B__VIX_RV_GAP,2006,0.010979643021910778,True
R4B__VIX_RV_GAP,2007,-0.014817157509617937,False
R4B__VIX_RV_GAP,2008,-0.03724995381366136,False
R4B__VIX_RV_GAP,2009,-0.016439750702949257,False
