execution_year,weeks,mean_a4,median_a4,positive_a4_fraction,mean_w4,severe_w4_fraction
2005,52,0.004365391960692367,0.008791224946556812,0.5769230769230769,-0.016736247797714102,0.019230769230769232
2006,52,0.006313012425426585,0.0102502867394602,0.7115384615384616,-0.014318204805186653,0.057692307692307696
2007,53,-0.005652030456473077,0.006313328773831383,0.5471698113207547,-0.033304219504262794,0.22641509433962265
2008,52,-0.033552100486821966,-0.01980833033757526,0.36538461538461536,-0.08005804922797569,0.5
2009,52,0.021533531100603614,0.028666719073893676,0.7884615384615384,-0.03566238126284416,0.19230769230769232
2010,52,0.011027283193251478,0.02637567940133915,0.6923076923076923,-0.02891207648622173,0.25
2011,52,0.0025752321173917944,0.011121518988092497,0.5961538461538461,-0.037877727244673774,0.25
2012,53,0.011747689594186742,0.018160487092461815,0.660377358490566,-0.018361617395915235,0.05660377358490566
2013,52,0.017835034986506636,0.021790441815119462,0.7692307692307693,-0.014050625166529166,0.019230769230769232
2014,52,0.009932969520971046,0.011195918511681353,0.6538461538461539,-0.02004246620159961,0.09615384615384616
2015,52,-0.002530488964019913,0.000858142756645983,0.5192307692307693,-0.029246406058726075,0.11538461538461539
2016,52,0.013744758907999156,0.01772755972755491,0.7115384615384616,-0.016367645005482996,0.038461538461538464
2017,52,0.01647248915749558,0.016432129302167288,0.8461538461538461,-0.006202725281718306,0.0
2018,53,-0.004935964101841604,0.009347581168973123,0.5471698113207547,-0.03670888429965292,0.32075471698113206
2019,52,0.016898069854201867,0.022275971624204433,0.7692307692307693,-0.01584443471817791,0.057692307692307696
2020,52,0.01278148552494849,0.02873912981197412,0.75,-0.04591738619454958,0.21153846153846154
2021,48,0.017723019859471206,0.02065165969203714,0.7916666666666666,-0.0187907287554856,0.0
