process_id,frequency,top_k,expected_periods,engine_periods,maximum_abs_label_proxy_difference,mean_abs_label_proxy_difference,identity_passed
FO_RIDGE_A100,monthly,50,101,101,0.002206136089359767,5.3963020355688345e-05,True
FO_RIDGE_A100,weekly,5,443,443,0.0014240514956152632,3.464394579390384e-06,True
FO_RIDGE_A100,weekly,10,443,443,0.0007120257478077986,1.7321972898036728e-06,True
FO_RIDGE_A100,weekly,20,443,443,0.0047747457397353844,1.3161364705018279e-05,True
FO_RIDGE_A100,weekly,50,443,443,0.001112852664577127,6.083266630856143e-06,True
FS_LGBM_D2_N100_S1,monthly,5,101,101,0.011414415386278388,0.00011301401372561719,True
FS_LGBM_D2_N100_S1,monthly,10,101,101,0.005707207693139392,5.650700686287019e-05,True
FS_LGBM_D2_N100_S1,monthly,20,101,101,0.0028536038465694427,3.323526837788014e-05,True
FS_LGBM_D2_N100_S1,monthly,50,101,101,0.0020492249189192797,3.426220147172432e-05,True
FS_LGBM_D2_N100_S2,monthly,5,101,101,3.469446951953614e-16,9.250391466296374e-17,True
FS_LGBM_D2_N100_S2,monthly,10,101,101,2.2183918589983864e-06,2.196427594877176e-08,True
FS_LGBM_D2_N100_S2,monthly,20,101,101,0.0028158786509604183,3.60254296018994e-05,True
FS_LGBM_D2_N100_S2,monthly,50,101,101,0.0011414415386275419,2.6385918845819878e-05,True
FS_LGBM_D2_N100_S5,monthly,5,101,101,0.0012736891332153274,1.2610783497280947e-05,True
FS_LGBM_D2_N100_S5,monthly,10,101,101,0.0010063165191628275,1.629088591724508e-05,True
FS_LGBM_D2_N100_S5,monthly,20,101,101,0.0005031582595812643,9.831307039807541e-06,True
FS_LGBM_D2_N100_S5,monthly,50,101,101,0.0011414415386276217,1.4402089548255533e-05,True
FS_LGBM_D2_N100_S6,monthly,5,101,101,0.0012736891332155056,1.2610783497281798e-05,True
FS_LGBM_D2_N100_S6,monthly,10,101,101,0.0006368445666077999,6.327356024537412e-06,True
FS_LGBM_D2_N100_S6,monthly,20,101,101,0.0005031582595812299,9.83130703979864e-06,True
FS_LGBM_D2_N100_S6,monthly,50,101,101,0.0011414415386277327,1.5233924188547527e-05,True
FS_LGBM_D2_N50_S1,monthly,5,101,101,2.671474153004283e-16,9.544843600863477e-17,True
FS_LGBM_D2_N50_S1,monthly,10,101,101,0.010246124594595993,0.00010144677816443445,True
FS_LGBM_D2_N50_S1,monthly,20,101,101,0.005123062297297719,7.897689251371e-05,True
FS_LGBM_D2_N50_S1,monthly,50,101,101,0.002049224918919238,3.426220147168299e-05,True
FS_LGBM_D2_N50_S2,monthly,5,101,101,0.0006810890887621254,6.743456324461462e-06,True
FS_LGBM_D2_N50_S2,monthly,10,101,101,0.0006368445666075744,9.677119910869278e-06,True
FS_LGBM_D2_N50_S2,monthly,20,101,101,0.0028158786509604045,3.27295287366141e-05,True
FS_LGBM_D2_N50_S2,monthly,50,101,101,0.0011263514603841729,1.5084517473259357e-05,True
FS_LGBM_D2_N50_S5,monthly,5,101,101,2.667137344314341e-16,1.0119256058781292e-16,True
FS_LGBM_D2_N50_S5,monthly,10,101,101,0.0006368445666076854,6.305391748686313e-06,True
FS_LGBM_D2_N50_S5,monthly,20,101,101,0.0003184222833038722,3.1636780123715906e-06,True
FS_LGBM_D2_N50_S5,monthly,50,101,101,0.0002012633038323379,5.430793823701784e-06,True
FS_LGBM_D2_N50_S5,weekly,5,443,443,0.0071248246844320285,1.608312569858981e-05,True
FS_LGBM_D2_N50_S5,weekly,10,443,443,0.0035624123422161365,9.660870746249146e-06,True
FS_LGBM_D2_N50_S5,weekly,20,443,443,0.001781206171108135,6.95917873534991e-06,True
FS_LGBM_D2_N50_S5,weekly,50,443,443,0.008131373141553416,2.5493393053725412e-05,True
FS_LGBM_D2_N50_S6,monthly,5,101,101,4.0245584642661925e-16,1.0523631265093459e-16,True
FS_LGBM_D2_N50_S6,monthly,10,101,101,0.0006368445666077964,6.305391748688239e-06,True
FS_LGBM_D2_N50_S6,monthly,20,101,101,0.0003184222833040526,3.163678012354032e-06,True
FS_LGBM_D2_N50_S6,monthly,50,101,101,0.00020126330383234484,5.43079382371906e-06,True
FS_LGBM_D2_N50_S6,weekly,5,443,443,0.008161808447352903,2.7731129984613587e-05,True
FS_LGBM_D2_N50_S6,weekly,10,443,443,0.0183241624458494,5.219507916003485e-05,True
FS_LGBM_D2_N50_S6,weekly,20,443,443,0.010562965490653109,3.133210521589137e-05,True
FS_LGBM_D2_N50_S6,weekly,50,443,443,0.020299146475527,0.0001353247151776984,True
FS_RIDGE_A01_S1,monthly,5,101,101,3.0531133177191805e-16,9.408727922179158e-17,True
FS_RIDGE_A01_S1,monthly,10,101,101,4.0939474033052647e-16,1.153204663225473e-16,True
FS_RIDGE_A01_S1,monthly,20,101,101,0.00010510506652983836,1.040644223214561e-06,True
FS_RIDGE_A01_S1,monthly,50,101,101,4.204202661180906e-05,4.7652851632481496e-07,True
FS_RIDGE_A01_S1,weekly,5,443,443,6.0873535230586764e-05,1.3741204350680889e-07,True
FS_RIDGE_A01_S1,weekly,10,443,443,3.0436767615326992e-05,6.870602184269163e-08,True
FS_RIDGE_A01_S1,weekly,20,443,443,0.0013910370216407512,3.1743914345841623e-06,True
FS_RIDGE_A01_S1,weekly,50,443,443,0.03316831785862221,0.00015046214355374533,True
FS_RIDGE_A01_S2,monthly,5,101,101,3.7470027081099033e-16,1.0120007486029549e-16,True
FS_RIDGE_A01_S2,monthly,10,101,101,0.002785025826721521,2.7574513135975206e-05,True
FS_RIDGE_A01_S2,monthly,20,101,101,0.0013925129133605663,1.4827900791155325e-05,True
FS_RIDGE_A01_S2,monthly,50,101,101,0.006538437139268383,7.06681616954344e-05,True
FS_RIDGE_A01_S2,weekly,5,443,443,5.603196548857603e-05,1.2648299216737472e-07,True
FS_RIDGE_A01_S2,weekly,10,443,443,0.0007120257478076333,1.6705230939303562e-06,True
FS_RIDGE_A01_S2,weekly,20,443,443,0.0012829226847918922,3.765109219592337e-06,True
FS_RIDGE_A01_S2,weekly,50,443,443,0.016049238126469124,0.0001109553982015789,True
FS_RIDGE_A01_S5,monthly,5,101,101,0.05652174214600567,0.0005596212093664963,True
FS_RIDGE_A01_S5,monthly,10,101,101,0.028260871073002694,0.0002868887872856718,True
FS_RIDGE_A01_S5,monthly,20,101,101,0.014130435536501756,0.0001499937100232798,True
FS_RIDGE_A01_S5,monthly,50,101,101,0.005652174214600528,6.270662342742843e-05,True
FS_RIDGE_A01_S5,weekly,5,443,443,0.022717510221192307,7.112505706192872e-05,True
FS_RIDGE_A01_S5,weekly,10,443,443,0.008856407069883578,3.0027742361524028e-05,True
FS_RIDGE_A01_S5,weekly,20,443,443,0.010365531833345633,3.155645655340536e-05,True
FS_RIDGE_A01_S5,weekly,50,443,443,0.007428782045182342,2.0353901947402944e-05,True
