process_id,frequency,economic_mean,economic_p,mean_rank_ic,rank_ic_p,economic_q,rank_ic_q
STATIC_EQ10,weekly,-0.0010651726103895415,0.9500099980003999,0.008002083717904694,0.15876824635072986,1.0,0.284111598732885
STATIC_DIM5,weekly,-0.0008318575924023599,0.9418116376724655,0.007790926795625224,0.1247750449910018,1.0,0.2828234353129374
FO_RIDGE_A01,weekly,-0.000731212554460127,0.8206358728254349,0.006492609801301791,0.14197160567886422,1.0,0.284111598732885
FO_RIDGE_A1,weekly,-0.00032629316290019,0.6712657468506299,0.00705667943320706,0.12297540491901619,1.0,0.2828234353129374
FO_RIDGE_A10,weekly,-0.0005770704715315045,0.7656468706258748,0.007983375926925771,0.09418116376724656,1.0,0.2668466306738652
FO_RIDGE_A100,weekly,-0.0005303827916416181,0.7690461907618477,0.007914052928052867,0.10977804439112178,1.0,0.2828234353129374
FO_LGBM_D1_N50,weekly,-0.0010124158256799797,0.9008198360327935,0.009013746751307977,0.05838832233553289,1.0,0.22057810660090205
FO_LGBM_D1_N100,weekly,-0.00039402622138192664,0.7110577884423115,0.007938499311799154,0.08698260347930414,1.0,0.2668466306738652
FO_LGBM_D2_N50,weekly,-0.0002017135170645511,0.6202759448110378,0.008544120612860456,0.0687862427514497,1.0,0.233873225354929
FO_LGBM_D2_N100,weekly,-0.00021356453433470432,0.6164767046590682,0.0060355013075092225,0.15016996600679863,1.0,0.284111598732885
FS_RIDGE_A01_S2,weekly,-0.00015493563121005897,0.5786842631473705,0.016281735798627215,0.026994601079784044,1.0,0.17223222022262216
FS_RIDGE_A1_S2,weekly,-0.0001457813561114309,0.5786842631473705,0.01630736324195433,0.027794441111777646,1.0,0.17223222022262216
FS_RIDGE_A10_S2,weekly,-0.00010537925589739996,0.5580883823235353,0.014771506280345938,0.046390721855628876,1.0,0.20565886822635474
FS_RIDGE_A100_S2,weekly,-0.000902576798246156,0.8430313937212558,0.008546986032680769,0.17536492701459708,1.0,0.29812037592481505
FS_RIDGE_A01_S1,weekly,-0.0005671220940760687,0.7320535892821436,0.0037128297136621675,0.3149370125974805,1.0,0.45635872825434914
FS_RIDGE_A1_S1,weekly,-0.0002548448389184182,0.6156768646270746,0.004481256728953008,0.28894221155768846,1.0,0.4465470542255185
FS_RIDGE_A10_S1,weekly,-0.000265680273036352,0.6162767446510697,0.005915550989430668,0.23975204959008198,1.0,0.3881699850506089
FS_RIDGE_A100_S1,weekly,-0.0006865945646464934,0.765246950609878,0.004032005473674014,0.32213557288542294,1.0,0.45635872825434914
FS_RIDGE_A01_S6,weekly,-0.0009447089144287382,0.9342131573685263,0.01455299859230528,0.024795040991801638,1.0,0.17223222022262216
FS_RIDGE_A1_S6,weekly,-0.0013102572487507552,0.9772045590881824,0.013891740123049733,0.030393921215756847,1.0,0.17223222022262216
FS_RIDGE_A10_S6,weekly,-0.0007134506030500199,0.8232353529294141,0.013135004186555803,0.04839032193561288,1.0,0.20565886822635474
FS_RIDGE_A100_S6,weekly,-0.001236665823409177,0.9682063587282543,0.008609676126605216,0.15596880623875226,1.0,0.284111598732885
FS_RIDGE_A01_S5,weekly,-0.002030319508590573,0.9946010797840432,0.001645043921638248,0.41151769646070785,1.0,0.5381385261409256
FS_RIDGE_A1_S5,weekly,-0.002373779886641528,0.9978004399120176,0.0006073602907316821,0.46810637872425515,1.0,0.5894672917268399
FS_RIDGE_A10_S5,weekly,-0.002380390470770561,0.9926014797040592,0.00016524777042543055,0.4859028194361128,1.0,0.5900248521724227
FS_RIDGE_A100_S5,weekly,-0.002277114747675916,0.992001599680064,0.002662071602490314,0.38132373525294944,1.0,0.5186002799440113
FS_LGBM_D2_N50_S2,weekly,,1.0,,1.0,1.0,1.0
FS_LGBM_D2_N100_S2,weekly,,1.0,,1.0,1.0,1.0
FS_LGBM_D2_N50_S1,weekly,,1.0,,1.0,1.0,1.0
FS_LGBM_D2_N100_S1,weekly,,1.0,,1.0,1.0,1.0
FS_LGBM_D2_N50_S6,weekly,-0.0007579323838527883,0.9190161967606478,0.013041904445823945,0.009998000399920015,1.0,0.17223222022262216
FS_LGBM_D2_N100_S6,weekly,,1.0,,1.0,1.0,1.0
FS_LGBM_D2_N50_S5,weekly,-0.0015193412416757395,0.9814037192561488,0.013837770478446825,0.015796840631873626,1.0,0.17223222022262216
FS_LGBM_D2_N100_S5,weekly,,1.0,,1.0,1.0,1.0
STATIC_EQ10,monthly,-0.004052615477136481,0.9396120775844831,0.0018695902406125062,0.4415116976604679,0.9396120775844831,0.6254749050189962
STATIC_DIM5,monthly,-0.0036332894840718465,0.9312137572485503,-0.004300407225388572,0.5882823435312937,0.9396120775844831,0.6857854235604492
FO_RIDGE_A01,monthly,0.000973031337371996,0.40371925614877024,0.0039174602681750405,0.4117176564687063,0.7505698860227954,0.6086261008667833
FO_RIDGE_A1,monthly,0.0026438096586826813,0.23255348930213957,0.005697749650316231,0.3717256548690262,0.7505698860227954,0.6086261008667833
FO_RIDGE_A10,monthly,0.003181476964431681,0.16556688662267546,0.008986991981842055,0.29994001199760045,0.7505698860227954,0.6086261008667833
FO_RIDGE_A100,monthly,0.0038656975739785496,0.15876824635072986,0.011221641632015496,0.247750449910018,0.7505698860227954,0.6016796640671865
FO_LGBM_D1_N50,monthly,-0.0010658813518566153,0.6048790241951609,0.011245802363418564,0.21135772845430914,0.7505698860227954,0.5595803916139849
FO_LGBM_D1_N100,monthly,0.001509460795691426,0.28954209158168365,0.011783685757280022,0.20355928814237154,0.7505698860227954,0.5595803916139849
FO_LGBM_D2_N50,monthly,0.0017890511781495295,0.24595080983803239,0.011147740962874655,0.21395720855828834,0.7505698860227954,0.5595803916139849
FO_LGBM_D2_N100,monthly,0.0008438404618813343,0.34713057388522295,0.005805449439941101,0.3369326134773045,0.7505698860227954,0.6086261008667833
FS_RIDGE_A01_S2,monthly,0.0019019736354933083,0.3251349730053989,-0.004109490245069348,0.6080783843231353,0.7505698860227954,0.6857854235604492
FS_RIDGE_A1_S2,monthly,-0.0005231762602302521,0.5646870625874825,-0.0070482882686527,0.6638672265546891,0.7505698860227954,0.7053589282143572
FS_RIDGE_A10_S2,monthly,-0.0012291800552096848,0.622875424915017,-0.011556971431003316,0.7380523895220956,0.7505698860227954,0.7604176134470076
FS_RIDGE_A100_S2,monthly,0.0005206831261790551,0.4641071785642871,-0.016498531510738487,0.8008398320335933,0.7505698860227954,0.8008398320335933
FS_RIDGE_A01_S1,monthly,0.002222866611228134,0.3197360527894421,-0.005152645200464994,0.6252749450109978,0.7505698860227954,0.6857854235604492
FS_RIDGE_A1_S1,monthly,0.0007603969413230107,0.4485102979404119,-0.004397170994180498,0.6052789442111578,0.7505698860227954,0.6857854235604492
FS_RIDGE_A10_S1,monthly,0.001353247339391426,0.40371925614877024,-0.002456897822575419,0.5592881423715257,0.7505698860227954,0.6857854235604492
FS_RIDGE_A100_S1,monthly,0.0026495093105002913,0.29374125174965005,-0.004518128601585889,0.6036792641471705,0.7505698860227954,0.6857854235604492
FS_RIDGE_A01_S6,monthly,0.0033841691267559957,0.22295540891821636,0.026199445715643362,0.08458308338332333,0.7505698860227954,0.5132973405318936
FS_RIDGE_A1_S6,monthly,0.002778707720600372,0.266746650669866,0.025881179952383638,0.08918216356728655,0.7505698860227954,0.5132973405318936
FS_RIDGE_A10_S6,monthly,0.0005052369312975433,0.4667066586682663,0.028209258995694864,0.07798440311937613,0.7505698860227954,0.5132973405318936
