transfer_id,g00_strategy_id,top_k,frequency,primary,eligible_as_primary,replacement_allowed
R10__MOM255__TOP10__WEEKLY,G00__mom_255_0__top10__weekly__long_only,10,weekly,false,false,false
R10__MOM255__TOP10__MONTHLY,G00__mom_255_0__top10__monthly__long_only,10,monthly,false,false,false
R10__MOM255__TOP20__WEEKLY,G00__mom_255_0__top20__weekly__long_only,20,weekly,false,false,false
R10__MOM255__TOP20__MONTHLY,G00__mom_255_0__top20__monthly__long_only,20,monthly,true,true,false
R10__MOM255__TOP50__WEEKLY,G00__mom_255_0__top50__weekly__long_only,50,weekly,false,false,false
R10__MOM255__TOP50__MONTHLY,G00__mom_255_0__top50__monthly__long_only,50,monthly,false,false,false
