frequency,signal_date,common_names,median_available_factors,minimum_available_factors
weekly,2025-02-07,500,14.0,10
weekly,2025-02-14,500,14.0,10
weekly,2025-02-21,500,14.0,10
weekly,2025-02-28,500,14.0,10
weekly,2025-03-07,500,14.0,11
weekly,2025-03-14,500,14.0,11
weekly,2025-03-21,500,14.0,11
weekly,2025-03-28,501,14.0,11
weekly,2025-04-04,502,14.0,11
weekly,2025-04-11,502,14.0,11
weekly,2025-04-17,502,14.0,11
weekly,2025-04-25,502,14.0,11
weekly,2025-05-02,502,14.0,11
weekly,2025-05-09,502,14.0,11
weekly,2025-05-16,502,14.0,11
weekly,2025-05-23,502,14.0,11
weekly,2025-05-30,502,14.0,11
weekly,2025-06-06,502,14.0,11
weekly,2025-06-13,502,14.0,11
weekly,2025-06-20,502,14.0,11
weekly,2025-06-27,502,14.0,11
weekly,2025-07-03,501,14.0,11
weekly,2025-07-11,502,14.0,11
weekly,2025-07-18,501,14.0,11
weekly,2025-07-25,502,14.0,11
weekly,2025-08-01,502,14.0,11
weekly,2025-08-08,503,14.0,11
weekly,2025-08-15,503,14.0,11
weekly,2025-08-22,503,14.0,11
weekly,2025-08-29,503,14.0,11
weekly,2025-09-05,503,14.0,11
weekly,2025-09-12,503,14.0,11
weekly,2025-09-19,503,14.0,11
weekly,2025-09-26,503,14.0,11
weekly,2025-10-03,503,14.0,11
weekly,2025-10-10,503,14.0,11
weekly,2025-10-17,503,14.0,11
weekly,2025-10-24,503,14.0,11
weekly,2025-10-31,502,14.0,11
weekly,2025-11-07,501,14.0,11
weekly,2025-11-14,500,14.0,11
weekly,2025-11-21,500,14.0,11
weekly,2025-11-28,499,14.0,11
weekly,2025-12-05,499,14.0,11
weekly,2025-12-12,499,14.0,11
weekly,2025-12-19,499,14.0,11
weekly,2025-12-26,500,14.0,11
weekly,2026-01-02,500,14.0,11
weekly,2026-01-09,500,14.0,11
weekly,2026-01-16,500,14.0,11
weekly,2026-01-23,500,14.0,11
weekly,2026-01-30,500,14.0,11
weekly,2026-02-06,499,14.0,11
weekly,2026-02-13,500,14.0,11
weekly,2026-02-20,501,14.0,11
weekly,2026-02-27,501,14.0,11
weekly,2026-03-06,501,14.0,11
weekly,2026-03-13,501,14.0,11
weekly,2026-03-20,501,14.0,11
weekly,2026-03-27,501,14.0,11
weekly,2026-04-02,501,14.0,11
weekly,2026-04-10,501,14.0,11
weekly,2026-04-17,501,14.0,11
weekly,2026-04-24,501,14.0,11
weekly,2026-05-01,501,14.0,11
weekly,2026-05-08,501,14.0,11
weekly,2026-05-15,501,14.0,11
weekly,2026-05-22,501,14.0,11
weekly,2026-05-29,501,14.0,11
weekly,2026-06-05,500,14.0,11
weekly,2026-06-12,500,14.0,11
weekly,2026-06-18,500,14.0,11
