horizon_weeks,weeks,t2_risk_on_terminal_negative,t2_defense_terminal_positive,risk_on_mae_ge_10pct,defense_mae_lt_2pct
4,1505,216,304,14,188
13,1496,212,393,82,114
26,1483,188,410,150,89
