threshold_bps,weeks,positive_rate,flip_rate_vs_zero
-40,1508,0.34549071618037136,0.08023872679045092
-20,1508,0.3806366047745358,0.04509283819628647
-10,1508,0.40251989389920423,0.023209549071618037
0,1508,0.42572944297082227,0.0
10,1508,0.45490716180371354,0.029177718832891247
20,1508,0.48143236074270557,0.05570291777188329
40,1508,0.5298408488063661,0.10411140583554376
