group_id,strategy_id,portfolio_mode,variant_id,cost_bps,borrow_fee_annual,reference_strategy_id,comparison_type,metric,estimate
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.13914299578170136
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.34902329237159846
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,-0.16685224064733561
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,0.024149974272808017
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,6.240542065180698
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.14190352276397616
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.35666552003799074
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,-0.16238668493287323
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,0.024129992190711602
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,6.240542065180698
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.14463030057522808
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.3643127534996007
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,-0.1579616379781052
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,0.02412020866356246
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,10.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,6.2405420651806995
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.14998363584205648
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.3796142435909873
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,-0.14923179127548064
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,0.024131240235821805
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,rev20,20.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,6.240542065180698
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.07339989713448153
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.18360847854548157
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,-0.1971840606174251
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,0.008648671107432115
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,0.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,6.457387454987169
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,cagr,-0.07678103566200684
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.19247524541570826
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,max_drawdown,-0.19823194404724265
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_volatility,0.008665951923635173
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,rev5,5.0,0.0,G00__mom_12_1__top10__monthly__long_only,delta_vs_same_scenario_G00,annualized_l1_turnover,6.457387454987169
