group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,base_target_gross_exposure,base_target_net_exposure,high_vol_rebalance_count,high_vol_rebalance_fraction,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,0.0,0.0,True,,False,True,0,0,2134.0,1.0548632851893398,0.08876948764508863,0.3674105798612565,0.4166564041904764,0.3407855637838837,0.4776070678904384,-0.6157149378522417,467.0,0.14417302908832688,1.2576939456042362,15.148905894007163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,-0.0018698915868146468,-0.050113471168567035,1.4138909361962564,-0.06600389086763321,-0.054488184813745316,0.2601677803251516,-0.007187252720062801,1.0,1.0,36,0.35294117647058826,-0.13914299578170136,-0.34902329237159846,-0.16685224064733561,0.024149974272808017,6.240542065180698
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,5.0,0.0,True,,True,True,0,0,2134.0,0.927150041870966,0.08055065947774143,0.3673862470200234,0.3960358233645155,0.3201611937053162,0.4482599942198178,-0.6160992229143893,468.0,0.13074299801370537,1.2576939456042362,15.148905894007163,0.0915192195915687,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,-0.009455747821969446,-0.0572839092158605,1.4136858261314555,-0.07355796450597803,-0.06204784414504598,0.26016244829367335,-0.036345552111716466,1.0,1.0,36,0.35294117647058826,-0.14190352276397616,-0.35666552003799074,-0.16238668493287323,0.024129992190711602,6.240542065180698
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,10.0,0.0,True,,False,True,0,0,2134.0,0.8072850905902469,0.07238761572568153,0.36737722701118963,0.3753968631050139,0.2995215964127699,0.41895350936164544,-0.6164835079765372,471.0,0.11742019825198072,1.2576939456042362,15.148905894007163,0.17685661957531426,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,-0.01704160405712451,-0.06440567868344056,1.4134807160666547,-0.08111203814432312,-0.06960750347634692,0.26017874088115023,-0.06549960230958733,1.0,1.0,36,0.35294117647058826,-0.14463030057522808,-0.3643127534996007,-0.1579616379781052,0.02412020866356246,6.2405420651806995
G23,G23__mom_12_1__top10__monthly__long_only__rev20,long_only,mom_12_1,10,monthly,rev20,20.0,0.0,True,,False,True,0,0,2134.0,0.5892214333873058,0.05622753412287351,0.3674051280873466,0.33407412347475207,0.258207039143312,0.3604721772397875,-0.6172520781008328,944.0,0.09109330874328514,1.2576939456042362,15.148905894007163,0.3305350742959821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,-0.032213316527434345,-0.07850438735732629,1.4130704959370524,-0.09622018542101292,-0.08472682213894839,0.26027617827931765,-0.12376590412690147,1.0,1.0,36,0.35294117647058826,-0.14998363584205648,-0.3796142435909873,-0.14923179127548064,0.024131240235821805,6.240542065180698
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,0.0,0.0,True,,False,True,0,0,2134.0,2.376041688240179,0.15451258629230846,0.3519092766958806,0.585427798838713,0.5062003776100006,0.7172929790113981,-0.6460467578223312,731.0,0.2391662591313566,1.2756969047486106,15.365751283813633,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.05106361059364936,0.007243466619706458,1.3799903728032767,-0.007817365443302467,0.0027502384332175945,0.24296805741249944,0.21016594171865166,1.0,1.0,36,0.35294117647058826,-0.07339989713448153,-0.18360847854548157,-0.1971840606174251,0.008648671107432115,6.457387454987169
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,5.0,0.0,True,,True,True,0,0,2134.0,2.1633066422827687,0.14567314657971075,0.351922206752947,0.5635742949170697,0.4843514683275987,0.6856299850990369,-0.6519444820287588,734.0,0.2234440977648842,1.2756969047486106,15.365751283813633,0.09016806490124434,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.043380446883107604,-0.0004684180360379221,1.3797810534569315,-0.015468094312599927,-0.004906147479069575,0.24301850294342434,0.17850676536019458,1.0,1.0,36,0.35294117647058826,-0.07678103566200684,-0.19247524541570826,-0.19823194404724265,0.008665951923635173,6.457387454987169
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,10.0,0.0,True,,False,True,0,0,2134.0,1.9638253866187805,0.1368945312778036,0.3519516005292585,0.5416970558997642,0.4624825137792946,0.654006903012148,-0.6577485097976079,744.0,0.20812594667820175,1.2756969047486106,15.365751283813633,0.17349730534381477,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.03569728317256558,-0.008127237016271698,1.3795717341105866,-0.02311882318189777,-0.01256253339135699,0.24309277560412876,0.1468463350416379,1.0,1.0,36,0.35294117647058826,-0.08012338502310601,-0.20135183613307595,-0.19922663979917593,0.008694582181631327,6.45738745498717
G23,G23__mom_12_1__top10__monthly__long_only__rev5,long_only,mom_12_1,10,monthly,rev5,20.0,0.0,True,,False,True,0,0,2134.0,1.6014086591552634,0.11951828545334009,0.3520597604350463,0.49788370641456786,0.4186967872795809,0.590890205286077,-0.66908112209181,764.0,0.17863048516400978,1.2756969047486106,15.365751283813633,0.32150117607040507,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9990380026756347,0.9990380026756347,0.0,0.9990380026756347,0.9990380026756347,0.0,2134.0,0.020330955751481986,-0.023286976536544914,1.3791530954178959,-0.03842028092049277,-0.02787530521593149,0.2433127080343761,0.08355895553391958,1.0,1.0,36,0.35294117647058826,-0.08669288451158991,-0.2191244954547184,-0.20106083526645785,0.008785872583521481,6.457387454987169
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,0.0,0.0,True,,False,True,0,0,2134.0,0.5550334186194501,0.05351853208505375,0.19431564189826409,0.3655076076002229,0.2220667717301637,0.31192939289760896,-0.2666201932647799,506.0,0.2007294775002455,1.1100095326888302,13.370049216604354,0.0,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013255583204009017,0.5029607000245178,0.5042862583449186,1.0072469583694363,-0.0013255583204009017,0.0,2134.0,-0.08393001726380753,-0.0808678302821172,0.07464387583061227,0.059457488506166195,0.033653592655535726,0.2628379915595601,-0.3193222439640681,1.0,0.0,24,0.23529411764705882,-0.014299486392474553,-0.057662824428468096,0.17050929349092148,-0.038102070812950806,3.9299628844983854
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,0.0,0.01,True,,False,True,0,0,2134.0,0.49046740066514216,0.048255916028407286,0.1943557705683996,0.33970296986651993,0.196294141272756,0.27541241514681586,-0.26703243565811263,508.0,0.18071181468827394,1.1102565626731846,13.37302468929313,0.0,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013263963881379216,0.5030708135049078,0.5043972098930457,1.0074680233979534,-0.0013263963881379216,0.05466904327595636,2134.0,-0.08893063018056238,-0.08545914934032521,0.07464019325007865,0.05445744621948957,0.02865344402866529,0.26286817585369826,-0.33830884964202573,1.0,0.0,24,0.23529411764705882,-0.014228046615542611,-0.06187804538331024,0.17635242866929068,-0.0381122813785508,3.930538948829426
