transfer_id,frequency,top_k,path_type,cost_bps,observations,terminal,cagr,annualized_volatility,sharpe,sortino,calmar,maximum_drawdown,maximum_drawdown_duration_sessions,maximum_recovery_sessions,underwater_fraction,average_drawdown,pain_index,ulcer_index,cdar_95,daily_var_95,daily_expected_shortfall_95,worst_day,worst_week,worst_month,skew,excess_kurtosis,mean_long_exposure,mdd_peak_date,mdd_trough_date,mdd_recovery_date,cumulative_l1_turnover,event_count
MONTHLY_TOP10,monthly,10,matched_static,0.0,2134,6.760897407421483,0.2520966021178457,0.2347775611030482,1.0793402764905555,1.7632270578173028,0.9074821453340371,-0.2777978645795294,306,226,0.8776944704779757,-0.0525397053928689,0.0461138089038629,0.0646051223887034,0.1743704946472295,-0.0230136261476856,-0.034139770411486,-0.0927690175143214,-0.0952786625358533,-0.1177836427910983,-0.3014380141643952,3.3184825588193645,0.7452527002011718,2018-08-29,2018-12-24,2019-11-15,76.1537793385764,499
MONTHLY_TOP10,monthly,10,matched_static,5.0,2134,6.508255464443702,0.2465330329935351,0.2347768237230935,1.060172796706002,1.7307266636612195,0.883746416565661,-0.278963544714094,308,228,0.880506091846298,-0.0532922158357363,0.0469241206913535,0.0653744604763958,0.1755280924242361,-0.023070869566512,-0.0341668442176732,-0.0927736509975618,-0.0952892751243712,-0.1180089642862767,-0.3017521405191289,3.3175924171979148,0.7452527002011717,2018-08-29,2018-12-24,2019-11-19,76.15377933857638,499
MONTHLY_TOP10,monthly,10,matched_static,10.0,2134,6.264962731165275,0.24099206411037,0.2347830922317313,1.0409741330971098,1.6982401501338742,0.8602933048274527,-0.2801277921821155,313,233,0.8828491096532334,-0.0540827417595783,0.0477469004100494,0.0661670789831985,0.176698908819439,-0.0230825008366734,-0.0341950547756104,-0.0927782844808021,-0.0952998877128896,-0.1182342793206879,-0.302050773662812,3.3163349111154883,0.7452527002011718,2018-08-29,2018-12-24,2019-11-26,76.15377933857638,499
MONTHLY_TOP10,monthly,10,matched_static,20.0,2134,5.8050669567056,0.2299775939111312,0.2348166440434158,1.0024901558737165,1.633249306881688,0.8142183407092652,-0.282451994032458,342,262,0.8912839737582006,-0.0556199010108848,0.0495731263930192,0.0678564663055416,0.1790533748572928,-0.0230971792892443,-0.0342571364138871,-0.0927875514472826,-0.0953211128899267,-0.1186848900075434,-0.302620110238235,3.3127309567332723,0.7452527002011718,2018-08-29,2018-12-24,2020-01-09,76.1537793385764,499
MONTHLY_TOP10,monthly,10,naked,0.0,2134,10.787526878938902,0.3227373315271347,0.3151818599418966,1.049695307641538,1.7150907309355783,0.898948939139632,-0.3590163105771289,314,234,0.8889409559512652,-0.0724678279046161,0.0644196202132412,0.0883437755773065,0.2316934393215615,-0.030913811618046,-0.0458453550797715,-0.1229497881398065,-0.1276827579164241,-0.1560972381502615,-0.2894829178375767,3.2937585764703323,0.9994037955361004,2018-08-29,2018-12-24,2019-11-27,98.80626653752512,101
MONTHLY_TOP10,monthly,10,naked,5.0,2134,10.26740466286842,0.3151186783960322,0.315179582418641,1.031169556247072,1.683715730097045,0.8744667890427181,-0.3603552271447539,337,257,0.8912839737582006,-0.0736070033799048,0.0656047424688748,0.0894136668251021,0.2331232929681104,-0.0309655483876344,-0.0458810397028401,-0.1229497881398063,-0.1276827579164237,-0.1563687579285214,-0.2897254055701971,3.292560162794657,0.9994037955361004,2018-08-29,2018-12-24,2020-01-02,98.80626653752512,101
MONTHLY_TOP10,monthly,10,naked,10.0,2134,9.772103337973258,0.3075398867491616,0.3151867200772577,1.012613287668216,1.652353914628218,0.8502809978423651,-0.3616920612474712,342,262,0.8964386129334583,-0.0746754026232263,0.0669419143478125,0.0905947894134162,0.2345507261800319,-0.031015749033226,-0.0459174400318341,-0.1229497881398066,-0.127682757916424,-0.1566402777067815,-0.289951937772104,3.290998092409688,0.9994037955361004,2018-08-29,2018-12-24,2020-01-09,98.80626653752512,101
MONTHLY_TOP10,monthly,10,naked,20.0,2134,8.851329219165978,0.2925011374676955,0.3152292375382491,0.9754158740479696,1.589601469463527,0.8027817169243322,-0.3643594906325773,347,267,0.901124648547329,-0.0773782288720289,0.0697274292975218,0.0931177645670705,0.2374306978766034,-0.0310823057360084,-0.0459974360054555,-0.1229497881398068,-0.127682757916424,-0.1571833172633013,-0.290375774449473,3.2867955356784027,0.9994037955361004,2018-08-29,2018-12-24,2020-01-16,98.80626653752512,101
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2134,9.461060181864744,0.3024009510549579,0.2495806917465386,1.1887728785065044,1.933065973275611,1.178660191866877,-0.2565633022491289,269,252,0.8701968134957826,-0.0550687894339501,0.0479206850884935,0.067680932099982,0.178611394090234,-0.0240470604302719,-0.0380864049751579,-0.084665242971513,-0.1177454781665779,-0.1560972381502614,-0.216601324412632,3.929077166068396,0.7452527002011716,2018-06-01,2018-12-24,2019-04-05,103.5992930501574,499
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2134,8.983370878481821,0.2945335646436331,0.2495513358973681,1.1643454258005614,1.8916060047574268,1.1373873628662,-0.2589562485567034,269,252,0.8720712277413308,-0.056052231344744,0.048881538206452,0.0687427882308281,0.180314724790819,-0.0240470604302721,-0.0381101234721361,-0.0846652429715129,-0.1177454781665782,-0.1563687579285215,-0.2172625459880465,3.929802790962645,0.7452527002011716,2018-06-01,2018-12-24,2019-04-05,103.5992930501574,499
