process_id,outer_year,bundle_id,family,selected_recipe_id,inner_oof_weeks,outer_train_weeks,outer_test_weeks,threshold_q75
R7R__RB07__LGBM,2015,RB07,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.013784899059809013
R7R__RB08__RIDGE,2015,RB08,positive_ridge,RIDGE_A01,260,583,52,0.02902554393585287
R7R__RB08__GAM,2015,RB08,additive_spline_ridge,GAM_K3_A10,260,583,52,0.02728715603362543
R7R__RB08__LGBM,2015,RB08,monotone_lightgbm,LGBM_D1_N50,260,583,52,0.01306260411844385
R7R__RB00__RIDGE,2016,RB00,positive_ridge,RIDGE_A100,260,635,52,0.025340653085363186
R7R__RB00__GAM,2016,RB00,additive_spline_ridge,GAM_K5_A1,260,635,52,0.01873280957642107
R7R__RB00__LGBM,2016,RB00,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.01993628852230773
R7R__RB01__RIDGE,2016,RB01,positive_ridge,RIDGE_A01,260,635,52,0.02958309858961578
R7R__RB01__GAM,2016,RB01,additive_spline_ridge,GAM_K3_A1,260,635,52,0.026499620584647852
R7R__RB01__LGBM,2016,RB01,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.01668954679086936
R7R__RB02__RIDGE,2016,RB02,positive_ridge,RIDGE_A01,260,635,52,0.029605083585639097
R7R__RB02__GAM,2016,RB02,additive_spline_ridge,GAM_K3_A1,260,635,52,0.02389683674412325
R7R__RB02__LGBM,2016,RB02,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.018257700430684826
R7R__RB03__RIDGE,2016,RB03,positive_ridge,RIDGE_A01,260,635,52,0.031392236254390284
R7R__RB03__GAM,2016,RB03,additive_spline_ridge,GAM_K3_A10,260,635,52,0.031061990843547597
R7R__RB03__LGBM,2016,RB03,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.02591383393820927
R7R__RB04__RIDGE,2016,RB04,positive_ridge,RIDGE_A01,260,635,52,0.02900014818416162
R7R__RB04__GAM,2016,RB04,additive_spline_ridge,GAM_K3_A1,260,635,52,0.02748832428532272
R7R__RB04__LGBM,2016,RB04,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.028605709318688687
R7R__RB05__RIDGE,2016,RB05,positive_ridge,RIDGE_A01,260,635,52,0.028161240943341978
R7R__RB05__GAM,2016,RB05,additive_spline_ridge,GAM_K3_A10,260,635,52,0.026130549284878683
R7R__RB05__LGBM,2016,RB05,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.02390542612166397
R7R__RB06__RIDGE,2016,RB06,positive_ridge,RIDGE_A01,260,635,52,0.02805896956043008
R7R__RB06__GAM,2016,RB06,additive_spline_ridge,GAM_K3_A1,260,635,52,0.027203246974273683
R7R__RB06__LGBM,2016,RB06,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.0179681940511003
R7R__RB07__RIDGE,2016,RB07,positive_ridge,RIDGE_A01,260,635,52,0.028375993881268893
R7R__RB07__GAM,2016,RB07,additive_spline_ridge,GAM_K3_A10,260,635,52,0.026651163989501056
R7R__RB07__LGBM,2016,RB07,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.016196498974679525
R7R__RB08__RIDGE,2016,RB08,positive_ridge,RIDGE_A01,260,635,52,0.02761400603786173
R7R__RB08__GAM,2016,RB08,additive_spline_ridge,GAM_K3_A1,260,635,52,0.025866185310502127
R7R__RB08__LGBM,2016,RB08,monotone_lightgbm,LGBM_D1_N50,260,635,52,0.017441310979787513
R7R__RB00__RIDGE,2017,RB00,positive_ridge,RIDGE_A01,260,687,52,0.025437165841702317
R7R__RB00__GAM,2017,RB00,additive_spline_ridge,GAM_K5_A1,260,687,52,0.01860405878139853
R7R__RB00__LGBM,2017,RB00,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.019213887740798536
R7R__RB01__RIDGE,2017,RB01,positive_ridge,RIDGE_A01,260,687,52,0.029060398168323384
R7R__RB01__GAM,2017,RB01,additive_spline_ridge,GAM_K3_A1,260,687,52,0.02679684076506708
R7R__RB01__LGBM,2017,RB01,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.01602653716935993
R7R__RB02__RIDGE,2017,RB02,positive_ridge,RIDGE_A01,260,687,52,0.03016891216092652
R7R__RB02__GAM,2017,RB02,additive_spline_ridge,GAM_K3_A1,260,687,52,0.024528317541561432
R7R__RB02__LGBM,2017,RB02,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.01893095302390955
R7R__RB03__RIDGE,2017,RB03,positive_ridge,RIDGE_A01,260,687,52,0.030868897080692202
R7R__RB03__GAM,2017,RB03,additive_spline_ridge,GAM_K3_A10,260,687,52,0.030542756815551183
R7R__RB03__LGBM,2017,RB03,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.025713768969474103
R7R__RB04__RIDGE,2017,RB04,positive_ridge,RIDGE_A01,260,687,52,0.028213383948027214
R7R__RB04__GAM,2017,RB04,additive_spline_ridge,GAM_K5_A1,260,687,52,0.02845003251666384
R7R__RB04__LGBM,2017,RB04,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.025991472209804356
R7R__RB05__RIDGE,2017,RB05,positive_ridge,RIDGE_A01,260,687,52,0.028487719149216204
R7R__RB05__GAM,2017,RB05,additive_spline_ridge,GAM_K3_A10,260,687,52,0.026626636446363126
R7R__RB05__LGBM,2017,RB05,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.02592022730784721
R7R__RB06__RIDGE,2017,RB06,positive_ridge,RIDGE_A01,260,687,52,0.028323693572039496
R7R__RB06__GAM,2017,RB06,additive_spline_ridge,GAM_K3_A10,260,687,52,0.027241251656057314
R7R__RB06__LGBM,2017,RB06,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.0174236898202106
R7R__RB07__RIDGE,2017,RB07,positive_ridge,RIDGE_A01,260,687,52,0.029881796220501928
R7R__RB07__GAM,2017,RB07,additive_spline_ridge,GAM_K3_A10,260,687,52,0.02765647623900755
R7R__RB07__LGBM,2017,RB07,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.018131156191707073
R7R__RB08__RIDGE,2017,RB08,positive_ridge,RIDGE_A01,260,687,52,0.028057687276736316
R7R__RB08__GAM,2017,RB08,additive_spline_ridge,GAM_K3_A10,260,687,52,0.02640362844548102
R7R__RB08__LGBM,2017,RB08,monotone_lightgbm,LGBM_D1_N50,260,687,52,0.01874258609945596
R7R__RB00__RIDGE,2018,RB00,positive_ridge,RIDGE_A01,260,739,53,0.023837061676877363
R7R__RB00__GAM,2018,RB00,additive_spline_ridge,GAM_K5_A1,260,739,53,0.01637285606987155
R7R__RB00__LGBM,2018,RB00,monotone_lightgbm,LGBM_D1_N50,260,739,53,0.01650362265640587
R7R__RB01__RIDGE,2018,RB01,positive_ridge,RIDGE_A01,260,739,53,0.026768576279214362
R7R__RB01__GAM,2018,RB01,additive_spline_ridge,GAM_K3_A1,260,739,53,0.023054167605899324
R7R__RB01__LGBM,2018,RB01,monotone_lightgbm,LGBM_D1_N50,260,739,53,0.014579891738098363
R7R__RB02__RIDGE,2018,RB02,positive_ridge,RIDGE_A01,260,739,53,0.02744544760737791
R7R__RB02__GAM,2018,RB02,additive_spline_ridge,GAM_K3_A1,260,739,53,0.021534936191742196
R7R__RB02__LGBM,2018,RB02,monotone_lightgbm,LGBM_D2_N100,260,739,53,0.019285672435952323
R7R__RB03__RIDGE,2018,RB03,positive_ridge,RIDGE_A01,260,739,53,0.029576652472391336
R7R__RB03__GAM,2018,RB03,additive_spline_ridge,GAM_K3_A1,260,739,53,0.02924516712145294
R7R__RB03__LGBM,2018,RB03,monotone_lightgbm,LGBM_D2_N100,260,739,53,0.024388360416366963
R7R__RB04__RIDGE,2018,RB04,positive_ridge,RIDGE_A01,260,739,53,0.026772200702408554
R7R__RB04__GAM,2018,RB04,additive_spline_ridge,GAM_K3_A1,260,739,53,0.025130242695665626
R7R__RB04__LGBM,2018,RB04,monotone_lightgbm,LGBM_D2_N100,260,739,53,0.030384230217249997
R7R__RB05__RIDGE,2018,RB05,positive_ridge,RIDGE_A01,260,739,53,0.025876209497868313
R7R__RB05__GAM,2018,RB05,additive_spline_ridge,GAM_K3_A1,260,739,53,0.024063094958230988
R7R__RB05__LGBM,2018,RB05,monotone_lightgbm,LGBM_D2_N100,260,739,53,0.022540624881817926
R7R__RB06__RIDGE,2018,RB06,positive_ridge,RIDGE_A01,260,739,53,0.025987784599333645
R7R__RB06__GAM,2018,RB06,additive_spline_ridge,GAM_K3_A1,260,739,53,0.02467671206553601
R7R__RB06__LGBM,2018,RB06,monotone_lightgbm,LGBM_D1_N100,260,739,53,0.01843291188535451
R7R__RB07__RIDGE,2018,RB07,positive_ridge,RIDGE_A01,260,739,53,0.027167585024944943
R7R__RB07__GAM,2018,RB07,additive_spline_ridge,GAM_K3_A10,260,739,53,0.024419576953798434
R7R__RB07__LGBM,2018,RB07,monotone_lightgbm,LGBM_D2_N100,260,739,53,0.017314368423307046
R7R__RB08__RIDGE,2018,RB08,positive_ridge,RIDGE_A01,260,739,53,0.025974077374451794
R7R__RB08__GAM,2018,RB08,additive_spline_ridge,GAM_K3_A1,260,739,53,0.023747007788494576
R7R__RB08__LGBM,2018,RB08,monotone_lightgbm,LGBM_D2_N50,260,739,53,0.016504086620328966
R7R__RB00__RIDGE,2019,RB00,positive_ridge,RIDGE_A100,260,792,52,0.02284181658349938
R7R__RB00__GAM,2019,RB00,additive_spline_ridge,GAM_K5_A1,260,792,52,0.0165850974493365
R7R__RB00__LGBM,2019,RB00,monotone_lightgbm,LGBM_D1_N50,260,792,52,0.015097626738973342
R7R__RB01__RIDGE,2019,RB01,positive_ridge,RIDGE_A01,260,792,52,0.025668241931874933
R7R__RB01__GAM,2019,RB01,additive_spline_ridge,GAM_K3_A1,260,792,52,0.021576567820927105
R7R__RB01__LGBM,2019,RB01,monotone_lightgbm,LGBM_D1_N50,260,792,52,0.015621477639596665
R7R__RB02__RIDGE,2019,RB02,positive_ridge,RIDGE_A01,260,792,52,0.026039092585590663
R7R__RB02__GAM,2019,RB02,additive_spline_ridge,GAM_K5_A1,260,792,52,0.016573976270969713
R7R__RB02__LGBM,2019,RB02,monotone_lightgbm,LGBM_D2_N100,260,792,52,0.019518670904310552
R7R__RB03__RIDGE,2019,RB03,positive_ridge,RIDGE_A01,260,792,52,0.028502181149964622
R7R__RB03__GAM,2019,RB03,additive_spline_ridge,GAM_K3_A1,260,792,52,0.02719253118700747
R7R__RB03__LGBM,2019,RB03,monotone_lightgbm,LGBM_D2_N100,260,792,52,0.02346565663148899
R7R__RB04__RIDGE,2019,RB04,positive_ridge,RIDGE_A01,260,792,52,0.026252835819693964
R7R__RB04__GAM,2019,RB04,additive_spline_ridge,GAM_K3_A1,260,792,52,0.023624892324906013
R7R__RB04__LGBM,2019,RB04,monotone_lightgbm,LGBM_D1_N100,260,792,52,0.02704704062643304
R7R__RB05__RIDGE,2019,RB05,positive_ridge,RIDGE_A01,260,792,52,0.02524989188928507
R7R__RB05__GAM,2019,RB05,additive_spline_ridge,GAM_K3_A1,260,792,52,0.02291534374338386
R7R__RB05__LGBM,2019,RB05,monotone_lightgbm,LGBM_D2_N100,260,792,52,0.02505600281566888
R7R__RB06__RIDGE,2019,RB06,positive_ridge,RIDGE_A01,260,792,52,0.02532898447016906
R7R__RB06__GAM,2019,RB06,additive_spline_ridge,GAM_K3_A1,260,792,52,0.02278647288507649
R7R__RB06__LGBM,2019,RB06,monotone_lightgbm,LGBM_D1_N50,260,792,52,0.015823886245743452
R7R__RB07__RIDGE,2019,RB07,positive_ridge,RIDGE_A01,260,792,52,0.025276546197838607
R7R__RB07__GAM,2019,RB07,additive_spline_ridge,GAM_K3_A10,260,792,52,0.022679133180215614
R7R__RB07__LGBM,2019,RB07,monotone_lightgbm,LGBM_D2_N50,260,792,52,0.01918061614074175
R7R__RB08__RIDGE,2019,RB08,positive_ridge,RIDGE_A01,260,792,52,0.024573244559416153
R7R__RB08__GAM,2019,RB08,additive_spline_ridge,GAM_K3_A1,260,792,52,0.02284981410828415
R7R__RB08__LGBM,2019,RB08,monotone_lightgbm,LGBM_D2_N50,260,792,52,0.018927016941199325
R7R__RB00__RIDGE,2020,RB00,positive_ridge,RIDGE_A100,260,844,52,0.023055897424125435
R7R__RB00__GAM,2020,RB00,additive_spline_ridge,GAM_K5_A1,260,844,52,0.01728714354075467
R7R__RB00__LGBM,2020,RB00,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.016089965036022873
R7R__RB01__RIDGE,2020,RB01,positive_ridge,RIDGE_A01,260,844,52,0.026173434218453414
R7R__RB01__GAM,2020,RB01,additive_spline_ridge,GAM_K3_A1,260,844,52,0.022735285114443907
R7R__RB01__LGBM,2020,RB01,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.016876632060457034
R7R__RB02__RIDGE,2020,RB02,positive_ridge,RIDGE_A01,260,844,52,0.026037360040895255
R7R__RB02__GAM,2020,RB02,additive_spline_ridge,GAM_K3_A1,260,844,52,0.0219448753936667
R7R__RB02__LGBM,2020,RB02,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.018058777002082
R7R__RB03__RIDGE,2020,RB03,positive_ridge,RIDGE_A01,260,844,52,0.027866664530081336
R7R__RB03__GAM,2020,RB03,additive_spline_ridge,GAM_K3_A1,260,844,52,0.026432775898985857
R7R__RB03__LGBM,2020,RB03,monotone_lightgbm,LGBM_D2_N100,260,844,52,0.023552811078870268
R7R__RB04__RIDGE,2020,RB04,positive_ridge,RIDGE_A01,260,844,52,0.02623862918225146
R7R__RB04__GAM,2020,RB04,additive_spline_ridge,GAM_K3_A1,260,844,52,0.024051114291490757
R7R__RB04__LGBM,2020,RB04,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.02631951357868393
R7R__RB05__RIDGE,2020,RB05,positive_ridge,RIDGE_A01,260,844,52,0.02656464539584517
R7R__RB05__GAM,2020,RB05,additive_spline_ridge,GAM_K3_A1,260,844,52,0.023295852957067677
R7R__RB05__LGBM,2020,RB05,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.019335937033728833
R7R__RB06__RIDGE,2020,RB06,positive_ridge,RIDGE_A01,260,844,52,0.02584231009420111
R7R__RB06__GAM,2020,RB06,additive_spline_ridge,GAM_K3_A1,260,844,52,0.02413589783821108
R7R__RB06__LGBM,2020,RB06,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.017674009683509306
R7R__RB07__RIDGE,2020,RB07,positive_ridge,RIDGE_A01,260,844,52,0.025946265201874718
R7R__RB07__GAM,2020,RB07,additive_spline_ridge,GAM_K3_A10,260,844,52,0.023192827699540883
R7R__RB07__LGBM,2020,RB07,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.017337969381320043
R7R__RB08__RIDGE,2020,RB08,positive_ridge,RIDGE_A01,260,844,52,0.025249469101364167
R7R__RB08__GAM,2020,RB08,additive_spline_ridge,GAM_K3_A1,260,844,52,0.02439411818204651
R7R__RB08__LGBM,2020,RB08,monotone_lightgbm,LGBM_D1_N50,260,844,52,0.01676864933832918
R7R__RB00__RIDGE,2021,RB00,positive_ridge,RIDGE_A100,260,896,39,0.025327897592432452
R7R__RB00__GAM,2021,RB00,additive_spline_ridge,GAM_K5_A1,260,896,39,0.025511830326375433
R7R__RB00__LGBM,2021,RB00,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.016088857717272628
R7R__RB01__RIDGE,2021,RB01,positive_ridge,RIDGE_A100,260,896,39,0.027027733440347403
R7R__RB01__GAM,2021,RB01,additive_spline_ridge,GAM_K5_A1,260,896,39,0.026902007522626226
R7R__RB01__LGBM,2021,RB01,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.030666630335428737
R7R__RB02__RIDGE,2021,RB02,positive_ridge,RIDGE_A01,260,896,39,0.027450214178059193
R7R__RB02__GAM,2021,RB02,additive_spline_ridge,GAM_K3_A10,260,896,39,0.027394119952857846
R7R__RB02__LGBM,2021,RB02,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.026864957717616836
R7R__RB03__RIDGE,2021,RB03,positive_ridge,RIDGE_A100,260,896,39,0.02629472116046407
R7R__RB03__GAM,2021,RB03,additive_spline_ridge,GAM_K3_A1,260,896,39,0.029521927647716724
R7R__RB03__LGBM,2021,RB03,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.03297246302735238
R7R__RB04__RIDGE,2021,RB04,positive_ridge,RIDGE_A01,260,896,39,0.026846767015701288
R7R__RB04__GAM,2021,RB04,additive_spline_ridge,GAM_K3_A1,260,896,39,0.027571640316643317
R7R__RB04__LGBM,2021,RB04,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.02332867728286076
R7R__RB05__RIDGE,2021,RB05,positive_ridge,RIDGE_A01,260,896,39,0.02771577507409949
R7R__RB05__GAM,2021,RB05,additive_spline_ridge,GAM_K3_A1,260,896,39,0.028706025774965636
R7R__RB05__LGBM,2021,RB05,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.028922390761653576
R7R__RB06__RIDGE,2021,RB06,positive_ridge,RIDGE_A01,260,896,39,0.027303765909825386
R7R__RB06__GAM,2021,RB06,additive_spline_ridge,GAM_K5_A1,260,896,39,0.027857432699406354
R7R__RB06__LGBM,2021,RB06,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.029713731436586593
R7R__RB07__RIDGE,2021,RB07,positive_ridge,RIDGE_A100,260,896,39,0.026830004190561113
R7R__RB07__GAM,2021,RB07,additive_spline_ridge,GAM_K3_A1,260,896,39,0.030384920946988633
R7R__RB07__LGBM,2021,RB07,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.026602609493147866
R7R__RB08__RIDGE,2021,RB08,positive_ridge,RIDGE_A01,260,896,39,0.026730842904531704
R7R__RB08__GAM,2021,RB08,additive_spline_ridge,GAM_K3_A1,260,896,39,0.029676517448972664
R7R__RB08__LGBM,2021,RB08,monotone_lightgbm,LGBM_D1_N50,260,896,39,0.026864957717616836
