process_id,bundle_id,family,outer_weeks,outer_complete,native_common_direction_match,spearman_y5,y5_capture,mae10_precision,mae10_lift,alert_fraction,block13_95_lower,block13_one_sided_p,block13_se,positive_full_year_fraction,raw_rsp_spearman_y5,rho_difference_vs_rsp,rho_difference_block_se,not_worse_than_rsp_one_se,is_multifactor,incremental_gate,bh_q_value
R7R__RB00__RIDGE,RB00,positive_ridge,404,True,True,0.32730638214565394,0.9021998861481437,0.19095477386934673,1.794086712632932,0.49257425742574257,0.1890500697194724,0.0,0.08397191763613263,1.0,0.3850387788219442,-0.057732396676290265,0.034728102586107416,False,False,False,0.0
R7R__RB00__GAM,RB00,additive_spline_ridge,404,True,True,0.24439198008501647,0.9021998861481437,0.19095477386934673,1.794086712632932,0.49257425742574257,0.09392647277686937,0.002,0.09046815436793257,1.0,0.3850387788219442,-0.14064679873692773,0.055686840691809555,False,False,False,0.018
R7R__RB00__LGBM,RB00,monotone_lightgbm,404,True,True,0.2759566812627352,0.9530556718893406,0.1729957805907173,1.6253557060151114,0.5866336633663366,0.12958648313811474,0.0,0.09009675167641401,1.0,0.3850387788219442,-0.109082097559209,0.053211277385174845,False,False,True,0.0
R7R__RB01__RIDGE,RB01,positive_ridge,404,True,True,0.11328807635193976,0.2309374235734024,0.1891891891891892,1.7774984286612194,0.18316831683168316,-0.08351967984076727,0.173,0.11096856362962643,0.6666666666666666,0.3850387788219442,-0.27175070247000443,0.12626356188907317,False,True,False,0.2224285714285714
R7R__RB01__GAM,RB01,additive_spline_ridge,404,True,True,0.07151002466226077,0.1898061815491111,0.11956521739130435,1.123356926188069,0.22772277227722773,-0.09580381239479294,0.2455,0.1013709787709658,0.5,0.3850387788219442,-0.31352875415968345,0.11876187860531216,False,True,False,0.2761875
R7R__RB01__LGBM,RB01,monotone_lightgbm,404,True,True,0.1338295225458792,0.6865746467789101,0.20422535211267606,1.9187684245004915,0.35148514851485146,-0.004675640814016753,0.055,0.08611026514058051,0.6666666666666666,0.3850387788219442,-0.251209256276065,0.06676950198678253,False,True,True,0.11610000000000001
R7R__RB02__RIDGE,RB02,positive_ridge,404,True,True,0.18555728833585863,0.124782002456302,0.12121212121212122,1.1388301620859762,0.16336633663366337,-0.013866556777010177,0.064,0.11553962182530421,0.6666666666666666,0.3850387788219442,-0.19948149048608557,0.13322376050128718,False,True,False,0.11610000000000001
R7R__RB02__GAM,RB02,additive_spline_ridge,404,True,True,0.13306179624463976,0.11090193438311015,0.09210526315789473,0.8653610771113831,0.18811881188118812,-0.030496513900214777,0.0945,0.0981804796749615,0.5,0.3850387788219442,-0.25197698257730444,0.1076944137834259,False,True,False,0.14175
R7R__RB02__LGBM,RB02,monotone_lightgbm,404,True,True,0.14020889709564596,0.7279180822862668,0.20422535211267606,1.9187684245004915,0.35148514851485146,-0.023197877009527242,0.08,0.10007044875672405,0.8333333333333334,0.3850387788219442,-0.24482988172629824,0.07628015855022076,False,True,True,0.135
R7R__RB03__RIDGE,RB03,positive_ridge,404,True,True,0.20518894799336157,0.2853478930660376,0.12222222222222222,1.1483204134366924,0.22277227722772278,0.05114970327429439,0.013,0.0929949430206116,0.3333333333333333,0.3850387788219442,-0.17984983082858264,0.09050265867584324,False,True,False,0.0702
R7R__RB03__GAM,RB03,additive_spline_ridge,404,True,True,0.1487532809630556,0.14721694860726517,0.07692307692307693,0.7227191413237926,0.22524752475247525,-0.009669485092673975,0.062,0.09540555878678243,0.5,0.3850387788219442,-0.2362854978588886,0.1018511438362089,False,True,False,0.11610000000000001
R7R__RB03__LGBM,RB03,monotone_lightgbm,404,True,True,0.15552242465058444,0.5577923798093516,0.18446601941747573,1.7331226010386092,0.25495049504950495,0.02092493262525074,0.03,0.08763433892413985,0.8333333333333334,0.3850387788219442,-0.22951635417135977,0.07297898779711248,False,True,False,0.10529999999999999
R7R__RB04__RIDGE,RB04,positive_ridge,404,True,True,0.17996276153465599,0.29338922379601096,0.11458333333333333,1.0765503875968991,0.2376237623762376,0.05133337889703896,0.012,0.08020406326071058,0.5,0.3850387788219442,-0.20507601728728822,0.0811812078746847,False,True,False,0.0702
