arm_id,native_target_weeks,native_start_x,native_end,spearman_y5,block95_lower_spearman,one_sided_block_p,pooled_q75,top_score_fraction,y5_loss_capture,top_mean_y5,rest_mean_y5,top_rest_mean_ratio,mae5_precision,mae5_recall,mae5_lift,mae10_precision,mae10_recall,mae10_lift,false_alert_y5_zero,bh_q_value,common_weeks,common_spearman_y5,common_y5_capture,common_top_rest_ratio,minimum_leaveout_spearman,cost_bps,native_start_y,mean_daily_target_weight,dynamic_cagr,dynamic_sharpe,dynamic_mdd,dynamic_turnover,static_cagr,static_mdd,always_spy_mdd,active_terminal_wealth,positive_year_fraction,reference_positive,robust_reference_positive
R4B__RV21,874,2004-12-31,2021-09-24,0.1368420691154034,0.001297031111376,0.049,-1.7016391575885317,0.2505720823798627,0.485863645075994,0.0413179930295894,0.0146186053902698,2.826397725811153,0.410958904109589,0.3321033210332103,1.325380377091442,0.2420091324200913,0.4491525423728814,1.7925083197894898,0.589041095890411,0.1666,874,0.13684206911540348,0.48586364507599406,2.8263977258111534,-0.0414769695650277,10,2005-01-03,0.898714953271028,0.0926186474170951,0.7064951201367987,-0.4239335322632046,22.70535650439556,0.0965994273570032,-0.5094530456196034,-0.5520110457220236,-0.0598976055235971,0.5882352941176471,False,False
R4B__RV126,874,2004-12-31,2021-09-24,0.1571008954611741,0.0081588373955085,0.0385,-1.6754143172643436,0.2505720823798627,0.4766763422104065,0.0405367019830001,0.014879830946305,2.724271675483403,0.4063926940639269,0.3284132841328413,1.3106539284570926,0.2237442922374429,0.4152542372881356,1.6572246730129243,0.593607305936073,0.1666,874,0.15710089546117412,0.4766763422104065,2.724271675483403,-0.009316029678378081,10,2005-01-03,0.9239485981308412,0.0865171918108933,0.6110629887522614,-0.3980266995041054,7.979006330062683,0.0987021998104467,-0.5203498938329494,-0.5520110457220236,-0.1725548349236814,0.5882352941176471,False,False
R4B__RV_RATIO,874,2004-12-31,2021-09-24,0.058313077219746,-0.0605281681342131,0.2145,0.1195987845837499,0.2505720823798627,0.330849618433457,0.0281355527766185,0.0190261693832479,1.4787817878564264,0.3424657534246575,0.2767527675276753,1.1044836475762017,0.1917808219178082,0.3559322033898305,1.420478291153935,0.6575342465753424,0.3315,874,0.058313077219746004,0.330849618433457,1.4787817878564264,-0.014885022657972603,10,2005-01-03,0.8801401869158878,0.0950535716591547,0.6846683127505511,-0.477651419105574,46.48644815484445,0.0950408239884819,-0.501304530107,-0.5520110457220236,0.0001977352782855,0.47058823529411764,False,False
R4B__DOWNSIDE_VAR63,874,2004-12-31,2021-09-24,0.078845603912142,-0.0530602302601855,0.1735,0.5482170370489569,0.2505720823798627,0.418953387737585,0.0356279242740149,0.016521086394042,2.1565121944319183,0.3607305936073059,0.2915129151291513,1.163389442113599,0.2100456621004566,0.3898305084745763,1.5557619379305003,0.639269406392694,0.2949499999999999,874,0.07884560391214206,0.41895338773758506,2.1565121944319183,-0.049251059924715686,10,2005-01-03,0.8539719626168224,0.0794549036093745,0.595419761586757,-0.4068597985863031,61.90155107832236,0.0928297309327292,-0.489639704179301,-0.5520110457220236,-0.1887234547712013,0.29411764705882354,False,False
R4B__RET21,874,2004-12-31,2021-09-24,0.0592739345388671,-0.0391439167010395,0.167,0.010869930938005,0.2505720823798627,0.3644015161902781,0.0309888164272236,0.0180721774145723,1.714725111221858,0.365296803652968,0.2952029520295203,1.1781158907479483,0.2191780821917808,0.4067796610169492,1.6234037613187833,0.634703196347032,0.2949499999999999,874,0.059273934538867104,0.36440151619027816,1.714725111221858,-0.008011829683267326,10,2005-01-03,0.8929906542056075,0.0846500950139579,0.6326517682148322,-0.4126939662992184,65.57832772008042,0.0961200698099886,-0.5069534270442975,-0.5520110457220236,-0.1636106246251356,0.29411764705882354,False,False
R4B__RET126,874,2004-12-31,2021-09-24,0.1624452571697938,0.0079780383104507,0.043,-0.0115281631344231,0.2505720823798627,0.5233177151199787,0.0445030986053833,0.0135536616939357,3.2834742086926427,0.4337899543378995,0.3505535055350554,1.399012620263189,0.2831050228310502,0.5254237288135594,2.0968965250367617,0.5662100456621004,0.1666,874,0.16244525716979383,0.5233177151199787,3.2834742086926427,0.006159830217533878,10,2005-01-03,0.9037383177570092,0.0855704834099686,0.6295501848732329,-0.3520560392455908,25.99122957747377,0.0970193767479601,-0.5116381372020496,-0.5520110457220236,-0.1632115183196417,0.47058823529411764,False,False
R4B__SMA_GAP,874,2004-12-31,2021-09-24,0.1499754746414305,-0.0149233845651716,0.0705,-0.0143502017007821,0.2505720823798627,0.498117301875257,0.0423600477528641,0.0142701932003505,2.9684284689168523,0.4018264840182648,0.3247232472324723,1.2959274798227434,0.2511415525114155,0.4661016949152542,1.8601501431777725,0.5981735159817352,0.1997499999999999,874,0.1499754746414305,0.49811730187525705,2.9684284689168523,0.011499517683292352,10,2005-01-03,0.9065420560747663,0.101355775150818,0.7016997642769166,-0.3369994047056155,10.135438261220528,0.0972534775671729,-0.512854295622869,-0.5520110457220236,0.0654317200784617,0.6470588235294118,True,False
R4B__DRAWDOWN252,874,2004-12-31,2021-09-24,0.1199701899654177,-0.0294869106335778,0.0945,0.0573290891589831,0.2505720823798627,0.5081384936601373,0.0432122529682823,0.0139852574107679,3.0898432327038265,0.4063926940639269,0.3284132841328413,1.3106539284570926,0.2694063926940639,0.5,1.9954337899543375,0.593607305936073,0.2295,874,0.1199701899654177,0.5081384936601373,3.0898432327038265,-0.06964173140056894,10,2005-01-03,0.91553738317757,0.0902983463483959,0.6761491001157716,-0.3534793189089135,24.8709256595756,0.098003148230864,-0.5167396056099607,-0.5520110457220236,-0.1127242740259044,0.47058823529411764,False,False
R4B__SKEW63,874,2004-12-31,2021-09-24,0.0047241987026892,-0.1241304329176884,0.486,0.6115676067608133,0.2505720823798627,0.2152877253840018,0.018308134034974,0.0223119780922863,0.8205518111952389,0.2511415525114155,0.2029520295202952,0.8099546748892146,0.1050228310502283,0.1949152542372881,0.7778809689652503,0.7488584474885844,0.5508000000000001,874,0.004724198702689207,0.2152877253840018,0.8205518111952389,-0.03309714445365548,10,2005-01-03,0.7994158878504672,0.0974087660945783,0.6572953516562413,-0.4260555795512405,40.24337495782663,0.0881629582724186,-0.4646129637596757,-0.5520110457220236,0.1545372541568357,0.5294117647058824,False,False
R4B__KURT126,874,2004-12-31,2021-09-24,0.0397996032646644,-0.101445784706432,0.3385,2.837245025801547,0.2505720823798627,0.3426991926879706,0.0291432441966568,0.0186892466031129,1.5593589626990405,0.3333333333333333,0.2693726937269373,1.075030750307503,0.1643835616438356,0.3050847457627119,1.2175528209890871,0.6666666666666666,0.4426538461538462,874,0.039799603264664474,0.34269919268797067,1.5593589626990405,-0.011452349095373642,10,2005-01-03,0.8169392523364486,0.0870940371947042,0.6602256651304881,-0.4344218109520389,23.541384177020085,0.0896702696904048,-0.4727568594135967,-0.5520110457220236,-0.039404568591672,0.5882352941176471,False,False
