arm_id,common_weeks,common_spearman_y5,common_y5_capture,common_top_rest_ratio
R4B__RV21,874,0.13684206911540348,0.48586364507599406,2.8263977258111534
R4B__RV126,874,0.15710089546117412,0.4766763422104065,2.724271675483403
R4B__RV_RATIO,874,0.058313077219746004,0.330849618433457,1.4787817878564264
R4B__DOWNSIDE_VAR63,874,0.07884560391214206,0.41895338773758506,2.1565121944319183
R4B__RET21,874,0.059273934538867104,0.36440151619027816,1.714725111221858
R4B__RET126,874,0.16244525716979383,0.5233177151199787,3.2834742086926427
R4B__SMA_GAP,874,0.1499754746414305,0.49811730187525705,2.9684284689168523
R4B__DRAWDOWN252,874,0.1199701899654177,0.5081384936601373,3.0898432327038265
R4B__SKEW63,874,0.004724198702689207,0.2152877253840018,0.8205518111952389
R4B__KURT126,874,0.039799603264664474,0.34269919268797067,1.5593589626990405
R4B__VIX_LEVEL,874,0.15366152810830255,0.4064870037948832,2.0483945744705667
R4B__VIX_RV_GAP,874,0.011700212778205571,0.24650658823404065,0.9784671656984452
R4B__DOWN_VOLUME21,874,0.027554654637515743,0.2899820468506604,1.2215154544110216
R4B__VOLUME_SHOCK,874,0.08026797278617073,0.31167902472216646,1.3542965038989458
R4B__YC_10Y3M,874,-0.11814646341591084,0.26113327924885577,1.0570445751659365
R4B__YC_10Y2Y,874,-0.07367999942696962,0.28585915338575324,1.2045243249643516
R4B__RSP_SPY63,874,0.2097542491296886,0.4916430921946174,2.8925334991097853
