arm_id,cost_bps,active_terminal_wealth,dynamic_mdd
R4B__RV21,0,-0.0404594876025976,-0.4216389125009675
R4B__RV21,5,-0.0502270367760738,-0.4227872355528893
R4B__RV21,10,-0.0598976055235971,-0.4239335322632046
R4B__RV21,20,-0.0789515473211083,-0.4262200592226742
R4B__RV126,0,-0.1675607485164677,-0.3968900346464381
R4B__RV126,5,-0.1700612199974238,-0.3974585773839187
R4B__RV126,10,-0.1725548349236814,-0.3980266995041054
R4B__RV126,20,-0.1775215631432684,-0.3991616828384766
R4B__RV_RATIO,0,0.0452491540617374,-0.4749031214205731
R4B__RV_RATIO,5,0.0224782102766729,-0.4762789099282432
R4B__RV_RATIO,10,0.0001977352782855,-0.477651419105574
R4B__RV_RATIO,20,-0.0429333630869669,-0.4803866276486788
R4B__DOWNSIDE_VAR63,0,-0.1392296437851504,-0.4039949792180672
R4B__DOWNSIDE_VAR63,5,-0.1643397574164129,-0.4054289503677635
R4B__DOWNSIDE_VAR63,10,-0.1887234547712013,-0.4068597985863031
R4B__DOWNSIDE_VAR63,20,-0.2353943617405764,-0.4097121506192491
R4B__RET21,0,-0.1089661209090243,-0.4086362683434315
R4B__RET21,5,-0.1367171885260855,-0.4106683707629565
R4B__RET21,10,-0.1636106246251356,-0.4126939662992184
R4B__RET21,20,-0.2149289957760848,-0.4168601928907214
R4B__RET126,0,-0.1430510559224439,-0.350064393490396
R4B__RET126,5,-0.153190001279573,-0.3510608790608058
R4B__RET126,10,-0.1632115183196417,-0.3520560392455908
R4B__RET126,20,-0.1829075756411844,-0.3540423895015835
R4B__SMA_GAP,0,0.0739657893792045,-0.3369994047056154
R4B__SMA_GAP,5,0.0696908056075111,-0.3369994047056154
R4B__SMA_GAP,10,0.0654317200784617,-0.3369994047056155
R4B__SMA_GAP,20,0.0569610240200775,-0.3369994047056155
R4B__DRAWDOWN252,0,-0.0922460954250032,-0.3515006829330789
R4B__DRAWDOWN252,5,-0.1025422992702292,-0.3524906552474477
R4B__DRAWDOWN252,10,-0.1127242740259044,-0.3534793189089135
R4B__DRAWDOWN252,20,-0.1327504788782784,-0.3554527261888279
R4B__SKEW63,0,0.1981549893967085,-0.4248441450152305
R4B__SKEW63,5,0.1761467936126248,-0.4254501086416677
R4B__SKEW63,10,0.1545372541568357,-0.4260555795512405
R4B__SKEW63,20,0.1124857905773424,-0.4272650443601946
R4B__KURT126,0,-0.0194904993117621,-0.433974092470936
R4B__KURT126,5,-0.0294972904260483,-0.4341979779042804
R4B__KURT126,10,-0.039404568591672,-0.4344218109520389
R4B__KURT126,20,-0.0589244313988117,-0.4348693199300225
R4B__VIX_LEVEL,0,-0.0950787927454321,-0.393671245433003
R4B__VIX_LEVEL,5,-0.1124225110121879,-0.3966797627232317
R4B__VIX_LEVEL,10,-0.1294380696942174,-0.3996740584009087
R4B__VIX_LEVEL,20,-0.1625091099310047,-0.4056202402613158
R4B__VIX_RV_GAP,0,-0.230152452784396,-0.4911654313008329
R4B__VIX_RV_GAP,5,-0.2569725380320911,-0.4934668275396289
R4B__VIX_RV_GAP,10,-0.2828646857583488,-0.4957583772301989
R4B__VIX_RV_GAP,20,-0.3319916124732451,-0.5003120957136988
R4B__DOWN_VOLUME21,0,-0.2221089443662128,-0.4806337070942048
R4B__DOWN_VOLUME21,5,-0.2522056934852529,-0.4841726562080901
R4B__DOWN_VOLUME21,10,-0.2811451592694763,-0.4876883489534301
R4B__DOWN_VOLUME21,20,-0.3357274585981972,-0.4946505532275711
R4B__VOLUME_SHOCK,0,-0.0669049926914507,-0.5461455888162268
R4B__VOLUME_SHOCK,5,-0.0753832406840117,-0.5463790046619272
R4B__VOLUME_SHOCK,10,-0.0837865916675083,-0.5466123580892739
R4B__VOLUME_SHOCK,20,-0.1003711682307407,-0.5470788776962913
R4B__YC_10Y3M,0,-0.0125270715916075,-0.5390497839850793
R4B__YC_10Y3M,5,-0.0181331488529503,-0.5391617375874531
R4B__YC_10Y3M,10,-0.0237089256941036,-0.5392786452350514
R4B__YC_10Y3M,20,-0.0347701993412421,-0.539512460530246
R4B__YC_10Y2Y,0,0.1021070220979465,-0.5520110457220232
R4B__YC_10Y2Y,5,0.0991664398848055,-0.5520110457220238
R4B__YC_10Y2Y,10,0.0962328174529112,-0.5520110457220234
R4B__YC_10Y2Y,20,0.0903863946195886,-0.5520110457220224
R4B__RSP_SPY63,0,0.4094673891365417,-0.2290162869072202
R4B__RSP_SPY63,5,0.381583744485563,-0.2292189251672708
R4B__RSP_SPY63,10,0.3542449349731791,-0.2294215587764876
R4B__RSP_SPY63,20,0.3011599695151441,-0.2298268120425811
