attack_arm_id,quintile,weeks,mean_a4,median_a4,positive_rate,median_w4,severe_w4_rate
A4__RV21_LVL,1,177,0.010829604464514225,0.023068815172000354,0.6610169491525424,-0.02769943216652054,0.2711864406779661
A4__RV21_LVL,2,176,0.011283074638345422,0.02141280128761022,0.7159090909090909,-0.01402726780456497,0.16477272727272727
A4__RV21_LVL,3,177,0.0021482977198172405,0.012846056535418121,0.655367231638418,-0.01346423996379642,0.10734463276836158
A4__RV21_LVL,4,176,0.004184020839900576,0.007301838642968057,0.6136363636363636,-0.01545478790804453,0.07386363636363637
A4__RV21_LVL,5,177,0.005409593801624303,0.011082997745134134,0.672316384180791,-0.011001604013594306,0.096045197740113
A4__RV126_LVL,1,177,0.013719544514086933,0.028644477788290438,0.6892655367231638,-0.023385866735733486,0.24858757062146894
A4__RV126_LVL,2,176,0.008926719307297047,0.01821775249944517,0.6761363636363636,-0.017719400856290306,0.14204545454545456
A4__RV126_LVL,3,177,0.003477683710107932,0.013828188527183765,0.6666666666666666,-0.015217218294121178,0.13559322033898305
A4__RV126_LVL,4,176,0.0030176445471163135,0.01288089889879069,0.6590909090909091,-0.01306436763451983,0.08522727272727272
A4__RV126_LVL,5,177,0.004693096947040817,0.00803271599896851,0.6271186440677966,-0.012627770854579516,0.1016949152542373
A4__RV_RATIO_LVL,1,177,0.006499399744305142,0.020151570205278965,0.6949152542372882,-0.02038575692418028,0.2033898305084746
A4__RV_RATIO_LVL,2,176,0.0034376996119929574,0.013573852151075223,0.6306818181818182,-0.015565778412096762,0.19318181818181818
A4__RV_RATIO_LVL,3,177,0.004893252454033921,0.012085284174660184,0.6610169491525424,-0.014522278074486368,0.14689265536723164
A4__RV_RATIO_LVL,4,176,0.007808735242077907,0.011186520006494944,0.625,-0.01582675325790341,0.07954545454545454
A4__RV_RATIO_LVL,5,177,0.011191658871542264,0.015053892064885992,0.7062146892655368,-0.009484106296918145,0.0903954802259887
A4__DOWNSIDE_VAR63_LVL,1,177,0.008776134550503875,0.01920964714043758,0.6666666666666666,-0.021970841364358392,0.22598870056497175
A4__DOWNSIDE_VAR63_LVL,2,176,0.010348695801157246,0.017557187315955923,0.6875,-0.014001802235233474,0.14204545454545456
A4__DOWNSIDE_VAR63_LVL,3,177,0.005131810640253364,0.008602635016342683,0.6384180790960452,-0.016067612851454607,0.12994350282485875
A4__DOWNSIDE_VAR63_LVL,4,176,0.004000701808507889,0.013759862690018363,0.6647727272727273,-0.014393281794469127,0.10795454545454546
A4__DOWNSIDE_VAR63_LVL,5,177,0.005590933986555774,0.01188247570176034,0.6610169491525424,-0.012627770854579516,0.10734463276836158
A4__RET21_LVL,1,177,0.010831470901205573,0.020227852280077376,0.6610169491525424,-0.023331079185350313,0.22598870056497175
A4__RET21_LVL,2,176,0.007631806571765118,0.018319336007812694,0.6988636363636364,-0.013260108577239534,0.11363636363636363
A4__RET21_LVL,3,177,0.004335922829092599,0.011168302722567545,0.6101694915254238,-0.01537055524160704,0.12994350282485875
A4__RET21_LVL,4,176,0.004573892797660178,0.010765939067107867,0.6704545454545454,-0.012819675438211942,0.09659090909090909
A4__RET21_LVL,5,177,0.0064630723977617995,0.01332231121476812,0.6779661016949152,-0.012737444099865365,0.14689265536723164
A4__RET126_LVL,1,177,0.009167997419738231,0.023774270738974267,0.632768361581921,-0.02497615757613087,0.2768361581920904
A4__RET126_LVL,2,176,0.007933707694607215,0.015748460327457376,0.6875,-0.01326300994283518,0.125
A4__RET126_LVL,3,177,0.008704795352131837,0.014747553347520958,0.6779661016949152,-0.013591588339868475,0.06779661016949153
A4__RET126_LVL,4,176,0.008470546630293598,0.012392694470341118,0.6818181818181818,-0.012279662862342763,0.08522727272727272
A4__RET126_LVL,5,177,-0.0004171609498196534,0.010675978627623366,0.6384180790960452,-0.01776607928391458,0.15819209039548024
A4__SMA_GAP_LVL,1,177,0.0068323845573871585,0.020584885229998424,0.6384180790960452,-0.023229621537461376,0.2598870056497175
A4__SMA_GAP_LVL,2,176,0.006020549486487253,0.013722659518744854,0.6647727272727273,-0.01303660348738038,0.13068181818181818
A4__SMA_GAP_LVL,3,177,0.007994198132551223,0.013676601734125618,0.6779661016949152,-0.014586968531924557,0.0903954802259887
A4__SMA_GAP_LVL,4,176,0.010472740549269324,0.012684308288232367,0.7045454545454546,-0.012268483446510063,0.056818181818181816
A4__SMA_GAP_LVL,5,177,0.002540516447871276,0.013779396456026584,0.632768361581921,-0.02250505367550198,0.1751412429378531
A4__DRAWDOWN252_LVL,1,177,0.009839297152396035,0.0242889960883088,0.6384180790960452,-0.02675056628829332,0.288135593220339
A4__DRAWDOWN252_LVL,2,176,0.014840350101717126,0.02125210916889153,0.7329545454545454,-0.014756821205566466,0.11931818181818182
A4__DRAWDOWN252_LVL,3,177,0.006090537857122786,0.015833852629046075,0.6949152542372882,-0.013232344430100084,0.12429378531073447
A4__DRAWDOWN252_LVL,4,176,0.0046136309128469175,0.008852244774767155,0.6363636363636364,-0.013354664931476638,0.06818181818181818
A4__DRAWDOWN252_LVL,5,177,-0.0015066997828397544,0.005703714721592188,0.615819209039548,-0.014145277929898057,0.11299435028248588
A4__SKEW63_LVL,1,177,0.007695851185517498,0.014386083590907888,0.6892655367231638,-0.012558487052084127,0.14124293785310735
A4__SKEW63_LVL,2,176,0.0028424179543493928,0.01256855525922359,0.6534090909090909,-0.02103039321745994,0.18181818181818182
A4__SKEW63_LVL,3,177,0.00824973305947073,0.013739179454123993,0.6610169491525424,-0.017344953613660136,0.10734463276836158
A4__SKEW63_LVL,4,176,0.005185524545424187,0.013253587924551703,0.625,-0.014624259384379695,0.1534090909090909
A4__SKEW63_LVL,5,177,0.009839035606567233,0.016345143458592552,0.6892655367231638,-0.012122656341226565,0.12994350282485875
A4__KURT126_LVL,1,177,0.014064821565185048,0.01713899079618476,0.6892655367231638,-0.016067612851454607,0.15254237288135594
A4__KURT126_LVL,2,176,-0.0014769741800308956,0.010202317448495224,0.6079545454545454,-0.01743899954357754,0.23295454545454544
A4__KURT126_LVL,3,177,0.009493231097865377,0.016317431147637618,0.711864406779661,-0.012693917058568746,0.096045197740113
A4__KURT126_LVL,4,176,0.00933078067752467,0.016256466920875325,0.6931818181818182,-0.014333778002192214,0.13068181818181818
A4__KURT126_LVL,5,177,0.002399719371562923,0.009549733894145113,0.615819209039548,-0.015021265433947098,0.1016949152542373
A4__VIX_LEVEL_LVL,1,177,0.01597085083826739,0.028644477788290438,0.7062146892655368,-0.026118187478423212,0.24293785310734464
A4__VIX_LEVEL_LVL,2,176,0.00613292591010052,0.01828963790249613,0.6477272727272727,-0.019885880287660848,0.19318181818181818
A4__VIX_LEVEL_LVL,3,178,0.0053462148398428135,0.017879699243818985,0.6853932584269663,-0.012395056401749267,0.12359550561797752
A4__VIX_LEVEL_LVL,4,175,0.003611368641829894,0.011627571504284425,0.6514285714285715,-0.015021265433947098,0.05142857142857143
A4__VIX_LEVEL_LVL,5,177,0.002751097634588674,0.007688272506017043,0.6271186440677966,-0.011001604013594306,0.1016949152542373
A4__VIX_RV_GAP_LVL,1,177,0.017335730523408737,0.025866377833079837,0.7231638418079096,-0.019957844704780153,0.14689265536723164
A4__VIX_RV_GAP_LVL,2,176,0.0025397998302583037,0.013275382554921241,0.6306818181818182,-0.01814115814530566,0.17613636363636365
A4__VIX_RV_GAP_LVL,3,177,0.003756683788898298,0.011168302722567545,0.6440677966101694,-0.015006196431442876,0.0847457627118644
A4__VIX_RV_GAP_LVL,4,176,0.002506798319302615,0.00906143966248381,0.6363636363636364,-0.013312849322966168,0.09659090909090909
A4__VIX_RV_GAP_LVL,5,177,0.007656706136070056,0.02029167479632717,0.6836158192090396,-0.015788532730094236,0.20903954802259886
A4__DOWN_VOLUME21_LVL,1,177,0.02008037906351072,0.021141614596774605,0.7401129943502824,-0.02111833295658292,0.15819209039548024
A4__DOWN_VOLUME21_LVL,2,176,0.00045869395081339637,0.013770501354425632,0.6704545454545454,-0.015346611756896512,0.19318181818181818
A4__DOWN_VOLUME21_LVL,3,177,0.0029606425237007385,0.013254689045958546,0.632768361581921,-0.01522209081497549,0.14124293785310735
A4__DOWN_VOLUME21_LVL,4,176,0.0013672089084313843,0.008698782930907067,0.5795454545454546,-0.016066939457064344,0.125
A4__DOWN_VOLUME21_LVL,5,177,0.008910598132892416,0.01287267954431778,0.6949152542372882,-0.009710937604888961,0.096045197740113
A4__VOLUME_SHOCK_LVL,1,177,0.008790217012607722,0.01821889574697786,0.632768361581921,-0.023547233061704313,0.22033898305084745
A4__VOLUME_SHOCK_LVL,2,176,-0.00016137689851595353,0.01172384875733738,0.6306818181818182,-0.014471553352997041,0.18181818181818182
A4__VOLUME_SHOCK_LVL,3,177,0.011409601859643745,0.015009662650534387,0.751412429378531,-0.01210819242214069,0.0903954802259887
A4__VOLUME_SHOCK_LVL,4,176,0.008747383611709757,0.013300716138242442,0.6875,-0.014704733688086877,0.10227272727272728
A4__VOLUME_SHOCK_LVL,5,177,0.005029889671044341,0.011939080069998614,0.615819209039548,-0.01522209081497549,0.11864406779661017
A4__YC_10Y3M_LVL,1,178,0.005060249004210602,0.013422108228337365,0.6853932584269663,-0.012870093195646054,0.12359550561797752
A4__YC_10Y3M_LVL,2,179,0.00792515529898261,0.013051826343786998,0.664804469273743,-0.015322668272185985,0.15083798882681565
A4__YC_10Y3M_LVL,3,174,0.015395840837055077,0.01840072399012535,0.735632183908046,-0.012268483446510063,0.034482758620689655
A4__YC_10Y3M_LVL,4,177,0.0007795515834156269,0.004605794684410189,0.559322033898305,-0.023385866735733486,0.1864406779661017
A4__YC_10Y3M_LVL,5,175,0.0048034944943196765,0.017398609378922892,0.6742857142857143,-0.018143274282326167,0.21714285714285714
A4__YC_10Y2Y_LVL,1,178,0.00010223839288298922,0.012336534091703072,0.6573033707865169,-0.013569729760342918,0.14606741573033707
A4__YC_10Y2Y_LVL,2,175,0.014015453097965638,0.0152456133485739,0.68,-0.01383030000494471,0.10285714285714286
A4__YC_10Y2Y_LVL,3,179,0.004829542451440411,0.014095776229503733,0.6703910614525139,-0.014641285659040198,0.10614525139664804
A4__YC_10Y2Y_LVL,4,175,0.006069196611698568,0.013195649189174825,0.6171428571428571,-0.021413718624514615,0.18285714285714286
A4__YC_10Y2Y_LVL,5,176,0.008973269100870597,0.018420305025849383,0.6931818181818182,-0.015382699649155784,0.17613636363636365
A4__RSP_SPY63_LVL,1,177,-0.003169909949141124,0.009071680115411599,0.5536723163841808,-0.029689012098295605,0.2542372881355932
A4__RSP_SPY63_LVL,2,176,0.007954952896865174,0.013065817203498413,0.6875,-0.01541069154170685,0.125
A4__RSP_SPY63_LVL,3,177,0.008881995652388702,0.013254689045958546,0.6497175141242938,-0.011790450389476594,0.096045197740113
A4__RSP_SPY63_LVL,4,176,0.005783133644455946,0.013531148949127027,0.6534090909090909,-0.013076587100150945,0.11363636363636363
A4__RSP_SPY63_LVL,5,177,0.014394650807560045,0.02029167479632717,0.7740112994350282,-0.013287872724378985,0.12429378531073447
A4__SMA_GAP_D4,1,177,0.012488857391699243,0.023511122759182265,0.6666666666666666,-0.017913826923560767,0.22033898305084745
A4__SMA_GAP_D4,2,176,0.011628336810409335,0.01774910736186116,0.7386363636363636,-0.015026687082212185,0.09090909090909091
A4__SMA_GAP_D4,3,177,0.00020545346026570218,0.007458466879210859,0.632768361581921,-0.014865238700930202,0.096045197740113
A4__SMA_GAP_D4,4,176,-0.002465558072676177,0.007982867135109286,0.5681818181818182,-0.01644042039997615,0.18181818181818182
A4__SMA_GAP_D4,5,177,0.011961884265800206,0.017593245369824477,0.711864406779661,-0.014022358427165663,0.12429378531073447
A4__RV_RATIO_D4,1,177,0.0036022951040786248,0.01713899079618476,0.7062146892655368,-0.015974236949270165,0.15819209039548024
A4__RV_RATIO_D4,2,176,0.0046089826104486736,0.0121124983375443,0.6193181818181818,-0.015636526473840392,0.1534090909090909
A4__RV_RATIO_D4,3,177,0.008476832379682988,0.01601601629612925,0.6779661016949152,-0.015692586990443125,0.1751412429378531
A4__RV_RATIO_D4,4,176,0.008238656354065866,0.012962252944052389,0.6590909090909091,-0.015607023041846774,0.13636363636363635
A4__RV_RATIO_D4,5,177,0.0089130258265825,0.01332231121476812,0.655367231638418,-0.014095443085408655,0.0903954802259887
A4__RSP_SPY63_D4,1,177,0.008289055502785853,0.013408524848026451,0.6271186440677966,-0.021413718624514615,0.1751412429378531
A4__RSP_SPY63_D4,2,176,0.009574040099866992,0.013258980201971473,0.7102272727272727,-0.014756821205566466,0.09090909090909091
A4__RSP_SPY63_D4,3,177,0.0002534824189039328,0.006840986326855862,0.5649717514124294,-0.016527881931116227,0.12994350282485875
A4__RSP_SPY63_D4,4,176,0.007676470076270242,0.016619569834829713,0.7386363636363636,-0.009410142837423436,0.13068181818181818
A4__RSP_SPY63_D4,5,177,0.00807161915562837,0.018899660523006838,0.6779661016949152,-0.01445272516644206,0.1864406779661017
