policy_id,weeks,defense_fraction,transitions_to_defense,transitions_to_normal,mean_target_weight,maximum_defense_age
P00_RSP_Y5_CLEAR,404,0.49257425742574257,28,27,0.7537128712871287,26
P01_RSP_RAW_RECOVERY,404,0.7920792079207921,7,6,0.6039603960396039,122
P02_RSP_A4_ISOTONIC,404,0.49257425742574257,28,27,0.7537128712871287,26
