image_path,category,group_id,run_id,run_tree_sha256,run_tree_members,source_manifest_sha256,source_selector,source_files,source_sha256,dataset_version,image_bytes,image_sha256
G12/representative-long-only.png,representative,G00;G12,g00-frozen-v3-v1;g12-frozen-v3-v2,ee971696a27c532a5af71cfcece9f206bf36ceb73e6abb0cb2784493c7b1c5c3,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G12:a3d5708d143d79c3ab51d0472c05f3f16398364e98a796d679630b7e07867dce,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G12:db80b885245427ba2684dddcd267ddecb029f2daeeaa6b68fd746e5dd8ccf5e1,"is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_only;signal=mom_255_0;top_n=20;frequency=monthly,weekly",G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G12/artifacts/nav.parquet;G12/artifacts/rebalances.parquet;G12/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,8624a1ba574909a903a3671b2d60901130c7d54123791845cfca0469adb5a191,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,750979,493c2407c96d7bcf8a4902aa52f60fed1cc7ea1f6a3ac9a53f3d941185b598be
G12/representative-long-short.png,representative,G00;G12,g00-frozen-v3-v1;g12-frozen-v3-v2,ee971696a27c532a5af71cfcece9f206bf36ceb73e6abb0cb2784493c7b1c5c3,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G12:a3d5708d143d79c3ab51d0472c05f3f16398364e98a796d679630b7e07867dce,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G12:db80b885245427ba2684dddcd267ddecb029f2daeeaa6b68fd746e5dd8ccf5e1,"is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_short;signal=mom_255_0;top_n=20;frequency=monthly,weekly",G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G12/artifacts/nav.parquet;G12/artifacts/rebalances.parquet;G12/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,8624a1ba574909a903a3671b2d60901130c7d54123791845cfca0469adb5a191,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,735738,41d9d26a0236bb72756ab11d411526ccb957a56e1706eb5335c65c64f5b58a00
G13/atlas-long-only-monthly.png,atlas,G00;G13,g00-frozen-v3-v1;g13-frozen-v3-v2,9afe667d3300a7f75050eb79f3f7f3b3124913f55b53eda331c2bc994bdd2605,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G13:5b4ec84726ad8acab886758664e21b51440eb43f223da85eb266341db4d5203d,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G13:d0adf3b7861693b51912426ba4ebb87b02be342f7c62959449abeaeb85d808c7,is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_only;frequency=monthly;signal=all;top_n=all,G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G13/artifacts/nav.parquet;G13/artifacts/rebalances.parquet;G13/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,4475d806a93d8184ef94e0c910014220062c3b97fb48bd11f1790e1f8750587a,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,864643,c7b83fff50288767cba6a6ef4a268fe59c9d5cbdc86b89e83a4edab1e34b9981
G13/atlas-long-only-weekly.png,atlas,G00;G13,g00-frozen-v3-v1;g13-frozen-v3-v2,9afe667d3300a7f75050eb79f3f7f3b3124913f55b53eda331c2bc994bdd2605,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G13:5b4ec84726ad8acab886758664e21b51440eb43f223da85eb266341db4d5203d,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G13:d0adf3b7861693b51912426ba4ebb87b02be342f7c62959449abeaeb85d808c7,is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_only;frequency=weekly;signal=all;top_n=all,G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G13/artifacts/nav.parquet;G13/artifacts/rebalances.parquet;G13/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,4475d806a93d8184ef94e0c910014220062c3b97fb48bd11f1790e1f8750587a,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,881302,291fc39724bb88549fdc132b4edc08e0db48b499cb728baabd6753164497c4e2
G13/atlas-long-short-monthly.png,atlas,G00;G13,g00-frozen-v3-v1;g13-frozen-v3-v2,9afe667d3300a7f75050eb79f3f7f3b3124913f55b53eda331c2bc994bdd2605,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G13:5b4ec84726ad8acab886758664e21b51440eb43f223da85eb266341db4d5203d,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G13:d0adf3b7861693b51912426ba4ebb87b02be342f7c62959449abeaeb85d808c7,is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_short;frequency=monthly;signal=all;top_n=all,G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G13/artifacts/nav.parquet;G13/artifacts/rebalances.parquet;G13/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,4475d806a93d8184ef94e0c910014220062c3b97fb48bd11f1790e1f8750587a,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,751580,bcd293be2be2d924cd7ad47fc7cd0f98ee12ee33ca8ef6f3e8720498b7672ddd
G13/atlas-long-short-weekly.png,atlas,G00;G13,g00-frozen-v3-v1;g13-frozen-v3-v2,9afe667d3300a7f75050eb79f3f7f3b3124913f55b53eda331c2bc994bdd2605,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G13:5b4ec84726ad8acab886758664e21b51440eb43f223da85eb266341db4d5203d,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G13:d0adf3b7861693b51912426ba4ebb87b02be342f7c62959449abeaeb85d808c7,is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_short;frequency=weekly;signal=all;top_n=all,G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G13/artifacts/nav.parquet;G13/artifacts/rebalances.parquet;G13/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,4475d806a93d8184ef94e0c910014220062c3b97fb48bd11f1790e1f8750587a,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,776429,75d9f37dfb33546daa5027a7d0f0885352b3ff441ae617676388f131294866b5
G13/representative-long-only.png,representative,G00;G13,g00-frozen-v3-v1;g13-frozen-v3-v2,9afe667d3300a7f75050eb79f3f7f3b3124913f55b53eda331c2bc994bdd2605,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G13:5b4ec84726ad8acab886758664e21b51440eb43f223da85eb266341db4d5203d,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G13:d0adf3b7861693b51912426ba4ebb87b02be342f7c62959449abeaeb85d808c7,"is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_only;signal=mom_255_0;top_n=20;frequency=monthly,weekly",G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G13/artifacts/nav.parquet;G13/artifacts/rebalances.parquet;G13/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,4475d806a93d8184ef94e0c910014220062c3b97fb48bd11f1790e1f8750587a,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,781577,3520f98f6ec94ba847c6120354c8188b7c16fd1c4cd4471cec747179ad60a648
G13/representative-long-short.png,representative,G00;G13,g00-frozen-v3-v1;g13-frozen-v3-v2,9afe667d3300a7f75050eb79f3f7f3b3124913f55b53eda331c2bc994bdd2605,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G13:5b4ec84726ad8acab886758664e21b51440eb43f223da85eb266341db4d5203d,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G13:d0adf3b7861693b51912426ba4ebb87b02be342f7c62959449abeaeb85d808c7,"is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_short;signal=mom_255_0;top_n=20;frequency=monthly,weekly",G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G13/artifacts/nav.parquet;G13/artifacts/rebalances.parquet;G13/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,4475d806a93d8184ef94e0c910014220062c3b97fb48bd11f1790e1f8750587a,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,778549,162bc72229e1b07f982ee03db1662422c8e751c303ce20a21dad239129b8fd06
G21/atlas-long-only-monthly.png,atlas,G00;G21,g00-frozen-v3-v1;g21-frozen-v3-v1,21f6cd2a0b010859dad22f7f08c6ec2611b6fe2044a30ad269a2966d76cd6e1b,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G21:3ff869c41823fc15f2feb4c057f43400aceca0f70978f4cd3b47135db7d6d8b9,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G21:feec048b5374d17998cb43ef0c190e57f8f19c97b3ec199a871b9614c93c270c,is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_only;frequency=monthly;signal=all;top_n=all,G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G21/artifacts/nav.parquet;G21/artifacts/rebalances.parquet;G21/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,840ff794d5182e2d66bda820551140857400e085ea36ffb0a5479fb658f44fca,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,977184,85f770cfe7c174c2df5a0e3934d4ea806f239fad9a97edb15cd1bb3eb87c64b1
G21/atlas-long-only-weekly.png,atlas,G00;G21,g00-frozen-v3-v1;g21-frozen-v3-v1,21f6cd2a0b010859dad22f7f08c6ec2611b6fe2044a30ad269a2966d76cd6e1b,G00:32832d1ac0dea2822539803962eab86f426288d0c59e16dbb5a55d7187c1ae20;G21:3ff869c41823fc15f2feb4c057f43400aceca0f70978f4cd3b47135db7d6d8b9,G00:8b875d4bcbb7b178b309c7b1edaa7dce9bbb15090e68b619fb045cec35411c66;G21:feec048b5374d17998cb43ef0c190e57f8f19c97b3ec199a871b9614c93c270c,is_primary_scenario=true;valid_scenario=true;monthly=5bps;weekly=10bps;LO_borrow=0%;LS_borrow=1%;portfolio_mode=long_only;frequency=weekly;signal=all;top_n=all,G00/artifacts/nav.parquet;G00/artifacts/rebalances.parquet;G00/summary.csv;G21/artifacts/nav.parquet;G21/artifacts/rebalances.parquet;G21/summary.csv;benchmark_daily.parquet;risk_free_daily.parquet,840ff794d5182e2d66bda820551140857400e085ea36ffb0a5479fb658f44fca,sp500-pit-free-research-2013warmup-2018eval-2026-v3-final-candidate,951942,a87248ff315d00602da6ee21d481cbfc3422b72849ece542ed162fbc84e7bfa3
