arm_id,cost_bps,native_start,mean_daily_target_weight,dynamic_cagr,dynamic_sharpe,dynamic_mdd,dynamic_turnover,static_cagr,static_mdd,always_spy_mdd,active_terminal_wealth
R4B__RV21,0,2005-01-03,0.898714953271028,0.09408066109272939,0.7160342043062752,-0.4216389125009675,22.70535650439556,0.09674440284040742,-0.5093382037235301,-0.5520110457220234,-0.040459487602597655
R4B__RV21,5,2005-01-03,0.898714953271028,0.09334950021656163,0.7112679817653572,-0.42278723555288933,22.70535650439556,0.09667191926390917,-0.5093956279524517,-0.5520110457220238,-0.050227036776073875
R4B__RV21,10,2005-01-03,0.898714953271028,0.09261864741709513,0.7064951201367987,-0.4239335322632046,22.70535650439556,0.09659942735700322,-0.5094530456196034,-0.5520110457220236,-0.05989760552359713
R4B__RV21,20,2005-01-03,0.898714953271028,0.09115786579832785,0.6969299563879748,-0.42622005922267425,22.70535650439556,0.09645441851413472,-0.5095678612715258,-0.5520110457220231,-0.07895154732110832
R4B__RV126,0,2005-01-03,0.9239485981308411,0.08702787739907891,0.6141262126814682,-0.39689003464643813,7.979006330062683,0.09882923279937694,-0.5202631512778704,-0.5520110457220234,-0.16756074851646774
R4B__RV126,5,2005-01-03,0.9239485981308411,0.08677253676382812,0.612595254340859,-0.39745857738391877,7.979006330062683,0.098765721400361,-0.5203065244697174,-0.5520110457220238,-0.17006121999742385
R4B__RV126,10,2005-01-03,0.9239485981308411,0.08651719181089335,0.6110629887522614,-0.3980266995041054,7.979006330062683,0.0987021998104467,-0.5203498938329494,-0.5520110457220236,-0.1725548349236814
R4B__RV126,20,2005-01-03,0.9239485981308411,0.08600648891652529,0.6079945816586342,-0.39916168283847664,7.979006330062685,0.09857512601555096,-0.5204366210748854,-0.5520110457220231,-0.1775215631432684
R4B__RV_RATIO,0,2005-01-03,0.8801401869158878,0.0980556454846464,0.7031310663455522,-0.4749031214205731,46.48644815484445,0.0951981829929811,-0.5011692937154896,-0.5520110457220234,0.04524915406173746
R4B__RV_RATIO,5,2005-01-03,0.8801401869158878,0.09655376827099826,0.693904375445031,-0.4762789099282432,46.48644815484445,0.09511950696150051,-0.5012369163865439,-0.5520110457220238,0.02247821027667296
R4B__RV_RATIO,10,2005-01-03,0.8801401869158878,0.09505357165915473,0.6846683127505511,-0.47765141910557407,46.48644815484445,0.0950408239884819,-0.501304530107,-0.5520110457220236,0.00019773527828559345
R4B__RV_RATIO,20,2005-01-03,0.8801401869158878,0.09205821435977501,0.6661697552747692,-0.4803866276486788,46.48644815484445,0.09488343718300873,-0.5014397307007423,-0.5520110457220231,-0.042933363086966936
R4B__DOWNSIDE_VAR63,0,2005-01-03,0.8539719626168224,0.0833973203080538,0.6203141227430041,-0.40399497921806726,61.90155107832236,0.09300335581241637,-0.4894762178144746,-0.5520110457220234,-0.13922964378515046
R4B__DOWNSIDE_VAR63,5,2005-01-03,0.8539719626168224,0.08142456018601463,0.6078730810190811,-0.4054289503677635,61.90155107832236,0.092916545862749,-0.48955796738770474,-0.5520110457220238,-0.16433975741641293
R4B__DOWNSIDE_VAR63,10,2005-01-03,0.8539719626168224,0.07945490360937457,0.595419761586757,-0.40685979858630317,61.90155107832236,0.09282973093272928,-0.489639704179301,-0.5520110457220236,-0.18872345477120134
R4B__DOWNSIDE_VAR63,20,2005-01-03,0.8539719626168224,0.07552488460956286,0.5704793572513737,-0.40971215061924915,61.90155107832236,0.09265608610060494,-0.4898031394253928,-0.5520110457220231,-0.23539436174057649
R4B__RET21,0,2005-01-03,0.8929906542056075,0.08884723965053443,0.6592920284486635,-0.4086362683434315,65.57832772008042,0.09626893594157337,-0.5068322720829501,-0.5520110457220234,-0.10896612090902436
R4B__RET21,5,2005-01-03,0.8929906542056075,0.08674690265084295,0.645978709122052,-0.4106683707629565,65.57832772008042,0.0961945068275174,-0.5068928531966206,-0.5520110457220238,-0.1367171885260855
R4B__RET21,10,2005-01-03,0.8929906542056075,0.08465009501395793,0.6326517682148322,-0.4126939662992184,65.57832772008042,0.09612006980998866,-0.5069534270442975,-0.5520110457220236,-0.16361062462513565
R4B__RET21,20,2005-01-03,0.8929906542056075,0.08046704759315926,0.6059605772888295,-0.4168601928907214,65.57832772008042,0.09597117202763705,-0.5070745529450669,-0.5520110457220231,-0.21492899577608482
R4B__RET126,0,2005-01-03,0.9037383177570093,0.0872334438869895,0.6400338603908844,-0.350064393490396,25.99122957747377,0.09716088333590367,-0.511528854868221,-0.5520110457220234,-0.14305105592244394
R4B__RET126,5,2005-01-03,0.9037383177570093,0.08640174873114015,0.6347939964181435,-0.35106087906080585,25.991229577473767,0.09709013439388436,-0.5115834990193437,-0.5520110457220238,-0.15319000127957305
R4B__RET126,10,2005-01-03,0.9037383177570093,0.08557048340996865,0.6295501848732329,-0.3520560392455908,25.99122957747377,0.09701937674796013,-0.5116381372020496,-0.5520110457220236,-0.16321151831964176
R4B__RET126,20,2005-01-03,0.9037383177570093,0.08390924177727022,0.6190512694597804,-0.3540423895015835,25.991229577473774,0.09687783530570604,-0.5117473956647562,-0.5520110457220231,-0.18290757564118443
R4B__SMA_GAP,0,2005-01-03,0.9065420560747663,0.10201337878556305,0.7055460882535353,-0.3369994047056154,10.135438261220528,0.0973930257917679,-0.5127481240055768,-0.5520110457220234,0.0739657893792045
R4B__SMA_GAP,5,2005-01-03,0.9065420560747663,0.10168456865354436,0.7036240290188632,-0.3369994047056154,10.135438261220527,0.09732325613537407,-0.5128012126379915,-0.5520110457220238,0.06969080560751117
R4B__SMA_GAP,10,2005-01-03,0.9065420560747663,0.10135577515081806,0.7016997642769166,-0.3369994047056155,10.135438261220528,0.09725347756717295,-0.512854295622869,-0.5520110457220236,0.06543172007846176
R4B__SMA_GAP,20,2005-01-03,0.9065420560747663,0.10069823801274791,0.697844688889827,-0.3369994047056155,10.135438261220527,0.09711389365616241,-0.5129604446523595,-0.5520110457220231,0.05696102402007752
R4B__DRAWDOWN252,0,2005-01-03,0.91553738317757,0.09189650572733399,0.6863518119465416,-0.3515006829330789,24.870925659575597,0.09813630570770493,-0.5166434500969045,-0.5520110457220234,-0.09224609542500328
R4B__DRAWDOWN252,5,2005-01-03,0.91553738317757,0.09109723271222614,0.6812536359892588,-0.3524906552474477,24.870925659575597,0.09806973175708,-0.5166915301881738,-0.5520110457220238,-0.10254229927022929
R4B__DRAWDOWN252,10,2005-01-03,0.91553738317757,0.09029834634839595,0.6761491001157716,-0.3534793189089135,24.870925659575597,0.09800314823086409,-0.5167396056099607,-0.5520110457220236,-0.11272427402590446
R4B__DRAWDOWN252,20,2005-01-03,0.91553738317757,0.08870173317880181,0.6659214840040595,-0.35545272618882795,24.870925659575594,0.09786995241086016,-0.5168357424468605,-0.5520110457220231,-0.1327504788782784
R4B__SKEW63,0,2005-01-03,0.7994158878504672,0.10001277527128827,0.6722269194439757,-0.4248441450152305,40.243374957826624,0.08836608701212012,-0.46439275915796563,-0.5520110457220234,0.1981549893967085
R4B__SKEW63,5,2005-01-03,0.7994158878504672,0.09871016137181443,0.6647630786234474,-0.42545010864166777,40.243374957826624,0.08826452313568822,-0.4645028725112257,-0.5520110457220238,0.17614679361262486
R4B__SKEW63,10,2005-01-03,0.7994158878504672,0.09740876609457838,0.6572953516562413,-0.4260555795512405,40.24337495782663,0.0881629582724186,-0.46461296375967576,-0.5520110457220236,0.15453725415683572
R4B__SKEW63,20,2005-01-03,0.7994158878504672,0.09480962802442927,0.6423492532967042,-0.42726504436019463,40.243374957826624,0.0879598255607481,-0.46483307995947765,-0.5520110457220231,0.11248579057734243
R4B__KURT126,0,2005-01-03,0.8169392523364486,0.08860225336275929,0.6702023868037653,-0.433974092470936,23.541384177020085,0.08986456832212553,-0.4725545163257412,-0.5520110457220234,-0.019490499311762166
R4B__KURT126,5,2005-01-03,0.8169392523364486,0.0878479764731539,0.6652158494725898,-0.4341979779042804,23.541384177020085,0.08976742012912875,-0.47265569734592594,-0.5520110457220238,-0.029497290426048317
R4B__KURT126,10,2005-01-03,0.8169392523364486,0.08709403719470421,0.6602256651304881,-0.4344218109520389,23.541384177020085,0.08967026969040481,-0.4727568594135967,-0.5520110457220236,-0.03940456859167207
R4B__KURT126,20,2005-01-03,0.8169392523364486,0.08558717115929904,0.6502348699148557,-0.43486931993002254,23.541384177020085,0.08947596204929709,-0.47295912670525664,-0.5520110457220231,-0.05892443139881176
R4B__VIX_LEVEL,0,2005-01-03,0.8891355140186916,0.08952032055616388,0.7023886613714552,-0.393671245433003,41.046013287314224,0.09594820038186236,-0.5051388229498224,-0.5520110457220234,-0.09507879274543218
R4B__VIX_LEVEL,5,2005-01-03,0.8891355140186916,0.0882044158721984,0.6934832331975608,-0.3966797627232317,41.04601328731422,0.09587247968072843,-0.505201523247595,-0.5520110457220238,-0.11242251101218792
R4B__VIX_LEVEL,10,2005-01-03,0.8891355140186916,0.08688977535309328,0.6845654581754874,-0.39967405840090875,41.04601328731422,0.09579675136428678,-0.5052642157887444,-0.5520110457220236,-0.12943806969421745
R4B__VIX_LEVEL,20,2005-01-03,0.8891355140186916,0.08426428316730572,0.6666945773059971,-0.4056202402613158,41.04601328731422,0.09564527184923644,-0.5053895776049196,-0.5520110457220231,-0.16250910993100476
R4B__VIX_RV_GAP,0,2005-01-03,0.8827102803738318,0.07867212256841749,0.5499428359205907,-0.4911654313008329,73.32371488018595,0.09541270691741177,-0.5023060416987655,-0.5520110457220234,-0.230152452784396
R4B__VIX_RV_GAP,5,2005-01-03,0.8827102803738318,0.07634592716404698,0.5365972790045496,-0.4934668275396289,73.32371488018595,0.0953348669329892,-0.5023722612437156,-0.5520110457220238,-0.2569725380320911
R4B__VIX_RV_GAP,10,2005-01-03,0.8827102803738318,0.07402416927875244,0.5232391081546766,-0.4957583772301989,73.32371488018595,0.09525701981437318,-0.5024384721860677,-0.5520110457220236,-0.2828646857583488
R4B__VIX_RV_GAP,20,2005-01-03,0.8827102803738318,0.06939393660842486,0.4964881199249557,-0.5003120957136988,73.32371488018595,0.09510130413933893,-0.5025708682673464,-0.5520110457220231,-0.33199161247324516
R4B__DOWN_VOLUME21,0,2005-01-03,0.8691588785046729,0.07821586402170655,0.5767968935196401,-0.48063370709420483,81.45780305292809,0.09427948320654544,-0.49628880482332804,-0.5520110457220234,-0.22210894436621287
