observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,factor_id,frequency,top_k,cost_bps,path_type
2134.0,1.4623009238885207,0.11227641716818759,0.19781135864060195,0.637353907885834,0.49640322019805383,0.6945858571508412,-0.39657413706368316,488.0,0.28311583301802123,0.07072961806575727,0.8519372552775186,0.0,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,0,eligible_ew
2134.0,1.4534344549271156,0.11180270010915105,0.197812109384633,0.6351979998180918,0.4942481556533123,0.6915156851373169,-0.3965893003135912,488.0,0.28191053066925004,0.07072961806575727,0.8519372552775186,0.0053009802279769015,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,5,eligible_ew
2134.0,1.4445990525981274,0.11132913860950189,0.1978130670477726,0.6330414459313606,0.4920925926224058,0.688445845367165,-0.3966044635634992,488.0,0.2807057127123767,0.07072961806575727,0.8519372552775186,0.010580107879124806,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,10,eligible_ew
2134.0,1.427021023003272,0.11038248204542733,0.19781560311870713,0.6287264278523571,0.4877799982148448,0.6823071718470463,-0.3966347900633157,488.0,0.27829752913960654,0.07072961806575727,0.8519372552775186,0.021073129852690484,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,20,eligible_ew
2134.0,1.5534075372431602,0.11705882081529584,0.1994580706146693,0.6552356713151266,0.515444688516153,0.7229919274143145,-0.3999143652645285,488.0,0.29270971733627466,0.030111755164824856,1.5787929062239565,0.0,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,XS001_MOM_255_0,weekly,0,0,eligible_ew
2134.0,1.5363949729314648,0.11617734333634,0.19945974454524915,0.6512732442373365,0.5114840066150173,0.7173118889368808,-0.40001549850148355,488.0,0.2904321051848173,0.030111755164824856,1.5787929062239565,0.0102672942359599,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,XS001_MOM_255_0,weekly,0,5,eligible_ew
2134.0,1.5194948721569554,0.11529651512628525,0.19946161473770735,0.6473102467401112,0.5075228912175882,0.7116337491656767,-0.40011661835077383,488.0,0.28815727674976804,0.030111755164824856,1.5787929062239565,0.02045494097173027,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,XS001_MOM_255_0,weekly,0,10,eligible_ew
2134.0,1.4860291134700323,0.11353680462225113,0.1994659438855976,0.6393825874196206,0.499599406798446,0.7002831775203953,-0.4003188178916467,488.0,0.2836159569520458,0.030111755164824856,1.5787929062239565,0.040593552857109014,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,XS001_MOM_255_0,weekly,0,20,eligible_ew
2134.0,1.4599470038186029,0.11215079896259117,0.19769335333274674,0.6370446532217786,0.4960100097622943,0.6939539172337381,-0.3965804465429851,488.0,0.2827945753256779,0.0705694646205045,0.8500082092809031,0.0,58.0,76.0,31.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994128951657669,0.9994128951657669,0.0,0.9994128951657669,0.9994128951657669,0.0,XS002_MOM_12_1,monthly,0,0,eligible_ew
2134.0,1.4511090318047648,0.11167820767479908,0.19769408729034746,0.6348923778273424,0.4938585650260309,0.6908893046758722,-0.3965962465267625,488.0,0.28159169092706726,0.0705694646205045,0.8500082092809031,0.005289017121031302,58.0,76.0,31.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994128951657669,0.9994128951657669,0.0,0.9994128951657669,0.9994128951657669,0.0,XS002_MOM_12_1,monthly,0,5,eligible_ew
