factor_id,frequency,top_k,cost_bps,path_type,maximum_abs_diff,identity_passed
XS018_AMIHUD_252,monthly,0,20,eligible_ew,2.0872192862952943e-14,True
XS018_AMIHUD_252,weekly,0,0,eligible_ew,2.220446049250313e-16,True
XS018_AMIHUD_252,weekly,0,5,eligible_ew,4.773959005888173e-14,True
XS018_AMIHUD_252,weekly,0,10,eligible_ew,2.0872192862952943e-14,True
XS018_AMIHUD_252,weekly,0,20,eligible_ew,6.661338147750939e-15,True
XS019_PRICE_DELAY_52W,monthly,0,0,eligible_ew,6.938893903907228e-17,True
XS019_PRICE_DELAY_52W,monthly,0,5,eligible_ew,9.325873406851315e-15,True
XS019_PRICE_DELAY_52W,monthly,0,10,eligible_ew,2.2648549702353193e-14,True
XS019_PRICE_DELAY_52W,monthly,0,20,eligible_ew,3.6415315207705135e-14,True
XS019_PRICE_DELAY_52W,weekly,0,0,eligible_ew,1.3877787807814457e-17,True
XS019_PRICE_DELAY_52W,weekly,0,5,eligible_ew,5.1958437552457326e-14,True
XS019_PRICE_DELAY_52W,weekly,0,10,eligible_ew,2.020605904817785e-14,True
XS019_PRICE_DELAY_52W,weekly,0,20,eligible_ew,2.886579864025407e-14,True
XS020_VOLUME_SHOCK_50D,monthly,0,0,eligible_ew,6.938893903907228e-17,True
XS020_VOLUME_SHOCK_50D,monthly,0,5,eligible_ew,2.2648549702353193e-14,True
XS020_VOLUME_SHOCK_50D,monthly,0,10,eligible_ew,3.108624468950438e-14,True
XS020_VOLUME_SHOCK_50D,monthly,0,20,eligible_ew,1.9317880628477724e-14,True
XS020_VOLUME_SHOCK_50D,weekly,0,0,eligible_ew,5.551115123125783e-17,True
XS020_VOLUME_SHOCK_50D,weekly,0,5,eligible_ew,1.2434497875801753e-14,True
XS020_VOLUME_SHOCK_50D,weekly,0,10,eligible_ew,2.4646951146678475e-14,True
XS020_VOLUME_SHOCK_50D,weekly,0,20,eligible_ew,4.574118861455645e-14,True
XS032_GROSS_PROFIT_AT,monthly,0,0,eligible_ew,1.1102230246251565e-16,True
XS032_GROSS_PROFIT_AT,monthly,0,5,eligible_ew,2.042810365310288e-14,True
XS032_GROSS_PROFIT_AT,monthly,0,10,eligible_ew,2.9753977059954195e-14,True
XS032_GROSS_PROFIT_AT,monthly,0,20,eligible_ew,2.90878432451791e-14,True
XS032_GROSS_PROFIT_AT,weekly,0,0,eligible_ew,2.220446049250313e-16,True
XS032_GROSS_PROFIT_AT,weekly,0,5,eligible_ew,2.2426505097428162e-14,True
XS032_GROSS_PROFIT_AT,weekly,0,10,eligible_ew,3.5083047578154947e-14,True
XS032_GROSS_PROFIT_AT,weekly,0,20,eligible_ew,3.26405569239796e-14,True
XS041_ASSET_GROWTH,monthly,0,0,eligible_ew,8.326672684688674e-17,True
XS041_ASSET_GROWTH,monthly,0,5,eligible_ew,4.085620730620576e-14,True
XS041_ASSET_GROWTH,monthly,0,10,eligible_ew,1.532107773982716e-14,True
XS041_ASSET_GROWTH,monthly,0,20,eligible_ew,2.042810365310288e-14,True
XS041_ASSET_GROWTH,weekly,0,0,eligible_ew,2.220446049250313e-16,True
XS041_ASSET_GROWTH,weekly,0,5,eligible_ew,2.3314683517128287e-14,True
XS041_ASSET_GROWTH,weekly,0,10,eligible_ew,3.441691376337985e-14,True
XS041_ASSET_GROWTH,weekly,0,20,eligible_ew,2.4424906541753444e-14,True
XS056_CFO_ACCRUALS_PT,monthly,0,0,eligible_ew,6.938893903907228e-17,True
XS056_CFO_ACCRUALS_PT,monthly,0,5,eligible_ew,1.687538997430238e-14,True
XS056_CFO_ACCRUALS_PT,monthly,0,10,eligible_ew,2.9753977059954195e-14,True
XS056_CFO_ACCRUALS_PT,monthly,0,20,eligible_ew,2.2648549702353193e-14,True
XS056_CFO_ACCRUALS_PT,weekly,0,0,eligible_ew,4.163336342344337e-17,True
XS056_CFO_ACCRUALS_PT,weekly,0,5,eligible_ew,3.730349362740526e-14,True
XS056_CFO_ACCRUALS_PT,weekly,0,10,eligible_ew,5.662137425588298e-15,True
XS056_CFO_ACCRUALS_PT,weekly,0,20,eligible_ew,2.0872192862952943e-14,True
XS001_MOM_255_0,monthly,5,0,factor_topk,2.7755575615628914e-17,True
XS001_MOM_255_0,monthly,5,5,factor_topk,4.529709940470639e-14,True
XS001_MOM_255_0,monthly,5,10,factor_topk,4.796163466380676e-14,True
XS001_MOM_255_0,monthly,5,20,factor_topk,3.019806626980426e-14,True
XS001_MOM_255_0,monthly,10,0,factor_topk,5.551115123125783e-17,True
XS001_MOM_255_0,monthly,10,5,factor_topk,7.460698725481052e-14,True
XS001_MOM_255_0,monthly,10,10,factor_topk,1.1546319456101628e-14,True
XS001_MOM_255_0,monthly,10,20,factor_topk,5.595524044110789e-14,True
XS001_MOM_255_0,monthly,20,0,factor_topk,5.551115123125783e-17,True
XS001_MOM_255_0,monthly,20,5,factor_topk,4.529709940470639e-14,True
XS001_MOM_255_0,monthly,20,10,factor_topk,2.930988785010413e-14,True
XS001_MOM_255_0,monthly,20,20,factor_topk,3.907985046680551e-14,True
XS001_MOM_255_0,monthly,50,0,factor_topk,5.551115123125783e-17,True
XS001_MOM_255_0,monthly,50,5,factor_topk,3.597122599785507e-14,True
XS001_MOM_255_0,monthly,50,10,factor_topk,5.950795411990839e-14,True
XS001_MOM_255_0,monthly,50,20,factor_topk,4.973799150320701e-14,True
XS001_MOM_255_0,weekly,5,0,factor_topk,3.552713678800501e-15,True
XS001_MOM_255_0,weekly,5,5,factor_topk,5.684341886080802e-14,True
XS001_MOM_255_0,weekly,5,10,factor_topk,1.9539925233402755e-14,True
XS001_MOM_255_0,weekly,5,20,factor_topk,7.993605777301127e-15,True
XS001_MOM_255_0,weekly,10,0,factor_topk,8.326672684688674e-17,True
XS001_MOM_255_0,weekly,10,5,factor_topk,5.5067062021407764e-14,True
XS001_MOM_255_0,weekly,10,10,factor_topk,4.440892098500626e-15,True
XS001_MOM_255_0,weekly,10,20,factor_topk,2.5757174171303632e-14,True
XS001_MOM_255_0,weekly,20,0,factor_topk,8.326672684688674e-17,True
XS001_MOM_255_0,weekly,20,5,factor_topk,5.595524044110789e-14,True
XS001_MOM_255_0,weekly,20,10,factor_topk,1.4210854715202004e-14,True
XS001_MOM_255_0,weekly,20,20,factor_topk,4.618527782440651e-14,True
XS001_MOM_255_0,weekly,50,0,factor_topk,1.7763568394002505e-15,True
XS001_MOM_255_0,weekly,50,5,factor_topk,2.1760371282653068e-14,True
