factor_id,frequency,top_k,signal_date,selected_count,unique_sid_count,score_monotone,nested_passed
XS001_MOM_255_0,weekly,5,2019-10-25,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-11-01,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-11-08,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-11-15,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-11-22,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-11-29,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-12-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-12-13,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-12-20,5,5,True,True
XS001_MOM_255_0,weekly,5,2019-12-27,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-01-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-01-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-01-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-01-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-01-31,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-02-07,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-02-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-02-21,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-02-28,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-03-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-03-13,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-03-20,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-03-27,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-04-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-04-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-04-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-04-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-05-01,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-05-08,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-05-15,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-05-22,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-05-29,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-06-05,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-06-12,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-06-19,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-06-26,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-07-02,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-07-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-07-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-07-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-07-31,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-08-07,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-08-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-08-21,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-08-28,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-09-04,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-09-11,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-09-18,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-09-25,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-10-02,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-10-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-10-16,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-10-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-10-30,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-11-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-11-13,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-11-20,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-11-27,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-12-04,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-12-11,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-12-18,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-12-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2020-12-31,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-01-08,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-01-15,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-01-22,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-01-29,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-02-05,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-02-12,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-02-19,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-02-26,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-03-05,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-03-12,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-03-19,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-03-26,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-04-01,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-04-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-04-16,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-04-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-04-30,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-05-07,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-05-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-05-21,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-05-28,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-06-04,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-06-11,5,5,True,True
