execution_year,weeks,mean_raw_mae,mean_y5,mae5_rate,mae10_rate
1993,48,0.014427993919647093,0.0,0.0,0.0
1994,52,0.03577005882807483,0.004713812106875558,0.34615384615384615,0.0
1995,52,0.007266434775580082,0.0,0.0,0.0
1996,53,0.028948047020437677,0.002885071161924823,0.1320754716981132,0.0
1997,52,0.04696639899374175,0.011993725022401463,0.4423076923076923,0.057692307692307696
1998,52,0.05619454529688358,0.024686355032475318,0.40384615384615385,0.21153846153846154
1999,52,0.048316711881192714,0.011041100595469842,0.4423076923076923,0.038461538461538464
2000,52,0.07916722435190769,0.03717203401287111,0.6730769230769231,0.38461538461538464
2001,53,0.10435496496939117,0.061988644134554405,0.7169811320754716,0.4716981132075472
2002,52,0.1275009574540078,0.07995674587962551,0.8653846153846154,0.5961538461538461
2003,52,0.024963866810451703,0.004886884272512724,0.1346153846153846,0.057692307692307696
2004,52,0.03044574159042756,0.001278978655453612,0.17307692307692307,0.0
2005,52,0.02735627357207881,0.0011331545337626347,0.17307692307692307,0.0
2006,52,0.025405209443712502,0.002984599917893071,0.19230769230769232,0.0
2007,53,0.06614475397344768,0.025848130089327466,0.5849056603773585,0.20754716981132076
2008,52,0.17503890716152215,0.12931823574512336,0.8269230769230769,0.6923076923076923
2009,52,0.050141576472191855,0.02272287326008756,0.2692307692307692,0.15384615384615385
2010,52,0.045431904627085455,0.016551727226635424,0.40384615384615385,0.1346153846153846
2011,52,0.06649241664334485,0.027672446420283547,0.4807692307692308,0.25
2012,53,0.033174557036866496,0.005969915235752406,0.32075471698113206,0.0
2013,52,0.01938773100628422,0.0002087209017016707,0.057692307692307696,0.0
2014,52,0.029246570944730804,0.0019876333746807165,0.23076923076923078,0.0
2015,52,0.05979182123232675,0.02494366976580116,0.46153846153846156,0.3076923076923077
2016,52,0.023474770371844627,0.0007836235742103701,0.057692307692307696,0.0
2017,52,0.009065712380919235,0.0,0.0,0.0
2018,53,0.06778605264883358,0.03170953432300762,0.5660377358490566,0.24528301886792453
2019,52,0.04123949153800747,0.015981949045230488,0.23076923076923078,0.07692307692307693
2020,52,0.07556309735345733,0.049110596813630794,0.3076923076923077,0.19230769230769232
2021,39,0.021272605782217874,2.699811489303342e-06,0.02564102564102564,0.0
