observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,factor_id,frequency,top_k,cost_bps,path_type
2134.0,6.206564256843965,0.2626631288121859,0.39395267883580154,0.7905157452592789,0.719785598471936,1.0107899369858533,-0.5068868659067033,1013.0,0.518188863194043,0.39674590484136973,20.801830272207674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,5,0,factor_topk
2134.0,5.598888424861034,0.24959634419423815,0.3939728571858477,0.764080933457336,0.6933540305813226,0.9724580584160851,-0.5190498393431209,1016.0,0.48087163365682317,0.39674590484136973,20.801830272207674,0.10257986611585218,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,5,5,factor_topk
2134.0,5.042290046499669,0.2366608352238586,0.39400005022967516,0.7376356964285697,0.6669132931224351,0.9342100956477458,-0.530916840803543,1046.0,0.4457587649050128,0.39674590484136973,20.801830272207674,0.19477265244241354,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,5,10,factor_topk
2134.0,4.065564917683779,0.21117853760266936,0.3940754742155221,0.6847196160037379,0.6140099757375597,0.8579722276136006,-0.5537911770668333,1483.0,0.38133243422399926,0.39674590484136973,20.801830272207674,0.35186134271565317,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,5,20,factor_topk
2134.0,3.8856018150949794,0.20601587351577177,0.3337005857761429,0.7294565206788141,0.6459608802709234,0.8969330445270348,-0.4442161475858787,1012.0,0.46377394121167886,0.3632255794316783,19.044322226547152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,10,0,factor_topk
2134.0,3.507067752624578,0.19458514161490226,0.33371249780602613,0.7008925800287265,0.6173991843731458,0.8562155044291033,-0.45558493874365535,1013.0,0.42711056724460716,0.3632255794316783,19.044322226547152,0.0897675739979181,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,10,5,factor_topk
2134.0,3.157782303483729,0.18326006200486677,0.33373014206150614,0.6723191304071504,0.5888294043536327,0.8155897703215267,-0.46672397635356166,1017.0,0.3926519126714847,0.3632255794316783,19.044322226547152,0.17141787078951123,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,10,10,factor_topk
2134.0,2.538115216091331,0.16092306037923598,0.3337826233177599,0.6151496069904061,0.5316714922203148,0.7346191725218287,-0.48833104756985957,1487.0,0.3295368197046998,0.3632255794316783,19.044322226547152,0.31310274240534625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS001_MOM_255_0,weekly,10,20,factor_topk
2134.0,4.538158148117774,0.22400333269421258,0.28344052420536126,0.8559425911029482,0.7576444339754215,1.0525554731362543,-0.3622607604045761,577.0,0.6183483202653349,0.3185375524357249,16.701279131644043,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,0,factor_topk
2134.0,4.16001718014111,0.2138237148404274,0.28343680189308673,0.8264682851936945,0.7281679965222096,1.010348154654979,-0.37158058102885483,588.0,0.5754437281097395,0.3185375524357249,16.701279131644043,0.10107488058822037,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,5,factor_topk
2134.0,3.8076305880572257,0.20372684194989388,0.28343772184875926,0.7969801516092823,0.6986793296352907,0.9682308166824327,-0.3807661296628383,589.0,0.5350445485534399,0.3185375524357249,16.701279131644043,0.19379431111994438,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,10,factor_topk
2134.0,3.173240437721801,0.1837787076586015,0.28345348815505883,0.7379681996902617,0.6396711059175213,0.8842712165087724,-0.39874201154220745,613.0,0.4608962746308166,0.3185375524357249,16.701279131644043,0.3566810889136305,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,20,factor_topk
2134.0,2.2285201061132347,0.14843720720237297,0.22970119544437595,0.7181441709678553,0.5968218391413392,0.8186648831263847,-0.35327586214150497,569.0,0.4201736464602167,0.3007624054789267,15.769308352495853,0.0,9.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998742029167634,0.9998742029167634,0.0,0.9998742029167634,0.9998742029167634,0.0,XS001_MOM_255_0,weekly,50,0,factor_topk
2134.0,2.0199760876661683,0.1394170151806644,0.22971034374116334,0.6837848058701,0.5624671365537421,0.7704100522631201,-0.36213612530943173,588.0,0.38498510763469895,0.3007624054789267,15.769308352495853,0.08692874731010283,9.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998742029167634,0.9998742029167634,0.0,0.9998742029167634,0.9998742029167634,0.0,XS001_MOM_255_0,weekly,50,5,factor_topk
2134.0,1.8248706509137258,0.13046615015818142,0.22972427038829973,0.6494146690635562,0.5281041780306888,0.7222868234415192,-0.3708766304630565,589.0,0.35177775961588204,0.3007624054789267,15.769308352495853,0.1674369602812048,9.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998742029167634,0.9998742029167634,0.0,0.9998742029167634,0.9998742029167634,0.0,XS001_MOM_255_0,weekly,50,10,factor_topk
2134.0,1.4715752867231449,0.11277032009686971,0.2297664549599864,0.5806506764039008,0.45936208343112533,0.6264427363368081,-0.3880047325704957,610.0,0.2906416098323768,0.3007624054789267,15.769308352495853,0.31095853539705937,9.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998742029167634,0.9998742029167634,0.0,0.9998742029167634,0.9998742029167634,0.0,XS001_MOM_255_0,weekly,50,20,factor_topk
2134.0,1.5534075372431602,0.11705882081529584,0.1994580706146693,0.6552356713151266,0.515444688516153,0.7229919274143145,-0.3999143652645285,488.0,0.29270971733627466,0.030111755164824856,1.5787929062239565,0.0,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,XS001_MOM_255_0,weekly,0,0,eligible_ew
