factor_id,frequency,2018_2021_active_terminal,2018_2021_factor_sharpe,2022_2026h1_active_terminal,2022_2026h1_factor_sharpe,subperiods_active_positive
XS001_MOM_255_0,weekly,-0.3638378809166271,0.1883642150191528,1.999506489228731,1.1117998945398928,False
XS001_MOM_255_0,monthly,-0.1846927956540578,0.40558014166704,1.9798840280082208,1.0878760620830168,False
XS002_MOM_12_1,weekly,-0.3027618844347857,0.2741325903106745,1.3680168149733103,0.9177618841317152,False
XS002_MOM_12_1,monthly,-0.2445735141590084,0.3331167190584702,1.5620263541712451,0.9699118494714564,False
XS003_MOM_12_7,weekly,-0.0943037767547935,0.5178932827485,1.8568620480383813,1.1018184642636095,False
XS003_MOM_12_7,monthly,0.0410975809829881,0.6442819254257309,1.81900867661608,1.0814577830821914,True
XS004_HIGH_52W,weekly,-0.5142085769122536,-0.1958815399031197,-0.3216387842651893,-0.1949283259216822,False
XS004_HIGH_52W,monthly,-0.1044555706686816,0.6039326518039448,-0.1335708436813802,0.10755731515281,False
XS007_ST_REV_21,weekly,0.3439978091934568,0.7093531353153272,-0.3112896393806676,-0.0032630917079279,False
XS007_ST_REV_21,monthly,0.3727817305959326,0.7507848412794917,-0.4234520824098341,-0.1773795395456944,False
XS008_SAME_MONTH_5Y,weekly,-0.1656157831557614,0.4372962115004423,-0.3304378278035275,-0.0731229189702539,False
XS008_SAME_MONTH_5Y,monthly,0.0246530487253666,0.6114378549264359,-0.2066926909222274,0.0633232404638526,False
XS013_LOW_BETA_FP,weekly,-0.1935533131557769,0.506212409530343,-0.3069012396438378,-0.2506706756886085,False
XS013_LOW_BETA_FP,monthly,-0.1649273120884313,0.51576929256785,-0.2887820634049372,-0.2307158100684385,False
XS015_MAX_21,weekly,-0.2431724719985623,0.3805149314629957,-0.3159636726428306,-0.2636177911967186,False
XS015_MAX_21,monthly,-0.1895439181374698,0.4928888403235203,-0.20042645836199,-0.0261881751730175,False
XS018_AMIHUD_252,weekly,-0.1784932484065815,0.4067398316818951,-0.1944094103423334,0.0685834340750468,False
XS018_AMIHUD_252,monthly,-0.1768940034193044,0.4006155399271904,-0.2380759900152648,-0.0070836628900192,False
XS019_PRICE_DELAY_52W,weekly,-0.1288005633678158,0.6120672696033882,-0.2453182199441469,-0.0956374634058158,False
XS019_PRICE_DELAY_52W,monthly,-0.1908970377120459,0.4811452132578506,-0.2313941803956721,-0.0946758880124161,False
XS020_VOLUME_SHOCK_50D,weekly,-0.3593380597114565,0.1945514107280898,-0.0879291328975431,0.2034390534497772,False
XS020_VOLUME_SHOCK_50D,monthly,0.1953495125500601,0.8275092838514426,-0.165827647152012,0.0710857097218195,False
XS032_GROSS_PROFIT_AT,weekly,0.0301758322582021,0.772087537670326,-0.1131005421846182,0.114008411079396,False
XS032_GROSS_PROFIT_AT,monthly,0.0247751142460288,0.7586832706283329,-0.1216517855839909,0.0857530844941535,False
XS041_ASSET_GROWTH,weekly,0.0048395996710823,0.5799114854453047,0.448040272924205,0.771281157001536,True
XS041_ASSET_GROWTH,monthly,0.0551413413394936,0.6225254100546977,0.5140045731373026,0.8154057789293581,True
XS056_CFO_ACCRUALS_PT,weekly,-0.0589721114950413,0.499317786590984,0.3912250399618877,0.6265471971988128,False
XS056_CFO_ACCRUALS_PT,monthly,-0.0260258811085312,0.5268880775861021,0.4718590436158865,0.671723077963581,False
