factor_id,frequency,signal_dates,median_rank_ic,mean_rank_ic,positive_fraction,block_sign_p,bh_q
XS001_MOM_255_0,monthly,101,0.015008514520009938,0.010216303455901861,0.5346534653465347,0.21844293918147295,0.707870326787748
XS001_MOM_255_0,weekly,443,0.005567928284418714,0.00638778866850218,0.5124153498871332,0.13429965689678908,0.3760390393110094
XS002_MOM_12_1,monthly,101,0.01783561082616771,0.007544592875321315,0.5544554455445545,0.30389628461956464,0.7090913307789841
XS002_MOM_12_1,weekly,443,0.01388182779949854,0.011044415896551451,0.5169300225733634,0.07182831154033117,0.2513990903911591
XS003_MOM_12_7,monthly,101,0.017214245441557235,0.008482091088124371,0.5544554455445545,0.14258003966444843,0.707870326787748
XS003_MOM_12_7,weekly,443,0.012390919776318758,0.010971748661937484,0.5282167042889391,0.055388444603750774,0.2513990903911591
XS004_HIGH_52W,monthly,101,0.028288963331964054,0.005507055442118135,0.5742574257425742,0.2528108309956243,0.707870326787748
XS004_HIGH_52W,weekly,443,-0.0010072092340090203,-0.002905712370084552,0.4966139954853273,0.4660011656369855,0.7867439828636055
XS007_ST_REV_21,monthly,101,0.0007205023608099571,-0.0017619690953055308,0.504950495049505,0.6396021917628606,0.8707432137159317
XS007_ST_REV_21,weekly,443,0.005696470785883144,0.017020789947582264,0.5191873589164786,0.03339869011372957,0.2513990903911591
XS008_SAME_MONTH_5Y,monthly,101,0.006867286658041436,-0.0011515496042792735,0.5148514851485149,0.4709690321359896,0.8707432137159317
XS008_SAME_MONTH_5Y,weekly,443,0.0024113859494147008,-0.007975545817832535,0.5056433408577878,0.894971277595058,0.894971277595058
XS013_LOW_BETA_FP,monthly,101,-0.04681990165229108,-0.020320687914370295,0.40594059405940597,0.769381348149444,0.8721372157276874
XS013_LOW_BETA_FP,weekly,443,-0.010635946793401182,-0.008790899575680503,0.4898419864559819,0.5619599877597182,0.7867439828636055
XS015_MAX_21,monthly,101,0.0001057623562160767,-0.010287769094581628,0.504950495049505,0.6841553822053749,0.8707432137159317
XS015_MAX_21,weekly,443,0.00034681411014800685,-0.001995096532219855,0.5033860045146726,0.3168064266793192,0.6803995589217516
XS018_AMIHUD_252,monthly,101,-0.012001008004032017,-0.009587679772965171,0.43564356435643564,0.8721372157276874,0.8721372157276874
XS018_AMIHUD_252,weekly,443,-0.005564766900523375,-0.004079218670773759,0.48306997742663654,0.8007859236562507,0.8623848408605777
XS019_PRICE_DELAY_52W,monthly,101,-0.026657556076007435,-0.01396213252464006,0.45544554455445546,0.8558876289527366,0.8721372157276874
XS019_PRICE_DELAY_52W,weekly,443,0.0022525475668313186,-0.005989062022435435,0.5056433408577878,0.7856653835276963,0.8623848408605777
XS020_VOLUME_SHOCK_50D,monthly,101,-0.0018615313180686704,0.011259816324481565,0.49504950495049505,0.09752718949770556,0.707870326787748
XS020_VOLUME_SHOCK_50D,weekly,443,0.005494559044160058,0.006523138253424341,0.5372460496613995,0.05217364309399755,0.2513990903911591
XS032_GROSS_PROFIT_AT,monthly,101,0.011077140143024505,0.011185013277317754,0.5643564356435643,0.1727236456367408,0.707870326787748
XS032_GROSS_PROFIT_AT,weekly,443,0.002858945627814962,0.004217090411485191,0.5011286681715575,0.3401997794608758,0.6803995589217516
XS041_ASSET_GROWTH,monthly,101,-0.01134974543800781,-0.0010664458416064502,0.4752475247524752,0.6357917700377604,0.8707432137159317
XS041_ASSET_GROWTH,weekly,443,-0.007655485952569966,-0.0028775626277675426,0.47404063205417607,0.7924664492841316,0.8623848408605777
XS056_CFO_ACCRUALS_PT,monthly,101,-0.00433652117663816,-0.001286823592510288,0.49504950495049505,0.5572397206516598,0.8707432137159317
XS056_CFO_ACCRUALS_PT,weekly,443,-0.001021651207581791,5.221406549608725e-05,0.49209932279909707,0.5269767243360785,0.7867439828636055
