factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS001_MOM_255_0,monthly,2017,0.2234987363382092,0.2234987363382092,1
XS001_MOM_255_0,monthly,2018,-0.0729378692016273,-0.02014663381759392,12
XS001_MOM_255_0,monthly,2019,-0.07336803325345709,-0.025042190769106642,12
XS001_MOM_255_0,monthly,2020,-0.04897924548009064,-0.011999622053916595,12
XS001_MOM_255_0,monthly,2021,-0.07326498800123878,-0.06883988597732608,12
XS001_MOM_255_0,monthly,2022,0.09091235126671364,0.018412108021059564,12
XS001_MOM_255_0,monthly,2023,0.07907560776203204,0.06137236222789592,12
XS001_MOM_255_0,monthly,2024,0.10243105145093462,0.057645959709546495,12
XS001_MOM_255_0,monthly,2025,-0.010963938409970508,0.009920976786259013,12
XS001_MOM_255_0,monthly,2026,0.14119358347312908,0.13811775579651642,4
XS001_MOM_255_0,weekly,2017,0.11758218363595997,0.11758218363595997,1
XS001_MOM_255_0,weekly,2018,-0.0034656570024636955,0.004423583330412599,52
XS001_MOM_255_0,weekly,2019,-0.01557558487205119,0.0002853322598548597,52
XS001_MOM_255_0,weekly,2020,0.010672939743079595,0.008735994652302646,53
XS001_MOM_255_0,weekly,2021,-0.04810722510400488,-0.035241395661012274,52
XS001_MOM_255_0,weekly,2022,-0.016247168239196908,0.010214997805874669,52
XS001_MOM_255_0,weekly,2023,0.0006307554868773691,-0.01294857013473338,52
XS001_MOM_255_0,weekly,2024,0.030903046304968426,0.033170583833194656,52
XS001_MOM_255_0,weekly,2025,0.038501078090393485,0.018681772155219448,52
XS001_MOM_255_0,weekly,2026,0.10505551446906984,0.051308507732812675,25
XS002_MOM_12_1,monthly,2017,0.21271614132301578,0.21271614132301578,1
XS002_MOM_12_1,monthly,2018,-0.04779871026736644,-0.009873328751702756,12
XS002_MOM_12_1,monthly,2019,-0.07060869238288595,-0.010983939244380033,12
XS002_MOM_12_1,monthly,2020,-0.0371175786005664,-0.02152129328201376,12
XS002_MOM_12_1,monthly,2021,-0.09843023552745628,-0.0764248899723306,12
XS002_MOM_12_1,monthly,2022,0.030522844048615314,0.02316212635572922,12
XS002_MOM_12_1,monthly,2023,0.07172647478834346,0.05078674792642385,12
