observations_factor,total_return_factor,cagr_factor,annualized_volatility_factor,sharpe_zero_rf_factor,sharpe_excess_rf_factor,sortino_factor,max_drawdown_factor,max_drawdown_duration_factor,calmar_factor,average_l1_turnover_factor,annualized_l1_turnover_factor,total_cost_factor,corporate_action_events_applied_factor,valuation_fallback_count_factor,valuation_fallback_sid_count_factor,unfilled_execution_count_factor,skipped_signed_rebalance_count_factor,average_target_risk_allocation_factor,minimum_target_risk_allocation_factor,maximum_target_risk_allocation_factor,below_full_investment_fraction_factor,leveraged_rebalance_fraction_factor,average_actual_risky_weight_factor,average_long_exposure_factor,average_short_exposure_factor,average_gross_exposure_factor,average_net_exposure_factor,total_short_borrow_fee_factor,factor_id,frequency,top_k_factor,cost_bps,path_type_factor,observations_eligible_ew,total_return_eligible_ew,cagr_eligible_ew,annualized_volatility_eligible_ew,sharpe_zero_rf_eligible_ew,sharpe_excess_rf_eligible_ew,sortino_eligible_ew,max_drawdown_eligible_ew,max_drawdown_duration_eligible_ew,calmar_eligible_ew,average_l1_turnover_eligible_ew,annualized_l1_turnover_eligible_ew,total_cost_eligible_ew,corporate_action_events_applied_eligible_ew,valuation_fallback_count_eligible_ew,valuation_fallback_sid_count_eligible_ew,unfilled_execution_count_eligible_ew,skipped_signed_rebalance_count_eligible_ew,average_target_risk_allocation_eligible_ew,minimum_target_risk_allocation_eligible_ew,maximum_target_risk_allocation_eligible_ew,below_full_investment_fraction_eligible_ew,leveraged_rebalance_fraction_eligible_ew,average_actual_risky_weight_eligible_ew,average_long_exposure_eligible_ew,average_short_exposure_eligible_ew,average_gross_exposure_eligible_ew,average_net_exposure_eligible_ew,total_short_borrow_fee_eligible_ew,top_k_eligible_ew,path_type_eligible_ew,active_terminal_return,active_cagr,active_sharpe,active_mdd
2134.0,4.538158148117774,0.22400333269421258,0.28344052420536126,0.8559425911029482,0.7576444339754215,1.0525554731362543,-0.3622607604045761,577.0,0.6183483202653349,0.3185375524357249,16.701279131644043,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,0,factor_topk,2134.0,1.5534075372431602,0.11705882081529584,0.1994580706146693,0.6552356713151266,0.515444688516153,0.7229919274143145,-0.3999143652645285,488.0,0.29270971733627466,0.030111755164824856,1.5787929062239565,0.0,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,0,eligible_ew,2.984750610874614,0.10694451187891674,0.24219974545926848,0.037653604859952394
2134.0,4.16001718014111,0.2138237148404274,0.28343680189308673,0.8264682851936945,0.7281679965222096,1.010348154654979,-0.37158058102885483,588.0,0.5754437281097395,0.3185375524357249,16.701279131644043,0.10107488058822037,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,5,factor_topk,2134.0,1.536394972931431,0.11617734333633822,0.19945974454524926,0.6512732442373361,0.5114840066150169,0.7173118889368802,-0.400015498501484,488.0,0.29043210518481255,0.030111755164824852,1.5787929062239563,0.010267294235959904,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,0,eligible_ew,2.623622207209679,0.09764637150408917,0.21668398990719273,0.028434917472629162
2134.0,3.8076305880572257,0.20372684194989388,0.28343772184875926,0.7969801516092823,0.6986793296352907,0.9682308166824327,-0.3807661296628383,589.0,0.5350445485534399,0.3185375524357249,16.701279131644043,0.19379431111994438,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,10,factor_topk,2134.0,1.5194948721569168,0.11529651512628325,0.19946161473770746,0.64731024674011,0.5075228912175869,0.7116337491656749,-0.40011661835077483,488.0,0.2881572767497623,0.03011175516482485,1.578792906223956,0.020454940971730288,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,0,eligible_ew,2.288135715900309,0.08843032682361063,0.1911564384177038,0.01935048868793654
2134.0,3.173240437721801,0.1837787076586015,0.28345348815505883,0.7379681996902617,0.6396711059175213,0.8842712165087724,-0.39874201154220745,613.0,0.4608962746308166,0.3185375524357249,16.701279131644043,0.3566810889136305,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9999870099572903,0.9999870099572903,0.0,0.9999870099572903,0.9999870099572903,0.0,XS001_MOM_255_0,weekly,20,20,factor_topk,2134.0,1.4860291134700572,0.11353680462225246,0.19946594388559774,0.6393825874196194,0.4995994067984448,0.7002831775203935,-0.400318817891647,488.0,0.2836159569520489,0.030111755164824856,1.5787929062239565,0.040593552857108944,57.0,76.0,31.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998703758105816,0.9998703758105816,0.0,0.9998703758105816,0.9998703758105816,0.0,0,eligible_ew,1.6872113242517437,0.07024190303634903,0.14007169911907652,0.0015768063494395745
2134.0,5.166173407787273,0.23962822185734312,0.28799702449655157,0.8909042297091044,0.7941399245055769,1.1098474020936504,-0.36831978699315426,481.0,0.6505982852933093,0.664498373154777,8.003873563060163,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9996195353715437,0.9996195353715437,0.0,0.9996195353715437,0.9996195353715437,0.0,XS001_MOM_255_0,monthly,20,0,factor_topk,2134.0,1.4623009238885207,0.11227641716818759,0.19781135864060195,0.637353907885834,0.49640322019805383,0.6945858571508412,-0.39657413706368316,488.0,0.28311583301802123,0.07072961806575727,0.8519372552775186,0.0,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,0,eligible_ew,3.7038724838987522,0.12735180468915552,0.2977367043075231,0.0282543500705289
2134.0,4.960670324649793,0.23467633356850537,0.28797244722025617,0.877046582108996,0.7802739644208848,1.0898212947977173,-0.3729287647999907,482.0,0.6292792504068896,0.664498373154777,8.003873563060163,0.05891525950429363,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9996195353715437,0.9996195353715437,0.0,0.9996195353715437,0.9996195353715437,0.0,XS001_MOM_255_0,monthly,20,5,factor_topk,2134.0,1.4534344549271045,0.11180270010915039,0.19781210938463306,0.6351979998180943,0.49424815565331504,0.6915156851373206,-0.39658930031359096,488.0,0.2819105306692485,0.07072961806575725,0.8519372552775185,0.005300980227976904,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,0,eligible_ew,3.507235869722688,0.12287363345935498,0.2860258087675698,0.023660535513600256
2134.0,4.761945927388978,0.22974245672780835,0.28795267324532514,0.8631721702156455,0.7663928527515889,1.0698014339890785,-0.3775060907434099,497.0,0.6085794702686369,0.664498373154777,8.003873563060163,0.11537436346085227,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9996195353715437,0.9996195353715437,0.0,0.9996195353715437,0.9996195353715437,0.0,XS001_MOM_255_0,monthly,20,10,factor_topk,2134.0,1.4445990525981527,0.11132913860950322,0.1978130670477726,0.6330414459313611,0.49209259262240623,0.6884458453671658,-0.3966044635634991,488.0,0.28070571271238015,0.07072961806575725,0.8519372552775185,0.010580107879124806,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,0,eligible_ew,3.3173468747908252,0.11841331811830513,0.2743002601291826,0.019098372820089193
2134.0,4.383955194407394,0.21992850092404526,0.2879275389176752,0.8353758081136031,0.7385879330036729,1.02978352874584,-0.3872995021427822,563.0,0.5678512358194724,0.664498373154777,8.003873563060163,0.22128665877415515,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9996195353715437,0.9996195353715437,0.0,0.9996195353715437,0.9996195353715437,0.0,XS001_MOM_255_0,monthly,20,20,factor_topk,2134.0,1.4270210230032632,0.11038248204542689,0.19781560311870713,0.6287264278523594,0.48777999821484724,0.6823071718470497,-0.3966347900633156,488.0,0.27829752913960554,0.07072961806575727,0.8519372552775186,0.021073129852690484,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,0,eligible_ew,2.9569341714041304,0.10954601887861837,0.2508079347888256,0.009335287920533397
2134.0,3.8390811422199373,0.20465405987516516,0.2972227144891866,0.7759954230081142,0.6822353116452018,0.951071329913726,-0.4320679506969769,582.0,0.4736617459013886,0.3420757852991816,17.93541493231248,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998377082297665,0.9998377082297665,0.0,0.9998377082297665,0.9998377082297665,0.0,XS002_MOM_12_1,weekly,20,0,factor_topk,2134.0,1.551657007640892,0.11696835951687001,0.1993186217189555,0.6551479931504677,0.5152592456034469,0.7226335519875051,-0.3998417917129534,488.0,0.29253660307935403,0.030079034706385857,1.5770773360956425,0.0,58.0,76.0,31.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.999834291776703,0.999834291776703,0.0,0.999834291776703,0.999834291776703,0.0,0,eligible_ew,2.2874241345790454,0.08768570035829515,0.16697606604175486,-0.03222615898402348
2134.0,3.485168890540576,0.1938982582153601,0.2972241747239241,0.7458023295419561,0.6520426974851117,0.9078674355587272,-0.4408627413116101,592.0,0.4398154800709484,0.3420757852991816,17.93541493231248,0.10927796437629222,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9998377082297665,0.9998377082297665,0.0,0.9998377082297665,0.9998377082297665,0.0,XS002_MOM_12_1,weekly,20,5,factor_topk,2134.0,1.534674518499838,0.11608791079873004,0.1993204386775261,0.6511867940538238,0.5112998925970957,0.7169559640792038,-0.3999440138982596,488.0,0.2902604033680105,0.030079034706385857,1.5770773360956425,0.01025977507098171,58.0,76.0,31.0,34.0,0.0,1.0,1.0,1.0,0.0,0.0,0.999834291776703,0.999834291776703,0.0,0.999834291776703,0.999834291776703,0.0,0,eligible_ew,1.9504943720407382,0.07781034741663007,0.14074280488801594,-0.04091872741335045
