transfer_id,cost_bps,overlay_to_naked_terminal_ratio,timing_value_vs_static,delta_sharpe_vs_naked,delta_mdd_vs_naked,overlay_terminal,naked_terminal,static_terminal,overlay_cagr,naked_cagr,overlay_sharpe,naked_sharpe,overlay_mdd,naked_mdd,overlay_turnover,naked_turnover,overlay_mean_actual_long_exposure,static_mean_actual_long_exposure,four_metric_gate,frequency,primary,primary_four_metric_gate,primary_block13_lower,primary_one_sided_p
R9__MOM255__TOP10__MONTHLY,10.0,1.2950943208097374,0.2602337643089045,0.2647370168294649,0.1618777287477334,1.4098102369425294,1.088577267531424,1.1186894660893731,0.0896578827106451,0.0214445962109968,0.4913456525264035,0.2266086356969386,-0.3580499461620078,-0.5199276749097412,43.32137763877815,38.01429103002542,0.7331362913708688,0.7331362913708672,True,monthly,False,False,,
R9__MOM255__TOP10__WEEKLY,10.0,1.327933576512964,0.2322375794543369,0.2513294667104351,0.1599334020087031,1.207107333859483,0.9090118325264734,0.9796060061680784,0.0481814561342088,-0.0235671450409127,0.3243386756331353,0.0730092089227001,-0.3067905743448602,-0.4667239763535633,72.69994583111637,82.64283190417731,0.7330070435944732,0.733007043594472,True,weekly,False,False,,
R9__MOM255__TOP20__MONTHLY,10.0,1.182989684610543,0.2416033732681375,0.3077701469484021,0.1114706663415221,1.6505120224488974,1.3952040697567616,1.329339189941498,0.1334560189416107,0.0868245339333046,0.7495500406749424,0.4417798937265402,-0.266035424401888,-0.3775060907434101,40.78534392058906,33.857253502495496,0.7331222360169238,0.7331222360169233,True,monthly,True,True,0.00017843830250973075,0.0198
R9__MOM255__TOP20__WEEKLY,10.0,1.2556582266976697,0.2421476345322128,0.3042310355088119,0.1394778307991927,1.4071239983922148,1.1206265912762696,1.1328154232827012,0.0891384555700529,0.0288811979934469,0.5454709132001276,0.2412398776913157,-0.2412882988636483,-0.380766129662841,64.78615559675153,71.65249211145189,0.7330234057882242,0.7330234057882233,True,weekly,False,False,,
R9__MOM255__TOP50__MONTHLY,10.0,1.1172039986355793,0.1897170231848222,0.2992565653376001,0.1700775033851179,1.622533030273945,1.4523158100539515,1.3637974397731087,0.1286216752022637,0.0977798786783099,0.8019241901892704,0.5026676248516703,-0.191805230012665,-0.361882733397783,38.17684366646744,30.03378773115562,0.7331946570835671,0.7331946570835667,True,monthly,False,False,,
R9__MOM255__TOP50__WEEKLY,10.0,1.1921429474564182,0.2152753651236567,0.3211958106297575,0.1801606954112944,1.4597182694493265,1.224449024811842,1.2011419891662145,0.0991760599665112,0.0519259707062833,0.6534236217411087,0.3322278111113512,-0.1916155635811234,-0.3717762589924178,60.98853301304237,65.34386702912727,0.7329992730506013,0.7329992730505996,True,weekly,False,False,,
