transfer_id,frequency,top_k,path_type,cost_bps,peak_date,trough_date,recovery_date,depth,decline_sessions,recovery_sessions,duration_sessions,recovered
MONTHLY_TOP10,monthly,10,naked,0.0,2020-02-19,2020-03-23,2020-07-09,-0.29347810447176126,23,75,98,True
MONTHLY_TOP10,monthly,10,naked,0.0,2025-01-23,2025-04-08,2025-05-15,-0.24526147950572152,52,26,78,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-03-29,2022-06-16,2022-08-23,-0.2432641518749844,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-08-29,2022-09-26,2022-10-21,-0.1977078465142933,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,0.0,2021-02-12,2021-03-08,2021-08-09,-0.17891872532839082,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-11-15,2022-12-09,2023-07-31,-0.15857326687285034,17,158,175,True
MONTHLY_TOP10,monthly,10,naked,0.0,2026-01-26,2026-03-30,2026-04-08,-0.142983855391968,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,0.0,2022-02-09,2022-03-07,2022-03-18,-0.14253073217188483,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,0.0,2020-09-02,2020-10-30,2020-12-18,-0.13453956881680418,41,34,75,True
MONTHLY_TOP10,monthly,10,naked,5.0,2018-08-29,2018-12-24,2020-01-02,-0.3603552271447539,80,257,337,True
MONTHLY_TOP10,monthly,10,naked,5.0,2020-02-19,2020-03-23,2020-07-09,-0.2939048817332802,23,75,98,True
MONTHLY_TOP10,monthly,10,naked,5.0,2025-01-23,2025-04-08,2025-05-16,-0.24635121830321083,52,27,79,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-03-29,2022-06-16,2022-08-23,-0.24423426795885828,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-08-29,2022-09-26,2022-10-21,-0.1977941810496857,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,5.0,2021-02-12,2021-03-08,2021-08-09,-0.17918573658027748,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-11-15,2022-12-09,2023-08-14,-0.15883978652253794,17,168,185,True
MONTHLY_TOP10,monthly,10,naked,5.0,2026-01-26,2026-03-30,2026-04-08,-0.14383086946927137,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,5.0,2022-02-09,2022-03-07,2022-03-18,-0.14302656685228143,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,5.0,2020-09-02,2020-10-30,2020-12-18,-0.13490040761346755,41,34,75,True
MONTHLY_TOP10,monthly,10,naked,10.0,2018-08-29,2018-12-24,2020-01-09,-0.3616920612474712,80,262,342,True
MONTHLY_TOP10,monthly,10,naked,10.0,2020-02-19,2020-03-23,2020-07-20,-0.2943316589947993,23,82,105,True
MONTHLY_TOP10,monthly,10,naked,10.0,2025-01-23,2025-04-08,2025-05-16,-0.24743991368580276,52,27,79,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-03-29,2022-06-16,2022-08-23,-0.24520357042640084,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-08-29,2022-09-26,2022-10-21,-0.1978805155850779,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,10.0,2021-02-12,2021-03-08,2021-08-09,-0.17945274783216414,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-11-15,2023-01-03,2023-11-17,-0.15917501260043265,32,221,253,True
MONTHLY_TOP10,monthly,10,naked,10.0,2026-01-26,2026-03-30,2026-04-08,-0.1446774710369042,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,10.0,2022-02-09,2022-03-07,2022-03-18,-0.14352240153267815,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,10.0,2020-09-02,2020-10-30,2020-12-22,-0.1352612464101316,41,36,77,True
MONTHLY_TOP10,monthly,10,naked,20.0,2018-08-29,2018-12-24,2020-01-16,-0.36435949063257733,80,267,347,True
MONTHLY_TOP10,monthly,10,naked,20.0,2020-02-19,2020-03-23,2020-07-20,-0.29518521351783744,23,82,105,True
MONTHLY_TOP10,monthly,10,naked,20.0,2025-01-23,2025-04-08,2025-05-16,-0.24961417619187087,52,27,79,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-03-29,2022-06-16,2022-08-23,-0.24713973584877025,55,46,101,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-08-29,2022-09-26,2022-10-21,-0.19805318465586197,19,19,38,True
MONTHLY_TOP10,monthly,10,naked,20.0,2021-02-12,2021-03-08,2021-08-09,-0.1799867703359379,15,107,122,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-11-15,2023-01-03,2023-11-20,-0.16025343072579323,32,222,254,True
MONTHLY_TOP10,monthly,10,naked,20.0,2026-01-26,2026-03-30,2026-04-08,-0.1463694366431575,44,6,50,True
MONTHLY_TOP10,monthly,10,naked,20.0,2022-02-09,2022-03-07,2022-03-18,-0.14451407089347146,17,9,26,True
MONTHLY_TOP10,monthly,10,naked,20.0,2020-09-02,2020-10-30,2021-01-07,-0.1359829240034588,41,46,87,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2018-06-01,2018-12-24,2019-04-05,-0.25656330224912893,142,70,212,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2022-03-29,2022-06-16,2022-10-21,-0.24326415187498418,55,88,143,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2021-02-12,2021-03-08,2021-10-15,-0.1789187253283906,15,155,170,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2025-01-23,2025-04-08,2025-05-02,-0.16146853119907112,52,17,69,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2022-11-15,2022-12-09,2023-12-12,-0.15857326687285034,17,252,269,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2020-02-19,2020-03-23,2020-06-23,-0.15579999351929608,23,64,87,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2026-01-26,2026-03-30,2026-04-08,-0.14298385539196767,44,6,50,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2022-02-09,2022-03-07,2022-03-18,-0.14253073217188494,17,9,26,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2020-10-13,2020-10-30,2020-12-15,-0.12742282209964473,13,31,44,True
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2022-01-14,2022-01-21,2022-02-04,-0.10288598817911188,4,10,14,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2018-06-01,2018-12-24,2019-04-05,-0.2589562485567034,142,70,212,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2022-03-29,2022-06-16,2022-10-24,-0.24423426795885894,55,89,144,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2021-02-12,2021-03-08,2021-10-18,-0.17918573658027792,15,156,171,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2025-01-23,2025-04-08,2025-05-02,-0.1624843599374014,52,17,69,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2022-11-15,2022-12-09,2023-12-12,-0.15883978652253816,17,252,269,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2020-02-19,2020-03-23,2020-06-23,-0.156077576488168,23,64,87,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2026-01-26,2026-03-30,2026-04-08,-0.14383086946927148,44,6,50,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2022-02-09,2022-03-07,2022-03-18,-0.14302656685228132,17,9,26,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2020-10-13,2020-10-30,2020-12-15,-0.12742282209964462,13,31,44,True
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2022-01-14,2022-01-21,2022-02-04,-0.10288598817911176,4,10,14,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2018-06-01,2018-12-24,2019-04-10,-0.2613422993098501,142,73,215,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2022-03-29,2022-06-16,2022-10-24,-0.24520357042640095,55,89,144,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2021-02-12,2021-03-08,2021-10-18,-0.17945274783216425,15,156,171,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2025-01-23,2025-04-08,2025-05-02,-0.16349926491314037,52,17,69,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2022-11-15,2023-01-03,2023-12-13,-0.1591750126004321,32,238,270,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2020-02-19,2020-03-23,2020-07-06,-0.1563551438082892,23,72,95,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2026-01-26,2026-03-30,2026-04-08,-0.14467747103690365,44,6,50,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2022-02-09,2022-03-07,2022-03-18,-0.1435224015326777,17,9,26,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2020-10-13,2020-10-30,2020-12-16,-0.12742282209964484,13,32,45,True
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2022-01-14,2022-01-21,2022-02-04,-0.10288598817911165,4,10,14,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2018-06-01,2018-12-24,2019-04-26,-0.26609378455310506,142,84,226,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2022-03-29,2022-06-16,2022-10-25,-0.2471397358487708,55,90,145,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2021-02-12,2021-03-08,2021-10-20,-0.1799867703359378,15,158,173,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2025-01-23,2025-04-08,2025-05-02,-0.16552630587838746,52,17,69,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2022-11-15,2023-01-03,2023-12-13,-0.16025343072579268,32,238,270,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2020-02-19,2020-03-23,2020-07-06,-0.15691023150412342,23,72,95,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2026-01-26,2026-03-30,2026-04-08,-0.14636943664315694,44,6,50,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2022-02-09,2022-03-07,2022-03-18,-0.14451407089347112,17,9,26,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2020-10-13,2020-10-30,2020-12-16,-0.12742282209964473,13,32,45,True
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2022-01-14,2022-01-21,2022-02-08,-0.10288598817911154,4,12,16,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2020-02-19,2020-03-23,2020-07-29,-0.2665201155946366,23,89,112,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2018-08-29,2018-12-24,2019-09-05,-0.22390717417734474,80,175,255,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2022-03-29,2022-05-11,2022-08-18,-0.16926193620656738,30,68,98,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2025-01-23,2025-04-08,2025-05-13,-0.1659985883782341,52,24,76,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2022-08-25,2022-09-26,2022-10-21,-0.13868888154113657,21,19,40,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2021-02-12,2021-03-08,2021-04-27,-0.11072995177659062,15,35,50,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2023-08-14,2023-10-27,2023-12-08,-0.11016971374422324,53,29,82,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2026-02-25,2026-03-30,2026-04-10,-0.1092875920287969,23,8,31,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2022-11-15,2023-03-17,2023-07-12,-0.09697142096789813,83,79,162,True
MONTHLY_TOP20,monthly,20,matched_static,0.0,2026-06-02,2026-06-10,2026-06-15,-0.09694868726378081,6,3,9,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2020-02-19,2020-03-23,2020-07-29,-0.26681713824526565,23,89,112,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2018-08-29,2018-12-24,2019-10-30,-0.22492602646606363,80,214,294,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2022-03-29,2022-05-11,2022-08-18,-0.1698781663139033,30,68,98,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2025-01-23,2025-04-08,2025-05-13,-0.16699168513559426,52,24,76,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2022-08-25,2022-09-26,2022-10-21,-0.13884347635329597,21,19,40,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2021-02-12,2021-03-08,2021-04-27,-0.11104767170581376,15,35,50,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2023-08-14,2023-10-27,2023-12-11,-0.11073641133377454,53,30,83,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2026-02-25,2026-03-30,2026-04-10,-0.10952089506639395,23,8,31,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2022-11-15,2023-03-17,2023-07-17,-0.09812278177925327,83,82,165,True
MONTHLY_TOP20,monthly,20,matched_static,5.0,2026-06-02,2026-06-10,2026-06-15,-0.09695052308320529,6,3,9,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2020-02-19,2020-03-23,2020-07-30,-0.26711414354616947,23,90,113,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2018-08-29,2018-12-24,2019-11-04,-0.22594385666837125,80,217,297,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2022-03-29,2022-05-11,2022-08-23,-0.17049415890691932,30,71,101,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2025-01-23,2025-04-08,2025-05-13,-0.1679839690099827,52,24,76,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2022-08-25,2022-09-26,2022-10-21,-0.13899806448306773,21,19,40,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2023-07-18,2023-10-27,2023-12-11,-0.1115382469706725,72,30,102,True
