transfer_id,frequency,top_k,path_type,cost_bps,year,return
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2018,-0.02350273297789851
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2019,0.4312273165071123
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2020,0.3663274327500865
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2021,0.15899426548660345
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2022,0.11883908189897041
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2023,0.227212817930861
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2024,0.6381853842877827
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2025,0.24698591336536935
MONTHLY_TOP10,monthly,10,p00_overlay,0.0,2026,0.5240947805032412
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2018,-0.030528710756230648
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2019,0.4202111924399894
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2020,0.3577676248981745
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2021,0.15313005421771275
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2022,0.11220274417280862
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2023,0.22076354435559553
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2024,0.6257741579493683
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2025,0.2417012942609349
MONTHLY_TOP10,monthly,10,p00_overlay,5.0,2026,0.5203894345402122
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2018,-0.03750649722760113
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2019,0.4092751331699451
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2020,0.34925877588884746
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2021,0.14729336073517119
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2022,0.1056025857949543
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2023,0.21434602405025793
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2024,0.6134526122087378
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2025,0.23643747976825824
MONTHLY_TOP10,monthly,10,p00_overlay,10.0,2026,0.5166916537842083
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2018,-0.05131875239316086
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2019,0.38764101924099204
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2020,0.33239280527641646
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2021,0.13570204962316645
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2022,0.09251008658502502
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2023,0.20160565985597256
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2024,0.589076097977457
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2025,0.2259719617836935
MONTHLY_TOP10,monthly,10,p00_overlay,20.0,2026,0.509318737247014
MONTHLY_TOP20,monthly,20,matched_static,0.0,2018,-0.035386752777668784
MONTHLY_TOP20,monthly,20,matched_static,0.0,2019,0.25073799299367305
MONTHLY_TOP20,monthly,20,matched_static,0.0,2020,0.15427097412860724
MONTHLY_TOP20,monthly,20,matched_static,0.0,2021,0.2124605565129445
MONTHLY_TOP20,monthly,20,matched_static,0.0,2022,0.12423768506866972
MONTHLY_TOP20,monthly,20,matched_static,0.0,2023,0.1330312108345182
MONTHLY_TOP20,monthly,20,matched_static,0.0,2024,0.2803529218803371
MONTHLY_TOP20,monthly,20,matched_static,0.0,2025,0.25146952192901284
MONTHLY_TOP20,monthly,20,matched_static,0.0,2026,0.46357616177430616
MONTHLY_TOP20,monthly,20,matched_static,5.0,2018,-0.039244986668450776
MONTHLY_TOP20,monthly,20,matched_static,5.0,2019,0.2452719880535621
MONTHLY_TOP20,monthly,20,matched_static,5.0,2020,0.14932897358080877
MONTHLY_TOP20,monthly,20,matched_static,5.0,2021,0.2076743943451782
MONTHLY_TOP20,monthly,20,matched_static,5.0,2022,0.1193244997514824
MONTHLY_TOP20,monthly,20,matched_static,5.0,2023,0.1281085948592222
MONTHLY_TOP20,monthly,20,matched_static,5.0,2024,0.27487360415185735
MONTHLY_TOP20,monthly,20,matched_static,5.0,2025,0.24575407807831162
MONTHLY_TOP20,monthly,20,matched_static,5.0,2026,0.46103579335729283
MONTHLY_TOP20,monthly,20,matched_static,10.0,2018,-0.043089039266761775
MONTHLY_TOP20,monthly,20,matched_static,10.0,2019,0.23982780495075895
MONTHLY_TOP20,monthly,20,matched_static,10.0,2020,0.14440639974496983
MONTHLY_TOP20,monthly,20,matched_static,10.0,2021,0.20290553139306677
MONTHLY_TOP20,monthly,20,matched_static,10.0,2022,0.11443100312163379
MONTHLY_TOP20,monthly,20,matched_static,10.0,2023,0.12320557592043713
MONTHLY_TOP20,monthly,20,matched_static,10.0,2024,0.2694158052528297
MONTHLY_TOP20,monthly,20,matched_static,10.0,2025,0.24006264368583174
MONTHLY_TOP20,monthly,20,matched_static,10.0,2026,0.4584989794662673
MONTHLY_TOP20,monthly,20,matched_static,20.0,2018,-0.050734790739974556
MONTHLY_TOP20,monthly,20,matched_static,20.0,2019,0.22900458844982485
MONTHLY_TOP20,monthly,20,matched_static,20.0,2020,0.13461925383229434
MONTHLY_TOP20,monthly,20,matched_static,20.0,2021,0.19341947573978246
MONTHLY_TOP20,monthly,20,matched_static,20.0,2022,0.10470278854445114
MONTHLY_TOP20,monthly,20,matched_static,20.0,2023,0.11345804551114935
MONTHLY_TOP20,monthly,20,matched_static,20.0,2024,0.2585644560052549
MONTHLY_TOP20,monthly,20,matched_static,20.0,2025,0.22875143506197282
MONTHLY_TOP20,monthly,20,matched_static,20.0,2026,0.45343599994798356
MONTHLY_TOP20,monthly,20,naked,0.0,2018,-0.06297357981066964
MONTHLY_TOP20,monthly,20,naked,0.0,2019,0.33587631663766837
MONTHLY_TOP20,monthly,20,naked,0.0,2020,0.19280272600791193
MONTHLY_TOP20,monthly,20,naked,0.0,2021,0.2858496610334529
MONTHLY_TOP20,monthly,20,naked,0.0,2022,0.14572682350871324
MONTHLY_TOP20,monthly,20,naked,0.0,2023,0.15724727663527593
MONTHLY_TOP20,monthly,20,naked,0.0,2024,0.35559261575535817
MONTHLY_TOP20,monthly,20,naked,0.0,2025,0.31393200635409046
MONTHLY_TOP20,monthly,20,naked,0.0,2026,0.6481390501837645
MONTHLY_TOP20,monthly,20,naked,5.0,2018,-0.0678522903910036
MONTHLY_TOP20,monthly,20,naked,5.0,2019,0.3282242370240278
MONTHLY_TOP20,monthly,20,naked,5.0,2020,0.18617949530443156
MONTHLY_TOP20,monthly,20,naked,5.0,2021,0.27923506849937874
MONTHLY_TOP20,monthly,20,naked,5.0,2022,0.13927651928071194
MONTHLY_TOP20,monthly,20,naked,5.0,2023,0.15064235082377708
MONTHLY_TOP20,monthly,20,naked,5.0,2024,0.34805232775989214
MONTHLY_TOP20,monthly,20,naked,5.0,2025,0.3060955800998175
MONTHLY_TOP20,monthly,20,naked,5.0,2026,0.644465864313349
MONTHLY_TOP20,monthly,20,naked,10.0,2018,-0.07270778446815995
MONTHLY_TOP20,monthly,20,naked,10.0,2019,0.32061205576889384
MONTHLY_TOP20,monthly,20,naked,10.0,2020,0.17958982234228005
MONTHLY_TOP20,monthly,20,naked,10.0,2021,0.27265146553529873
MONTHLY_TOP20,monthly,20,naked,10.0,2022,0.1328592729985405
MONTHLY_TOP20,monthly,20,naked,10.0,2023,0.1440718404732475
MONTHLY_TOP20,monthly,20,naked,10.0,2024,0.340550300259419
MONTHLY_TOP20,monthly,20,naked,10.0,2025,0.2983019400856124
MONTHLY_TOP20,monthly,20,naked,10.0,2026,0.6407991314104042
MONTHLY_TOP20,monthly,20,naked,20.0,2018,-0.08234952326927769
MONTHLY_TOP20,monthly,20,naked,20.0,2019,0.3055066378851663
MONTHLY_TOP20,monthly,20,naked,20.0,2020,0.16651053486854006
MONTHLY_TOP20,monthly,20,naked,20.0,2021,0.25957670402076105
MONTHLY_TOP20,monthly,20,naked,20.0,2022,0.12012334302224836
MONTHLY_TOP20,monthly,20,naked,20.0,2023,0.1310334174447032
MONTHLY_TOP20,monthly,20,naked,20.0,2024,0.3256603249011085
MONTHLY_TOP20,monthly,20,naked,20.0,2025,0.2828421713417395
MONTHLY_TOP20,monthly,20,naked,20.0,2026,0.6334849910673099
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2018,-0.002095474506802031
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2019,0.34209096620930146
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2020,0.2469073576593097
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2021,0.1743499381539486
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2022,0.06711172404904708
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2023,0.11973649169378664
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2024,0.5052045679538337
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2025,0.2643389349837644
MONTHLY_TOP20,monthly,20,p00_overlay,0.0,2026,0.42989306237133973
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2018,-0.00868786133406041
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2019,0.332869587131698
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2020,0.23965437670957157
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2021,0.1682535938696086
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2022,0.060653212870562356
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2023,0.11385910419961354
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2024,0.49459146263287224
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2025,0.25855460374022465
MONTHLY_TOP20,monthly,20,p00_overlay,5.0,2026,0.42650252820437284
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2018,-0.015238708211654961
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2019,0.32370796786391964
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2020,0.2324415941862763
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2021,0.16218658389554919
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2022,0.054230773849033076
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2023,0.10801058602829228
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2024,0.4840499753452383
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2025,0.2527948174173926
MONTHLY_TOP20,monthly,20,p00_overlay,10.0,2026,0.4231187287074867
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2018,-0.028216777537586668
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2019,0.30556255244581587
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2020,0.21813577821509922
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2021,0.15014004567917905
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2022,0.04149337325643265
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2023,0.09639962901320653
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2024,0.46318001070951786
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2025,0.2413484950375877
MONTHLY_TOP20,monthly,20,p00_overlay,20.0,2026,0.41637128996170314
MONTHLY_TOP5,monthly,5,matched_static,0.0,2018,-0.13311471690813237
MONTHLY_TOP5,monthly,5,matched_static,0.0,2019,0.24129545082852766
MONTHLY_TOP5,monthly,5,matched_static,0.0,2020,0.18408797924046327
MONTHLY_TOP5,monthly,5,matched_static,0.0,2021,0.14472447863412308
MONTHLY_TOP5,monthly,5,matched_static,0.0,2022,0.2613714013899222
MONTHLY_TOP5,monthly,5,matched_static,0.0,2023,0.27033839293549033
MONTHLY_TOP5,monthly,5,matched_static,0.0,2024,0.15450341677593804
MONTHLY_TOP5,monthly,5,matched_static,0.0,2025,0.09156873968038126
MONTHLY_TOP5,monthly,5,matched_static,0.0,2026,0.6151468596356799
MONTHLY_TOP5,monthly,5,matched_static,5.0,2018,-0.1369519211922834
MONTHLY_TOP5,monthly,5,matched_static,5.0,2019,0.23486907177192395
MONTHLY_TOP5,monthly,5,matched_static,5.0,2020,0.1774431302083812
MONTHLY_TOP5,monthly,5,matched_static,5.0,2021,0.13976832528820649
MONTHLY_TOP5,monthly,5,matched_static,5.0,2022,0.2562395755697511
