action_id,action_type,legal_effective_date,apply_session,apply_phase,source_sid,target_sid,cash_per_source_share,currency,target_shares_per_source_share,fractional_treatment,evidence_url,notes
ANDV_MPC_20181001,cash_and_stock_merger,2018-10-01,2018-10-01,pre_open,sec::ANDV,sec::MPC,19.799044,USD,1.62685156,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/1510295/000151029518000201/mpc8-knotes1018.htm,Default/non-election proration approximation documented separately
ESRX_CI_20181220,cash_and_stock_merger,2018-12-20,2018-12-21,pre_open,sec::ESRX,sec::CI,48.75,USD,0.2434,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/1532063/000114036118045477/form8k.htm,Cigna consideration
SCG_D_20190101,stock_merger,2019-01-01,2019-01-02,pre_open,sec::SCG,sec::D,0.0,,0.669,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/103682/000156459019027723/d-10q_20190630.htm,SCANA converted to Dominion shares
LLL_LHX_20190629,stock_merger,2019-06-29,2019-07-01,pre_open,sec::LLL,sec::LHX,0.0,,1.3,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/202058/000020205819000071/l3harrisregulatoryappr.htm,L3 ceased trading after 2019-06-28
TSS_GPN_20190918,stock_merger,2019-09-18,2019-09-19,pre_open,sec::TSS,sec::GPN,0.0,,0.8101,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/1123360/000112336019000034/gpn20190930-10q.htm,TSYS conversion into Global Payments
CELG_BMY_20191120,cash_and_stock_merger,2019-11-20,2019-11-21,pre_open,sec::CELG,sec::BMY,50.0,USD,1.0,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/14272/000114036119021048/ex99_1.htm,CVR excluded after subsequently expiring without payment
DISCK_WBD_20220408,stock_merger,2022-04-08,2022-04-11,pre_open,sec::DISCK,sec::WBD,0.0,,1.0,cash_in_lieu,https://ir.wbd.com/news-and-events/financial-news/financial-news-details/2022/Warner-Bros.-Discovery-Announces-Completion-of-WarnerMedia-and-Discovery-Transaction/default.aspx,Discovery Class C converted one-for-one into WBD before its first 2022-04-11 session
NLSN_CASH_20221011,cash_merger,2022-10-11,2022-10-12,pre_open,sec::NLSN,,28.0,USD,0.0,cash_in_lieu,https://www.sec.gov/Archives/edgar/data/1492633/000119312522260583/d407513d8k.htm,Nielsen shares suspended before 2022-10-12 open
