transfer_id,dynamic_mean_actual_long_exposure_0bp,static_allocation,static_mean_actual_long_exposure_0bp,absolute_match_error
R9__MOM255__TOP10__WEEKLY,0.7330070435944732,0.7331587563358344,0.733007043594472,1.2212453270876722e-15
R9__MOM255__TOP10__MONTHLY,0.7331362913708688,0.7331522358362275,0.7331362913708672,1.5543122344752192e-15
R9__MOM255__TOP20__WEEKLY,0.7330234057882242,0.7330903266719506,0.7330234057882233,8.881784197001252e-16
R9__MOM255__TOP20__MONTHLY,0.7331222360169238,0.7330862771310525,0.7331222360169234,4.440892098500626e-16
R9__MOM255__TOP50__WEEKLY,0.7329992730506013,0.7330849419560526,0.7329992730505996,1.6653345369377348e-15
R9__MOM255__TOP50__MONTHLY,0.7331946570835671,0.733127154692566,0.7331946570835666,5.551115123125783e-16
