transfer_id,cost_bps,overlay_to_naked_terminal_ratio,timing_value_vs_static,delta_sharpe_vs_naked,delta_mdd_vs_naked,overlay_terminal,naked_terminal,static_terminal,overlay_cagr,naked_cagr,overlay_sharpe,naked_sharpe,overlay_mdd,naked_mdd,overlay_turnover,naked_turnover,overlay_mean_actual_long_exposure,static_mean_actual_long_exposure,four_metric_gate,frequency,primary
R10__MOM255__TOP10__MONTHLY,0.0,0.8679256555064156,0.23403968424639676,0.11439413611687033,0.023666537714326252,4.845847861347319,5.583252241253167,3.9268168789130806,0.4235951051479323,0.4694477975707092,1.373769429770064,1.2593752936531937,-0.28634818110953386,-0.3100147188238601,40.22877156369796,34.638880534976366,0.7447085159852631,0.7336875103235538,False,monthly,False
R10__MOM255__TOP10__MONTHLY,5.0,0.8655034663872773,0.22590536255561866,0.10966237669719225,0.023293161840571508,4.7493364771272315,5.487368521990527,3.8741460982162534,0.41720009540300085,0.46376203792718607,1.3581528451252336,1.2484904684280413,-0.28728411176695146,-0.31057727360752296,40.22877156369796,34.63888053497636,0.7447085159852631,0.7336875103235538,False,monthly,False
R10__MOM255__TOP10__MONTHLY,10.0,0.8630884943832352,0.21782172643171238,0.10492209707422573,0.02292054607753169,4.654720026764836,5.393097066009561,3.8221686522241916,0.4108319668605489,0.45809619736347384,1.3425143647660118,1.237592267691786,-0.28821906464267566,-0.31113961072020735,40.22877156369796,34.638880534976366,0.7447085159852631,0.7336875103235538,False,monthly,False
R10__MOM255__TOP10__MONTHLY,20.0,0.858280115090212,0.20180532135482743,0.09541734651351863,0.02217759181090606,4.471025931684682,5.209285235758657,3.7202580586382945,0.39817593206782953,0.44682402303789703,1.311174502061056,1.2157571555475373,-0.290086040121734,-0.31226363193264006,40.22877156369796,34.638880534976366,0.7447085159852631,0.7336875103235538,False,monthly,False
R10__MOM255__TOP10__WEEKLY,0.0,0.8511555313249175,0.16997408969266914,0.07496100657545157,-0.005326975637211295,4.186109891210103,4.918149195005478,3.5779509376226595,0.3777229107817097,0.4283214474618706,1.2475102963006324,1.1725492897251808,-0.316533030586156,-0.3112060549489447,70.1949529101139,79.41637410409521,0.7446979752851876,0.7337024888536499,False,weekly,False
R10__MOM255__TOP10__WEEKLY,5.0,0.8550894885471761,0.1631107757807535,0.07258373849458821,-0.006592837165366516,4.041720698376669,4.726663995418397,3.4749232683048703,0.3669423033773662,0.41568316518716997,1.2204066019521695,1.1478228634575813,-0.31854884949559936,-0.31195601233023285,70.1949529101139,79.41637410409521,0.7446979752851876,0.73370248885365,False,weekly,False
R10__MOM255__TOP10__WEEKLY,10.0,0.8590425612201772,0.15628426866830725,0.0702060989887463,-0.007853938721889553,3.9022815298012947,4.542593936508251,3.3748461650313315,0.3562436958344528,0.40315393034827296,1.1932873410094882,1.1230812420207419,-0.320559251988088,-0.31270531326619844,70.1949529101139,79.41637410409521,0.7446979752851876,0.73370248885365,False,weekly,False
R10__MOM255__TOP10__WEEKLY,20.0,0.8670064429603768,0.1427409631630756,0.06545164204111154,-0.010361912858104394,3.637584325993701,4.195567813283185,3.183209881550905,0.33509006059854407,0.3784189419145081,1.1390079027518132,1.0735562607107016,-0.32456386043595986,-0.31420194757785547,70.1949529101139,79.41637410409521,0.7446979752851876,0.7337024888536499,False,weekly,False
R10__MOM255__TOP20__MONTHLY,0.0,0.8573027918715291,0.14924956350661733,0.09587435836732494,-0.03337205642318608,3.6304222480946993,4.23470246745532,3.1589502953714157,0.3345013107578765,0.38128607451192353,1.3236735558216906,1.2277991974543656,-0.27024936417275947,-0.23687730774957338,38.801536130580544,34.089860831136065,0.7446614062485387,0.7335190407671438,False,monthly,True
R10__MOM255__TOP20__MONTHLY,5.0,0.8552857839203247,0.14212436755897095,0.09056203610842184,-0.03372709569973176,3.5606589675122327,4.163121887974617,3.11757551861215,0.32871882117040685,0.37602606538918804,1.3056444132529557,1.2150823771445338,-0.2711596774891568,-0.23743258178942506,38.801536130580544,34.089860831136065,0.7446614062485388,0.7335190407671438,False,monthly,True
R10__MOM255__TOP20__MONTHLY,10.0,0.8532740829875508,0.13504106950797024,0.08523959291256156,-0.03408146244883459,3.4922183619562435,4.092727567359145,3.0767330414485246,0.3229598684698183,0.370784310796882,1.2875882241134606,1.202348631200899,-0.2720691163621948,-0.2379876539133602,38.801536130580544,34.08986083113606,0.7446614062485387,0.7335190407671438,False,monthly,True
R10__MOM255__TOP20__MONTHLY,20.0,0.8492665455250559,0.12099923602494811,0.0745662556232507,-0.034788180761194276,3.3592066786123564,3.9554209409432692,2.9966181694503815,0.3115122152080132,0.36035533636319017,1.2513987288139432,1.1768324731906925,-0.27388537317467065,-0.23909719241347638,38.801536130580544,34.089860831136065,0.7446614062485388,0.7335190407671438,False,monthly,True
R10__MOM255__TOP20__WEEKLY,0.0,0.7958046485471325,0.09509395134330711,0.03887192569477116,-0.005074598828161414,3.643426447800966,4.578292492325369,3.3270446278437786,0.3355696391214946,0.4056142625698911,1.3347733705777367,1.2959014448829655,-0.24103014088583896,-0.23595554205767755,63.60003970334927,70.36714306416815,0.7448064540535367,0.733656173555943,False,weekly,False
R10__MOM255__TOP20__WEEKLY,5.0,0.7985019381873909,0.08862361030179589,0.03540628368766141,-0.005395196212376274,3.5293773567701026,4.419998484639664,3.2420547592125653,0.3260973810980814,0.3945887529583558,1.3048609138806764,1.269454630193015,-0.24224451556256743,-0.23684931935019116,63.60003970334927,70.36714306416818,0.7448064540535367,0.733656173555943,False,weekly,False
R10__MOM255__TOP20__WEEKLY,10.0,0.8012085363528225,0.08218854998580594,0.03193607614060645,-0.005714925161405038,3.418877232065747,4.267150282283313,3.1592251018647253,0.316690486391525,0.3836477529868729,1.274922238403633,1.2429861622630265,-0.24345715039742832,-0.23774222523602329,63.60003970334927,70.36714306416815,0.7448064540535367,0.733656173555943,False,weekly,False
R10__MOM255__TOP20__WEEKLY,20.0,0.8066497880473419,0.06942356964541196,0.024985225825068902,-0.006351783877924011,3.2080881287220726,3.9770519700846823,2.9998292723114153,0.2980710350863156,0.36201675562632696,1.214973718333968,1.189988492508899,-0.2458772094119509,-0.2395254255340269,63.60003970334927,70.36714306416815,0.7448064540535367,0.733656173555943,False,weekly,False
R10__MOM255__TOP50__MONTHLY,0.0,0.8885728238117943,0.06560954020291687,0.056258525957516126,0.009742682952389337,2.309223536667165,2.5988005426061447,2.167044728435366,0.20599101625564153,0.23830215284737366,1.1252498563677513,1.0689913304102352,-0.2073472421851248,-0.21708992513751413,36.98337584622716,31.479741737129608,0.7447216268363898,0.7334360568552373,False,monthly,False
R10__MOM255__TOP50__MONTHLY,5.0,0.8861310836853803,0.05877554469820678,0.04928507970778839,0.00889728222355013,2.266909281132062,2.5582098663146833,2.141066907413527,0.20100976757633582,0.23394712228323522,1.1024732754815856,1.0531881957737972,-0.20867096750178682,-0.21756824972533695,36.98337584622716,31.479741737129608,0.7447216268363899,0.7334360568552372,False,monthly,False
R10__MOM255__TOP50__MONTHLY,10.0,0.8836962300476222,0.05198326531179376,0.042295819927420375,0.008053618853228528,2.2253601737455346,2.5182411082885467,2.1153950325302633,0.19604786434804233,0.22960608936386473,1.0796604653656339,1.0373646454382135,-0.20999280937982656,-0.2180464282330551,36.98337584622716,31.479741737129608,0.7447216268363899,0.7334360568552372,False,monthly,False
R10__MOM255__TOP50__MONTHLY,20.0,0.8788471046944931,0.03852288912282753,0.02827392783204985,0.006371495315400821,2.1445030381780112,2.440132107988782,2.0649550054590833,0.1861818128424333,0.2209658534239225,1.0339341498957033,1.0056602220636535,-0.2126308516927755,-0.21900234700817633,36.98337584622716,31.479741737129608,0.7447216268363899,0.7334360568552372,False,monthly,False
R10__MOM255__TOP50__WEEKLY,0.0,0.882881027628968,0.04611359549123262,0.037384591987993154,-0.0030656902107297768,2.1719292367754335,2.4600474682396163,2.0761887104196766,0.18956018634954286,0.22318900621542048,1.058743784287619,1.021359192299626,-0.21167896446131307,-0.2086132742505833,63.10814635214747,68.82520445776643,0.7446004255983674,0.7333302141686988,False,weekly,False
R10__MOM255__TOP50__WEEKLY,5.0,0.8854082654866575,0.039541375906932075,0.03269519800238019,-0.004786489290787621,2.1044596989743276,2.376824094608636,2.02441167590691,0.18118850976795997,0.21380392797646164,1.0193198155739682,0.986624617571588,-0.21421631710933464,-0.20942982781854702,63.10814635214747,68.82520445776643,0.7446004255983674,0.7333302141686988,False,weekly,False
R10__MOM255__TOP50__WEEKLY,10.0,0.8879425089896589,0.033007449118788834,0.027997866421394457,-0.006500258065790687,2.0390738619485735,2.296403023061396,1.9739198044389843,0.1728741799591853,0.2044893151139231,0.9798602799788758,0.9518624135574814,-0.21674593607562598,-0.2102456780098353,63.10814635214747,68.82520445776643,0.7446004255983673,0.7333302141686988,False,weekly,False
R10__MOM255__TOP50__WEEKLY,20.0,0.8930320854844079,0.020053655067850062,0.01858739088063488,-0.009906791772202661,1.9142993367152612,2.143595250194047,1.8766653373620128,0.15641603420269323,0.18606941899560847,0.9008513855295938,0.8822639946489589,-0.22178206200304185,-0.21187527023083919,63.10814635214747,68.82520445776643,0.7446004255983674,0.7333302141686988,False,weekly,False
