transfer_id,path_type,cost_bps,terminal,cagr,sharpe,mdd,cumulative_l1_turnover,mean_actual_long_exposure
R10__MOM255__TOP10__MONTHLY,matched_static,0.0,3.9268168789130806,0.35814747436393635,1.303232951495159,-0.23195911417052706,27.004295469634187,0.7336875103235538
R10__MOM255__TOP10__MONTHLY,matched_static,5.0,3.8741460982162534,0.35404910475928086,1.2916617721643155,-0.23244774528099166,27.004295469634187,0.7336875103235538
R10__MOM255__TOP10__MONTHLY,matched_static,10.0,3.8221686522241916,0.3499620635291514,1.2800766734419193,-0.23293621075539694,27.004295469634187,0.7336875103235538
R10__MOM255__TOP10__MONTHLY,matched_static,20.0,3.7202580586382945,0.34182185213215877,1.2568662180734702,-0.23391264486070074,27.004295469634187,0.7336875103235538
R10__MOM255__TOP10__MONTHLY,naked,0.0,5.583252241253167,0.4694477975707092,1.2593752936531937,-0.3100147188238601,34.638880534976366,1.0
R10__MOM255__TOP10__MONTHLY,naked,5.0,5.487368521990527,0.46376203792718607,1.2484904684280413,-0.31057727360752296,34.63888053497636,1.0
R10__MOM255__TOP10__MONTHLY,naked,10.0,5.393097066009561,0.45809619736347384,1.237592267691786,-0.31113961072020735,34.638880534976366,1.0
R10__MOM255__TOP10__MONTHLY,naked,20.0,5.209285235758657,0.44682402303789703,1.2157571555475373,-0.31226363193264006,34.638880534976366,1.0
R10__MOM255__TOP10__MONTHLY,p00_overlay,0.0,4.845847861347319,0.4235951051479323,1.373769429770064,-0.28634818110953386,40.22877156369796,0.7447085159852631
R10__MOM255__TOP10__MONTHLY,p00_overlay,5.0,4.7493364771272315,0.41720009540300085,1.3581528451252336,-0.28728411176695146,40.22877156369796,0.7447085159852631
R10__MOM255__TOP10__MONTHLY,p00_overlay,10.0,4.654720026764836,0.4108319668605489,1.3425143647660118,-0.28821906464267566,40.22877156369796,0.7447085159852631
R10__MOM255__TOP10__MONTHLY,p00_overlay,20.0,4.471025931684682,0.39817593206782953,1.311174502061056,-0.290086040121734,40.22877156369796,0.7447085159852631
R10__MOM255__TOP10__WEEKLY,matched_static,0.0,3.5779509376226595,0.33016024722593773,1.2147623088287718,-0.23449343987446303,58.4309712390737,0.7337024888536499
R10__MOM255__TOP10__WEEKLY,matched_static,5.0,3.4749232683048703,0.3214907164631613,1.1899502433060156,-0.23509830397946763,58.4309712390737,0.73370248885365
R10__MOM255__TOP10__WEEKLY,matched_static,10.0,3.3748461650313315,0.3128762862377876,1.1651225898112971,-0.23570278345380735,58.43097123907369,0.73370248885365
R10__MOM255__TOP10__WEEKLY,matched_static,20.0,3.183209881550905,0.29581136401193486,1.1154243924827882,-0.23691058926718678,58.4309712390737,0.7337024888536499
