cik10,companyfacts_error_code,companyfacts_http_status,companyfacts_object_key,companyfacts_raw_record_id,companyfacts_raw_sha256,companyfacts_raw_size_bytes,exception_review_status,exception_reviewed_date,explicit_missing,fact_value_state,imputation_applied,imputation_policy,imputed_fact_rows,periodic_form_amendments_included,periodic_form_bases,periodic_form_count,reason_code,schema_version,source,status,submissions_cik10,ticker
0000014693,,200,,3e62f61135935434c13f86ec1d90d9e8dc28a8f22f4986cc10d489e56f795b28,bb9a1ae99c37c038c341e83a3731f013da183842a0188eb4f6ddaf2eefbb84da,205917,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000014693,
0000016732,,200,,a0d872c5b7a157232ff19d2fb6904c6d0e827c34a8b9269e07e86d26b7c4d50b,5c0491e76ae8891c72ae296674d28cd6cb08840d0221df617760a01236e9ab03,301553,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000016732,
0000016918,,200,,744b3fd257a4d87367e5fc94f4dce8064a930969cebeecb318ee5560e0884f9a,1c64fead406c82b02adb8430084893beec15bd3dcc02e908122d83d0c13b11fd,259185,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000016918,
0000018230,,200,,4ce9bf04e1b099b0fe809c4d199b9b8a293d4ebf5c559c6c4b4744e48a5ae62b,f88c89890d17da17bea2dd68e56dcddc640e58a67e7c94b81d754fb3ce4c1f7d,382307,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000018230,
0000018926,,200,,ea7d0f55ef6a6c256f808f9aa591a68a777ff66cd3669d6182a37bd25944a81b,64e9e2c82364068e1428180d78ab5ef1c5d62a3a4d51372e055a7b3165cbbd76,259957,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000018926,
0000019617,,200,,c1c24d2bc3fc97f6b8acfb1a6d70646109fbb9b7f6e8e18df4b652159e630e18,19ff281063a83bf57b0e183c1211eb4e1135f26b70c9d5d96f6bda75e0773b89,535894,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000019617,
0000020286,,200,,5efd6b3b239d39809be41060fc5b90b900ebe108f39d741761ebdf1489c27bcf,89b455031fbf104f9dd084926792e641750ca8f29bb20cd857c493158949d193,259530,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000020286,
0000020520,,200,,efa9d721faf691aa8d94b71961a0459bd8d3a9a7e27fc39b8a100a0a91e25c31,7c9dcf53c5bd79cc099dd56a7cc0c1937cd2474c990e97d097d4c96bb36e33fe,219373,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000020520,
0000021076,,200,,d056c88ee33b4b45eaa80e2252b7f55e5dadf7378e504444bd9284abfd53d3aa,dd3013e9e82dbdb55ba5d3ad2f658bf219ce94bbdf4f75f6fb97ab72c82382e9,248444,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000021076,
0000021344,,200,,d486b18a7fd10674455d9990ce49cd1884cc2babbf4b18ffc2197e70136c9e5d,97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,338995,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000021344,
0000021665,,200,,7dacb836b7c09a8d244d5b925a7c604c0e54354d0d477a025d7190bac36b5f91,5a0a4a9f533d6bff8f22f64c27ba135a65519814e617a828803a3abd6546f085,239524,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000021665,
0000023082,,200,,40ea53ad5768ce78a269aec1e5854042a5aeb502250abb896f500654394bec0e,ee64f32ca24e401d721083b4e8cdb6fba94c6659ec9810e3e56c8d092427e64d,150129,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000023082,
