arm_id,native_target_weeks,native_start,native_end,spearman_y5,block95_lower_spearman,one_sided_block_p,pooled_q75,top_score_fraction,y5_loss_capture,top_mean_y5,rest_mean_y5,top_rest_mean_ratio,mae5_precision,mae5_recall,mae5_lift,mae10_precision,mae10_recall,mae10_lift,false_alert_y5_zero,bh_q_value
R4B__RV21,874,2004-12-31,2021-09-24,0.13684206911540348,0.001297031111376062,0.049,-1.7016391575885315,0.2505720823798627,0.48586364507599406,0.04131799302958941,0.014618605390269863,2.8263977258111534,0.410958904109589,0.33210332103321033,1.325380377091442,0.2420091324200913,0.4491525423728814,1.7925083197894898,0.589041095890411,0.16660000000000003
R4B__RV126,874,2004-12-31,2021-09-24,0.15710089546117412,0.008158837395508581,0.0385,-1.6754143172643436,0.2505720823798627,0.4766763422104065,0.040536701983000197,0.014879830946305033,2.724271675483403,0.4063926940639269,0.3284132841328413,1.3106539284570926,0.2237442922374429,0.4152542372881356,1.6572246730129245,0.593607305936073,0.16660000000000003
R4B__RV_RATIO,874,2004-12-31,2021-09-24,0.058313077219746004,-0.06052816813421317,0.2145,0.11959878458374994,0.2505720823798627,0.330849618433457,0.028135552776618545,0.019026169383247908,1.4787817878564264,0.3424657534246575,0.2767527675276753,1.1044836475762017,0.1917808219178082,0.3559322033898305,1.4204782911539353,0.6575342465753424,0.3315
R4B__DOWNSIDE_VAR63,874,2004-12-31,2021-09-24,0.07884560391214206,-0.05306023026018555,0.1735,0.5482170370489569,0.2505720823798627,0.41895338773758506,0.03562792427401498,0.016521086394042074,2.1565121944319183,0.3607305936073059,0.2915129151291513,1.163389442113599,0.2100456621004566,0.3898305084745763,1.5557619379305005,0.639269406392694,0.29494999999999993
R4B__RET21,874,2004-12-31,2021-09-24,0.059273934538867104,-0.039143916701039574,0.167,0.010869930938005062,0.2505720823798627,0.36440151619027816,0.030988816427223648,0.018072177414572305,1.714725111221858,0.365296803652968,0.2952029520295203,1.1781158907479485,0.2191780821917808,0.4067796610169492,1.6234037613187833,0.634703196347032,0.29494999999999993
R4B__RET126,874,2004-12-31,2021-09-24,0.16244525716979383,0.007978038310450767,0.043,-0.01152816313442312,0.2505720823798627,0.5233177151199787,0.04450309860538334,0.013553661693935709,3.2834742086926427,0.4337899543378995,0.3505535055350554,1.399012620263189,0.2831050228310502,0.5254237288135594,2.0968965250367617,0.5662100456621004,0.16660000000000003
R4B__SMA_GAP,874,2004-12-31,2021-09-24,0.1499754746414305,-0.014923384565171635,0.0705,-0.014350201700782161,0.2505720823798627,0.49811730187525705,0.042360047752864165,0.014270193200350518,2.9684284689168523,0.4018264840182648,0.3247232472324723,1.2959274798227434,0.2511415525114155,0.4661016949152542,1.8601501431777723,0.5981735159817352,0.19974999999999998
R4B__DRAWDOWN252,874,2004-12-31,2021-09-24,0.1199701899654177,-0.029486910633577813,0.0945,0.05732908915898316,0.2505720823798627,0.5081384936601373,0.04321225296828237,0.013985257410767943,3.0898432327038265,0.4063926940639269,0.3284132841328413,1.3106539284570926,0.2694063926940639,0.5,1.9954337899543377,0.593607305936073,0.2295
R4B__SKEW63,874,2004-12-31,2021-09-24,0.004724198702689207,-0.12413043291768847,0.486,0.6115676067608133,0.2505720823798627,0.2152877253840018,0.01830813403497402,0.022311978092286307,0.8205518111952389,0.2511415525114155,0.2029520295202952,0.8099546748892146,0.1050228310502283,0.19491525423728814,0.7778809689652503,0.7488584474885844,0.5508000000000001
R4B__KURT126,874,2004-12-31,2021-09-24,0.039799603264664474,-0.10144578470643201,0.3385,2.837245025801547,0.2505720823798627,0.34269919268797067,0.029143244196656815,0.018689246603112976,1.5593589626990405,0.3333333333333333,0.2693726937269373,1.075030750307503,0.1643835616438356,0.3050847457627119,1.2175528209890873,0.6666666666666666,0.4426538461538462
R4B__VIX_LEVEL,874,2004-12-31,2021-09-24,0.15366152810830255,0.02342360864965089,0.029,-1.5154935441612454,0.2505720823798627,0.4064870037948832,0.03456777916937729,0.016875547123684297,2.0483945744705667,0.3698630136986301,0.2988929889298893,1.1928423393822978,0.2100456621004566,0.3898305084745763,1.5557619379305005,0.6301369863013698,0.16660000000000003
R4B__VIX_RV_GAP,874,2004-12-31,2021-09-24,0.011700212778205571,-0.08341410732085307,0.3715,0.01785295483578027,0.2505720823798627,0.24650658823404065,0.02096299568330307,0.02142432206024957,0.9784671656984452,0.3105022831050228,0.25092250922509224,1.0013985071357563,0.1643835616438356,0.3050847457627119,1.2175528209890873,0.6894977168949772,0.4511071428571429
R4B__DOWN_VOLUME21,874,2004-12-31,2021-09-24,0.027554654637515743,-0.06164165135021929,0.308,0.5870397838667862,0.2505720823798627,0.2899820468506604,0.02466016198558678,0.020188170273684483,1.2215154544110216,0.3150684931506849,0.25461254612546125,1.0161249557701055,0.182648401826484,0.3389830508474576,1.3528364677656526,0.684931506849315,0.4363333333333333
R4B__VOLUME_SHOCK,874,2004-12-31,2021-09-24,0.08026797278617073,-0.03428705716679926,0.124,0.2699369545754905,0.2505720823798627,0.31167902472216646,0.026505279622074742,0.019571253079194613,1.3542965038989458,0.3835616438356164,0.30996309963099633,1.237021685285346,0.1598173515981735,0.2966101694915254,1.183731909294946,0.6164383561643836,0.2635
R4B__YC_10Y3M,874,2004-12-31,2021-09-24,-0.11814646341591084,-0.2680836668279833,0.912,-0.7625000000000001,0.2505720823798627,0.26113327924885577,0.02220685396230965,0.021008436620398516,1.0570445751659365,0.319634703196347,0.25830258302583026,1.030851404404455,0.1050228310502283,0.19491525423728814,0.7778809689652503,0.680365296803653,0.912
R4B__YC_10Y2Y,874,2004-12-31,2021-09-24,-0.07367999942696962,-0.21116066349086898,0.81,-0.43999999999999995,0.2494279176201373,0.28585915338575324,0.024421061560535372,0.02027444448766788,1.2045243249643516,0.3348623853211009,0.2693726937269373,1.0799620840245099,0.12385321100917432,0.2288135593220339,0.9173534442543928,0.6651376146788991,0.8606250000000001
R4B__RSP_SPY63,874,2004-12-31,2021-09-24,0.2097542491296886,0.07736097289576804,0.004,0.010008494239543586,0.2505720823798627,0.4916430921946174,0.04180947898080687,0.014454276499710126,2.8925334991097853,0.4703196347031963,0.3800738007380074,1.5168242093379838,0.2785388127853881,0.5169491525423728,2.0630756133426202,0.5296803652968036,0.068
