arm_id,execution_year,weeks,spearman_y5,mean_y5
R4B__RV21,2005,52,0.06410170464281785,0.0011331545337626347
R4B__RV21,2006,52,-0.05287162719043639,0.002984599917893071
R4B__RV21,2007,53,0.2624873625999532,0.02584813008932747
R4B__RV21,2008,52,0.20345868670150735,0.12931823574512333
R4B__RV21,2009,52,0.30358917611821307,0.022722873260087564
R4B__RV21,2010,52,-0.22607218910817722,0.016551727226635424
R4B__RV21,2011,52,-0.07677316617974986,0.027672446420283547
R4B__RV21,2012,53,-0.3389916174976243,0.005969915235752406
R4B__RV21,2013,52,-0.1802011152692728,0.0002087209017016707
R4B__RV21,2014,52,-0.29323588812924245,0.0019876333746807165
R4B__RV21,2015,52,-0.3081556587215502,0.024943669765801153
R4B__RV21,2016,52,0.27484367053379116,0.0007836235742103701
R4B__RV21,2017,52,,0.0
R4B__RV21,2018,53,-0.21177538990446027,0.031709534323007625
R4B__RV21,2019,52,-0.554204841615196,0.015981949045230485
R4B__RV21,2020,52,-0.44290317371524945,0.049110596813630794
R4B__RV21,2021,39,-0.2738612787525831,2.699811489303342e-06
R4B__RV126,2005,52,-0.3528831215185428,0.0011331545337626347
R4B__RV126,2006,52,-0.4924135701362826,0.002984599917893071
R4B__RV126,2007,53,0.66697059843297,0.02584813008932747
R4B__RV126,2008,52,0.33570255332070337,0.12931823574512333
R4B__RV126,2009,52,0.3501606521809998,0.022722873260087564
R4B__RV126,2010,52,-0.6376370420996696,0.016551727226635424
R4B__RV126,2011,52,-0.3571701256324094,0.027672446420283547
R4B__RV126,2012,53,0.2591086904122198,0.005969915235752406
R4B__RV126,2013,52,-0.3479381440193345,0.0002087209017016707
R4B__RV126,2014,52,-0.6783573661297857,0.0019876333746807165
R4B__RV126,2015,52,-0.011569776692048553,0.024943669765801153
R4B__RV126,2016,52,0.32575629512921295,0.0007836235742103701
R4B__RV126,2017,52,,0.0
R4B__RV126,2018,53,-0.6144599413874746,0.031709534323007625
R4B__RV126,2019,52,-0.24263809634989175,0.015981949045230485
R4B__RV126,2020,52,-0.5668137173637152,0.049110596813630794
R4B__RV126,2021,39,-0.23062002421270153,2.699811489303342e-06
R4B__RV_RATIO,2005,52,0.11434708121132962,0.0011331545337626347
R4B__RV_RATIO,2006,52,0.012907627295317803,0.002984599917893071
R4B__RV_RATIO,2007,53,-0.18211786569932997,0.02584813008932747
R4B__RV_RATIO,2008,52,0.15398492948086318,0.12931823574512333
R4B__RV_RATIO,2009,52,-0.2976310882181617,0.022722873260087564
R4B__RV_RATIO,2010,52,-0.043656645621060176,0.016551727226635424
R4B__RV_RATIO,2011,52,0.1779406837235689,0.027672446420283547
R4B__RV_RATIO,2012,53,-0.3920198699477407,0.005969915235752406
R4B__RV_RATIO,2013,52,-0.10964171022831486,0.0002087209017016707
R4B__RV_RATIO,2014,52,-0.17220597019303568,0.0019876333746807165
R4B__RV_RATIO,2015,52,-0.42389989060867045,0.024943669765801153
R4B__RV_RATIO,2016,52,0.19836910578880088,0.0007836235742103701
R4B__RV_RATIO,2017,52,,0.0
R4B__RV_RATIO,2018,53,0.1156897739843595,0.031709534323007625
R4B__RV_RATIO,2019,52,-0.43826361588079826,0.015981949045230485
R4B__RV_RATIO,2020,52,0.08516565389407828,0.049110596813630794
R4B__RV_RATIO,2021,39,-0.1585512666462323,2.699811489303342e-06
R4B__DOWNSIDE_VAR63,2005,52,-0.1271674221398932,0.0011331545337626347
R4B__DOWNSIDE_VAR63,2006,52,0.12218806800231133,0.002984599917893071
R4B__DOWNSIDE_VAR63,2007,53,-0.3705531671258823,0.02584813008932747
R4B__DOWNSIDE_VAR63,2008,52,0.08285570413422766,0.12931823574512333
R4B__DOWNSIDE_VAR63,2009,52,0.20995427178070875,0.022722873260087564
R4B__DOWNSIDE_VAR63,2010,52,0.3398294837551248,0.016551727226635424
R4B__DOWNSIDE_VAR63,2011,52,0.28545993803765507,0.027672446420283547
R4B__DOWNSIDE_VAR63,2012,53,-0.6881023877563718,0.005969915235752406
R4B__DOWNSIDE_VAR63,2013,52,-0.11471184711748549,0.0002087209017016707
R4B__DOWNSIDE_VAR63,2014,52,-0.19400639019396732,0.0019876333746807165
R4B__DOWNSIDE_VAR63,2015,52,0.06700248188728519,0.024943669765801153
R4B__DOWNSIDE_VAR63,2016,52,0.017956734815812645,0.0007836235742103701
R4B__DOWNSIDE_VAR63,2017,52,,0.0
R4B__DOWNSIDE_VAR63,2018,53,-0.1451380800894692,0.031709534323007625
R4B__DOWNSIDE_VAR63,2019,52,-0.5112400881385589,0.015981949045230485
R4B__DOWNSIDE_VAR63,2020,52,-0.28781918103259313,0.049110596813630794
R4B__DOWNSIDE_VAR63,2021,39,-0.11531001210635076,2.699811489303342e-06
R4B__RET21,2005,52,-0.3087241694312682,0.0011331545337626347
R4B__RET21,2006,52,0.145148751171867,0.002984599917893071
R4B__RET21,2007,53,-0.10530454122793786,0.02584813008932747
R4B__RET21,2008,52,-0.183600708024709,0.12931823574512333
R4B__RET21,2009,52,0.333980890544163,0.022722873260087564
R4B__RET21,2010,52,-0.12750817641745768,0.016551727226635424
R4B__RET21,2011,52,-0.06222860951739916,0.027672446420283547
R4B__RET21,2012,53,-0.033276444656770245,0.005969915235752406
R4B__RET21,2013,52,-0.22709988149410112,0.0002087209017016707
R4B__RET21,2014,52,-0.13884034064253817,0.0019876333746807165
R4B__RET21,2015,52,-0.09167537917032849,0.024943669765801153
R4B__RET21,2016,52,0.3699087372057406,0.0007836235742103701
R4B__RET21,2017,52,,0.0
R4B__RET21,2018,53,-0.03803038388431309,0.031709534323007625
R4B__RET21,2019,52,-0.20013595125523723,0.015981949045230485
R4B__RET21,2020,52,0.07117154276985205,0.049110596813630794
R4B__RET21,2021,39,-0.014413751513293846,2.699811489303342e-06
R4B__RET126,2005,52,-0.4738346207839809,0.0011331545337626347
R4B__RET126,2006,52,-0.42607581254640403,0.002984599917893071
R4B__RET126,2007,53,0.4188752748407286,0.02584813008932747
R4B__RET126,2008,52,-0.23632706520103566,0.12931823574512333
R4B__RET126,2009,52,0.43111412172206454,0.022722873260087564
R4B__RET126,2010,52,-0.3937752507009723,0.016551727226635424
R4B__RET126,2011,52,0.027800355139429807,0.027672446420283547
R4B__RET126,2012,53,-0.43959934783417526,0.005969915235752406
R4B__RET126,2013,52,-0.38279533513238256,0.0002087209017016707
R4B__RET126,2014,52,-0.18105335549845356,0.0019876333746807165
R4B__RET126,2015,52,0.16634458055234463,0.024943669765801153
R4B__RET126,2016,52,0.3204749025363269,0.0007836235742103701
R4B__RET126,2017,52,,0.0
R4B__RET126,2018,53,-0.06074764859396913,0.031709534323007625
R4B__RET126,2019,52,-0.3842540872843257,0.015981949045230485
R4B__RET126,2020,52,-0.14652043214395072,0.049110596813630794
R4B__RET126,2021,39,-0.1297237636196446,2.699811489303342e-06
R4B__SMA_GAP,2005,52,-0.4444384855235372,0.0011331545337626347
R4B__SMA_GAP,2006,52,-0.19510375104076527,0.002984599917893071
R4B__SMA_GAP,2007,53,0.515352140979634,0.02584813008932747
R4B__SMA_GAP,2008,52,0.1805192975403782,0.12931823574512333
R4B__SMA_GAP,2009,52,0.520813408364122,0.022722873260087564
R4B__SMA_GAP,2010,52,-0.3996410114562248,0.016551727226635424
R4B__SMA_GAP,2011,52,0.03323155034878861,0.027672446420283547
R4B__SMA_GAP,2012,53,-0.6039382806566459,0.005969915235752406
R4B__SMA_GAP,2013,52,-0.2186496533454834,0.0002087209017016707
R4B__SMA_GAP,2014,52,-0.11964209279025885,0.0019876333746807165
R4B__SMA_GAP,2015,52,0.451500080789702,0.024943669765801153
R4B__SMA_GAP,2016,52,0.19372148030706113,0.0007836235742103701
R4B__SMA_GAP,2017,52,,0.0
R4B__SMA_GAP,2018,53,-0.11274494337384854,0.031709534323007625
R4B__SMA_GAP,2019,52,-0.1643416276993309,0.015981949045230485
R4B__SMA_GAP,2020,52,-0.1572248828173327,0.049110596813630794
R4B__SMA_GAP,2021,39,0.20179252118611385,2.699811489303342e-06
R4B__DRAWDOWN252,2005,52,-0.37596486180916255,0.0011331545337626347
R4B__DRAWDOWN252,2006,52,-0.24465889281072054,0.002984599917893071
R4B__DRAWDOWN252,2007,53,0.05247030954781634,0.02584813008932747
R4B__DRAWDOWN252,2008,52,0.40066895769867733,0.12931823574512333
R4B__DRAWDOWN252,2009,52,0.3445105549887291,0.022722873260087564
R4B__DRAWDOWN252,2010,52,-0.2762067802360805,0.016551727226635424
R4B__DRAWDOWN252,2011,52,-0.10774936807991693,0.027672446420283547
R4B__DRAWDOWN252,2012,53,-0.4507231808351509,0.005969915235752406
R4B__DRAWDOWN252,2013,52,-0.06671018825526083,0.0002087209017016707
R4B__DRAWDOWN252,2014,52,-0.10002752960376786,0.0019876333746807165
R4B__DRAWDOWN252,2015,52,-0.23962921683483118,0.024943669765801153
R4B__DRAWDOWN252,2016,52,0.2983047247768845,0.0007836235742103701
R4B__DRAWDOWN252,2017,52,,0.0
R4B__DRAWDOWN252,2018,53,-0.2272642896220101,0.031709534323007625
R4B__DRAWDOWN252,2019,52,-0.6021432749830263,0.015981949045230485
R4B__DRAWDOWN252,2020,52,-0.34509603560457436,0.049110596813630794
R4B__DRAWDOWN252,2021,39,0.0,2.699811489303342e-06
R4B__SKEW63,2005,52,0.459848794316457,0.0011331545337626347
