group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,target_gross_exposure,target_net_exposure,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio
G00,G00__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,0.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,4.689738575184648,0.22791248342679005,0.3432606055884485,0.7709854988961767,0.6898088561554822,0.9619720350856403,-0.4488626972049061,654.0,0.5077554558354129,0.7395910523932335,8.908363828826465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.10969508659767008,0.07128050503493699,1.301182210638002,0.06302573969683861,0.07143237376903878,0.24253863166555537,0.45227882191127516
G00,G00__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,5.0,0.0,True,,True,1.0,1.0,True,0,0,2134.0,4.479081142833726,0.22245418224171765,0.3432562548293118,0.758004576498631,0.6768267137433069,0.9433393849661664,-0.4537125379815161,654.0,0.49029763037048857,0.7395910523932335,8.908363828826465,0.05246975297535662,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.10523594941905497,0.06651846235754631,1.3011132628802828,0.05857728623960341,0.06698201671688199,0.24254294180697056,0.43388584567761906
G00,G00__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,10.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,4.27614131843389,0.2170179163009096,0.34325701834762723,0.745012224731256,0.6638343499123706,0.92471510763406,-0.45852186999843203,655.0,0.473298942756322,0.7395910523932334,8.908363828826463,0.10263533821195985,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.10077681224043969,0.06177564411831941,1.3010443151225646,0.05412883278236784,0.06253165966472495,0.24255448960083142,0.415481125112492
G00,G00__mom_12_1__top10__monthly__long_only,long_only,mom_12_1,10,monthly,base,20.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,3.8923055354603484,0.20621116996493005,0.3432738878515248,0.7189955579822771,0.6378212827342993,0.8874940489466009,-0.46802028682535224,657.0,0.4406030588197139,0.7395910523932335,8.908363828826465,0.19642387830431507,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.09185853788320898,0.05234740161011794,1.3009064196071263,0.04523192586789693,0.053630945560410814,0.24259929336393957,0.37864305624916145
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.0,True,,False,1.0,0.0,True,0,0,2134.0,0.7430984124323199,0.06781801847752833,0.2324177127112149,0.39959613537272476,0.2797295961586318,0.37949704533292383,-0.4371294867557014,1464.0,0.1551440031668003,0.7837357700246708,9.440086332105968,0.0,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0002335994042142011,0.5042943707644283,0.5045279701686426,1.0088223409330708,-0.0002335994042142011,0.0,2134.0,-0.06208064286177398,-0.0683923801087307,-0.008645038617957628,0.09421280191820953,0.06612697807152797,0.30245168993093186,-0.20525804592446076
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.01,True,,False,1.0,0.0,True,0,0,2134.0,0.6707236795841516,0.06248396264394995,0.23246805194695042,0.3780159516395497,0.2581721866560662,0.34995220968642016,-0.4433848643274033,1631.0,0.14092488867146055,0.7839349739398361,9.442485740463704,0.0,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0002344013530241452,0.5044052456035532,0.5046396469565774,1.0090448925601303,-0.0002344013530241452,0.038789556011002785,2134.0,-0.06707723077082493,-0.07304602611722377,-0.008675358041989387,0.08922091212102573,0.06113426959870754,0.3024940654000834,-0.22174726199043787
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,0.0,0.03,True,,False,1.0,0.0,True,0,0,2134.0,0.5366889934935679,0.05204322391590965,0.23256736279921775,0.3354887472428798,0.2156898761634837,0.2918759815551664,-0.4570816063136379,1660.0,0.11385980795779145,0.784328090981972,9.447220829709751,0.0,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0002359850404189573,0.5046239407624563,0.5048599258028753,1.0094838665653316,-0.0002359850404189573,0.11058244248514078,2134.0,-0.07693012945825377,-0.08215494878759083,-0.008735136446339374,0.07937727632825418,0.05128901974279552,0.3025776677659501,-0.25424919831744086
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.0,True,,False,1.0,0.0,True,0,0,2134.0,0.6747858254609622,0.06278869196058001,0.23241388424213352,0.3792828607352433,0.2594113880967943,0.35162411087810086,-0.4433304895681116,1631.0,0.1416295369663119,0.7837357700246708,9.440086332105968,0.03630980694396733,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.00023359940421420442,0.5042943707644283,0.5045279701686425,1.0088223409330708,-0.00023359940421420442,0.0,2134.0,-0.06680325976339757,-0.07278016793871146,-0.008695797932018268,0.08949805036836526,0.06141085966687286,0.30245492772504146,-0.22087013184367
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.01,True,,True,1.0,0.0,True,0,0,2134.0,0.6052311661701375,0.057478489825319556,0.23246421613416757,0.3577019639631384,0.23785325528454404,0.32212767312485496,-0.4503214189572362,1646.0,0.12763880953834417,0.7839349739398361,9.442485740463704,0.03559127718995386,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.00023440135302414436,0.5044052456035532,0.5046396469565774,1.0090448925601303,-0.00023440135302414436,0.03799769619116895,2134.0,-0.07180095599100042,-0.07741300301619355,-0.008726090388219252,0.08450504807386001,0.05641703948368259,0.30249729317726864,-0.23736065614618185
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,5.0,0.03,True,,False,1.0,0.0,True,0,0,2134.0,0.47642103729955854,0.0470844583873129,0.23256351202556289,0.3151733478013688,0.19536951253130103,0.26414663317052645,-0.46385172525750484,1660.0,0.10150756335157363,0.7843280909819721,9.447220829709753,0.03423186151715822,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.00023598504041895648,0.5046239407624563,0.5048599258028753,1.0094838665653316,-0.00023598504041895648,0.10835807433093128,2134.0,-0.08165604199180311,-0.08648117635797913,-0.008785815559350737,0.07465921671902179,0.04656959561914459,0.302580875415248,-0.26986517862287945
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,10.0,0.0,True,,False,1.0,0.0,True,0,0,2134.0,0.6091233471473734,0.0577809507176108,0.23241824311721587,0.358956271544687,0.2390840749666129,0.32378932323415993,-0.45026877362234197,1646.0,0.12832546714881443,0.7837357700246708,9.440086332105968,0.07121584174359569,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.00023359940421420193,0.5042943707644283,0.5045279701686425,1.0088223409330708,-0.00023359940421420193,0.0,2134.0,-0.07152587666502125,-0.07714912390280294,-0.00874655724607778,0.08478329881852076,0.05669474126221755,0.3024644567661097,-0.23647696469780885
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,10.0,0.01,True,,False,1.0,0.0,True,0,0,2134.0,0.5422799925746595,0.05249450530019972,0.23246856997135412,0.3373754200485384,0.21752597685379038,0.29434208162238484,-0.4571747527587495,1660.0,0.11482371890273871,0.7839349739398361,9.442485740463704,0.06981695296001085,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.00023440135302414604,0.5044052456035532,0.5046396469565774,1.0090448925601305,-0.00023440135302414604,0.03722735735981078,2134.0,-0.07652468121117503,-0.08176123265895761,-0.008776822734449739,0.07978918402669528,0.05169980936865862,0.30250681445493005,-0.252968454112548
G00,G00__mom_12_1__top10__monthly__long_short,long_short,mom_12_1,10,monthly,base,10.0,0.03,True,,False,1.0,0.0,True,0,0,2134.0,0.41849283867636466,0.04214699118978338,0.23256785545691921,0.29484688670009973,0.1750422958190683,0.23645779607661557,-0.4705405692585788,1662.0,0.08957142899749013,0.7843280909819721,9.447220829709753,0.06716996160786862,4.0,27.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0002359850404189598,0.5046239407624563,0.5048599258028753,1.0094838665653316,-0.0002359850404189598,0.10619374673767384,2134.0,-0.08638195452535223,-0.09078882240308087,-0.00883649467236265,0.06994115710978971,0.041850171495493964,0.30259038101585334,-0.285474886000512
