factor_id,frequency,state_id,state_bin,episode_id,start_signal,end_signal,observations,relative_log_contribution,episode_relative_mdd
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,3,2018-03-29,2018-03-29,1,-0.005399071929323656,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,5,2018-05-31,2018-05-31,1,-0.06089682862009079,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,7,2018-11-30,2018-12-31,2,-0.0570921890726943,-0.02627705068939934
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,9,2019-02-28,2019-02-28,1,0.033321052671379546,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,12,2019-06-28,2019-07-31,2,0.09071528788229427,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,14,2019-11-29,2019-11-29,1,-0.003299161508670573,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,17,2020-07-31,2020-07-31,1,0.0020285486380243536,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,22,2022-07-29,2022-07-29,1,0.07666553380055131,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,24,2022-09-30,2022-09-30,1,0.06502949071576418,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,27,2023-08-31,2023-08-31,1,-0.019560035740175098,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,29,2023-12-29,2024-02-29,3,0.08594822371445965,-0.01469252731749704
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,31,2024-04-30,2024-04-30,1,0.046558796412199094,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,33,2024-08-30,2024-08-30,1,0.045898154558737,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,35,2024-10-31,2024-11-29,2,0.07801000224217046,-0.012366187972967069
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,39,2025-12-31,2025-12-31,1,0.056311940059509125,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,41,2026-04-30,2026-04-30,1,0.12420641149665344,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,4,2018-04-30,2018-04-30,1,0.061806193160272443,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,8,2019-01-31,2019-01-31,1,0.003314903089105488,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,10,2019-03-29,2019-03-29,1,-0.03539613657530591,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,16,2020-06-30,2020-06-30,1,0.05675593784145445,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,19,2020-10-30,2021-05-28,8,-0.11770309789826885,-0.107197586784337
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,21,2022-01-31,2022-06-30,6,0.14370762918642033,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,25,2022-10-31,2023-02-28,5,-0.06816824513702201,-0.03857550714015545
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,34,2024-09-30,2024-09-30,1,0.029916838823930113,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,37,2025-03-31,2025-04-30,2,0.04999682233363155,0.0
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,40,2026-01-30,2026-03-31,3,0.1906138558410487,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,5,2019-04-30,2019-04-30,1,0.015660638152523318,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,10,2019-10-31,2019-12-31,3,0.009837086010041797,-0.003293725255342994
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,13,2020-08-31,2020-08-31,1,-0.014137230210468213,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,15,2020-11-30,2020-12-31,2,0.04464892304074569,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,17,2021-03-31,2021-03-31,1,-0.00246906790373308,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,19,2021-06-30,2021-06-30,1,-0.03611357666100191,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,21,2021-08-31,2021-08-31,1,0.0068022688708279586,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,23,2021-10-29,2021-10-29,1,0.004748270907881368,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,28,2023-06-30,2023-07-31,2,-0.003515530438067342,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,31,2023-11-30,2023-12-29,2,0.04860596913224058,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,33,2024-02-29,2024-03-28,2,-0.01905749629628976,-0.004246921000058523
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,36,2024-06-28,2024-06-28,1,-0.10488951531307031,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,38,2024-08-30,2024-09-30,2,0.07581499338266712,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,40,2024-11-29,2024-11-29,1,-0.01244328553678846,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,43,2025-06-30,2025-06-30,1,0.0007325924419264961,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,45,2025-09-30,2025-09-30,1,0.04976844416978557,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,48,2026-04-30,2026-04-30,1,0.12420641149665344,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,1,2017-12-29,2017-12-29,1,0.03186970647183359,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,3,2018-07-31,2018-09-28,3,-0.07013423143399351,-0.10588873685222788
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,7,2019-06-28,2019-07-31,2,0.09071528788229427,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,9,2019-09-30,2019-09-30,1,-0.0019338797123212396,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,12,2020-07-31,2020-07-31,1,0.0020285486380243536,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,18,2021-04-30,2021-05-28,2,-0.024776675374045973,-0.010789222366215934
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,20,2021-07-30,2021-07-30,1,0.010507408860970555,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,25,2021-12-31,2021-12-31,1,0.008603088495549742,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,27,2023-04-28,2023-05-31,2,0.03855931405089176,-0.0029344746764006224
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,29,2023-08-31,2023-08-31,1,-0.019560035740175098,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,32,2024-01-31,2024-01-31,1,0.04888464325531868,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,35,2024-05-31,2024-05-31,1,0.010697850496983081,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,37,2024-07-31,2024-07-31,1,0.01113892783781208,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,39,2024-10-31,2024-10-31,1,0.09045328777895892,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,41,2024-12-31,2025-02-28,3,-0.02402228114804497,-0.06035825289508667
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,44,2025-07-31,2025-08-29,2,-0.004273563508230896,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,46,2025-10-31,2026-02-27,5,0.07895813281747166,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,2,2018-01-31,2018-06-29,6,0.013267544892151532,-0.07685438419346124
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,4,2018-10-31,2019-03-29,6,-0.12052120624814971,-0.055493007870957456
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,6,2019-05-31,2019-05-31,1,-0.018246576486384572,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,8,2019-08-30,2019-08-30,1,-0.07575097914491666,0.0
