factor_id,frequency,state_id,state_bin,observations,calendar_years,episodes,mean_factor_return,mean_control_return,mean_active_return,active_ir,active_hit,mean_rank_ic,rank_ic_positive_fraction,relative_log_contribution,tail_mean,mean_factor_turnover,mean_factor_cost,mean_eligible_count,worst_episode_relative_mdd
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,low,52,9,10,0.01817751094511341,0.006138903419380805,0.012038607525732603,0.8392673284186308,0.5769230769230769,0.03632604031983709,0.5769230769230769,0.55187606071122,-0.07892670725750225,0.6558121510960947,0.0006671318000094188,497.36538461538464,-0.1254617354676143
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,mid,20,6,9,0.012208528233148214,0.012248488715478938,-3.996048233072536e-05,-0.002997414619064107,0.5,-0.028053942050101366,0.45,-0.012296776826296027,-0.06921403917631092,0.716264892523846,0.0005005940506131287,496.45,-0.0477827215391996
XS001_MOM_255_0,monthly,MKT_AVG_CORR63,high,29,6,7,0.025397213725974394,0.01603213395833136,0.009365079767643034,0.6570899247615744,0.5862068965517241,-0.010207882985634935,0.5172413793103449,0.2529757910345804,-0.0695744136548967,0.6527194912905353,0.0004515633147416781,496.3103448275862,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,low,49,8,14,0.002432526080260591,0.005607604139299135,-0.003175078059038544,-0.28135834736089443,0.5510204081632653,-0.008034778379475999,0.4897959183673469,-0.1575270849596145,-0.08058174833837367,0.7112299258984645,0.0006071041666857898,497.0204081632653,-0.16187991772125054
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,mid,23,9,17,0.03896911462170277,0.009278720396850525,0.029690394224852246,2.2032151908228443,0.6521739130434783,0.07935542624677124,0.6086956521739131,0.6352374592138526,-0.05894846802357101,0.6606124655839484,0.0005424546002748336,495.8695652173913,-0.02627705068939934
XS001_MOM_255_0,monthly,MKT_BREADTH_RSP63,high,29,9,10,0.03139437647000642,0.01865315396399208,0.01274122250601434,0.7460285384969204,0.5172413793103449,-0.013780138415011267,0.5517241379310345,0.3148447006652663,-0.06471181716153243,0.5969669612911651,0.0005370176126322808,497.44827586206895,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,low,24,7,17,0.011961566198887446,0.0034706432659200592,0.008490922932967387,0.7134593703934441,0.5833333333333334,0.00026522965826191136,0.4166666666666667,0.18819989524587427,-0.1038845635530814,0.7047045980766814,0.0006560840612656653,497.375,-0.004246921000058523
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,mid,29,9,17,0.016140763946594475,0.005223935413770447,0.01091682853282403,0.9392381299498708,0.6206896551724138,0.06690167598474606,0.6206896551724138,0.27771552966929697,-0.07016813712176645,0.6437814502592402,0.0006822421326757161,497.7241379310345,-0.10588873685222788
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,48,9,14,0.02439084559661626,0.016548647323490952,0.007842198273125307,0.47745705076703365,0.5208333333333334,-0.019055572214788194,0.5416666666666666,0.32663965000433315,-0.06963317361291606,0.6619546363237719,0.00046389648796436,496.125,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,22,8,17,-0.002328373494189265,-0.004977404241957236,0.0026490307477679705,0.20990401804692502,0.5909090909090909,0.06984306344023435,0.5909090909090909,0.038206229202272346,-0.08140694593220477,0.6892788930572397,0.000612690965776332,496.3636363636364,-0.10588873685222788
