factor_id,frequency,pair_id,left_state,right_state,left_bin,right_bin,observations,calendar_years,mean_active_return,active_ir,mean_rank_ic,relative_log_contribution
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,low,mid,28,6,0.005049936270209986,1.4438067611046053,-0.025940891381117274,0.13298323522001934
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,low,high,123,7,0.0015977221264102325,0.345529001614285,0.0076341832190190625,0.17211179974250862
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,mid,low,14,7,-0.0015343593032203229,-0.5717901543486276,0.00490327061556649,-0.023029763130406677
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,mid,mid,44,8,0.003465527384778917,0.7717301103250023,-0.010429397636429784,0.12221010910655192
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,mid,high,36,8,0.01087700465631123,3.0410219588538387,0.07534314961241557,0.372581148111512
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,high,low,68,9,0.0024861270355900373,0.8068208870432336,0.03719232880504205,0.14874623708493345
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,high,mid,72,7,0.0008673564396160685,0.2323815652482869,0.012003513387117361,0.023663405302553925
XS001_MOM_255_0,weekly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,high,high,49,8,-0.008456077163424454,-1.9294277505957391,-0.0760371174860887,-0.438506332855135
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,low,low,71,8,0.0013032717769872854,0.4132419795319456,0.03943678673825381,0.07272154731020114
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,low,mid,79,8,-0.00044352248430760597,-0.105415094474066,-0.028698011199368698,-0.08798107781503262
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,low,high,72,9,-0.0034050664744668963,-0.6888990258385552,-0.023646715991660777,-0.24602141634941332
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,mid,low,10,7,0.006191591777010108,2.548414945676343,0.02360556483333117,0.05983136780136379
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,mid,mid,26,7,0.0029137364963254895,1.0535673656711129,0.011656122525372804,0.07070647791199755
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,mid,high,40,8,0.0036249448669643386,0.9197352886443534,0.02072028028214918,0.12430339853034747
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,high,low,10,5,0.004609376418896138,2.5972527534265137,0.018916919903092126,0.045019959076888175
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,high,mid,39,6,0.00809262080780377,2.061066461904109,0.04213072328945357,0.29613134953216025
XS001_MOM_255_0,weekly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,high,high,96,9,0.0028532416630302876,0.6644097987838038,0.008325953180016318,0.22790463281795134
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,low,low,26,7,0.0014222765665373683,0.45414780888879425,-0.015984874221436733,0.026169407887738416
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,low,mid,4,2,0.0252275738323951,10.740637967809828,0.1871370677647749,0.09903164890463297
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,low,high,6,4,-0.0014953127776879034,-0.7338281264554882,-0.2334109000410163,-0.009845610353954877
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,mid,low,75,9,0.0022175417890418977,0.644451888990587,0.012348209437505014,0.13854123556767145
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,mid,mid,20,7,-0.0005099952784189787,-0.21500812524842522,0.006492108624198076,-0.014348349763392023
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,mid,high,31,6,-0.0029406228166571867,-0.6550886553102994,-0.04703818321508288,-0.10316231386719345
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,high,low,124,8,0.002175845949216355,0.4711773184838586,0.02312461048994703,0.18285902037401103
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,high,mid,78,7,0.003897761927114648,1.2614842584944403,0.025007408205904816,0.2704149039538748
XS001_MOM_255_0,weekly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,high,high,79,6,-0.0004694568134563525,-0.09741758531491627,-0.006563158257626001,-0.0270437038869245
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,low,low,3,3,0.014151023323282145,1.5927338593160076,0.02477897793091226,0.04052680284704162
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,low,mid,7,4,0.0006560943519301794,0.06501986656041882,-0.07135545760632002,-0.0025661410901823556
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,low,high,28,7,0.02044982020059073,1.2853091630670412,0.031201440980780096,0.5079865263830169
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,mid,low,3,3,-0.008244003185155094,-0.5001401540463545,0.05669919203576915,-0.026561043023564507
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,mid,mid,13,5,0.009842083096137228,0.6673435199752126,0.04888255844317911,0.11189368051258088
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,mid,high,3,3,-0.03134786847518726,-2.967699413979301,-0.19495992279882565,-0.09537562658422186
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,high,low,16,8,-0.0036576546610802355,-0.3097424953676018,0.07090429610037431,-0.07316991599445684
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,high,mid,16,7,0.012396250079589714,1.354758630055592,0.049034754001501146,0.18997960213848972
XS002_MOM_12_1,monthly,trend_x_volatility,MKT_TREND126,MKT_LOG_RV21,high,high,12,6,-0.009947996874020778,-0.8051737520191761,-0.1521834222254211,-0.116482441773069
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,low,low,16,7,-0.014867046123673629,-1.362920562922554,0.025346264767179327,-0.25061434534605964
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,low,mid,19,7,0.0009308902318493468,0.08546495712397512,0.004035215442268173,0.00690259315749614
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,low,high,14,7,-0.0029199789995581087,-0.30692444920985246,-0.09371616201469676,-0.04216799261469213
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,mid,low,5,4,0.036320599104923336,4.803353594384372,0.19746675772290095,0.17602713620985014
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,mid,mid,12,6,0.024643057703636173,1.9093410706743636,0.045250165965894235,0.2739002404590821
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,mid,high,6,3,0.028912583555488685,2.2189377856208923,0.025443059473728245,0.15728944953768775
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,high,low,1,1,0.01546832829125877,,-0.013970777383341052,0.015383052965229769
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,high,mid,5,4,0.003495227027591796,0.4877633917382577,0.060174007109456105,0.018504307944309958
XS002_MOM_12_1,monthly,breadth_x_volatility,MKT_BREADTH_RSP63,MKT_LOG_RV21,high,high,23,8,0.009851287059287424,0.5364858845973068,-0.01643793809896968,0.1810070011027304
XS002_MOM_12_1,monthly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,low,low,4,3,0.026868174007069145,3.7567879602852323,0.1268485174267327,0.10357126358138616
XS002_MOM_12_1,monthly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,low,mid,0,0,,,,0.0
XS002_MOM_12_1,monthly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,low,high,1,1,-0.025651179069206664,,-0.48377353966132075,-0.024417498966935056
XS002_MOM_12_1,monthly,dispersion_x_correlation,MKT_XS_DISP21,MKT_AVG_CORR63,mid,low,22,8,0.004163212506583999,0.25474987811626637,0.05269709881111318,0.044396232885151626
