episode_id,peak_date,first_10_date,trough_date,recovery_date,max_drawdown,source_builder,eligible_for_leave_one_out,replacement_allowed
E014,2000-03-24,2000-04-14,2002-10-09,2006-10-26,-0.4750257139180425,round4_diagnostics.build_drawdown_episodes,true,false
E017,2007-10-09,2008-01-08,2009-03-09,2012-08-16,-0.5520110457220229,round4_diagnostics.build_drawdown_episodes,true,false
E022,2015-07-20,2015-08-24,2016-02-11,2016-04-18,-0.13018165698347273,round4_diagnostics.build_drawdown_episodes,true,false
E024,2018-01-26,2018-02-08,2018-02-08,2018-08-06,-0.10101891269460828,round4_diagnostics.build_drawdown_episodes,true,false
E025,2018-09-20,2018-12-14,2018-12-24,2019-04-12,-0.1933875922421765,round4_diagnostics.build_drawdown_episodes,true,false
E028,2020-02-19,2020-02-27,2020-03-23,2020-08-10,-0.3369994047056152,round4_diagnostics.build_drawdown_episodes,true,false
