attack_arm_id,native_weeks,common_weeks,native_start,native_end,native_spearman_a4,spearman_a4,block4_95_lower_spearman,block4_one_sided_p,block8_spearman_a4,block8_95_lower_spearman,block8_one_sided_p_diagnostic,causal_diagnostic_weeks,top_fraction,positive_upside_capture,top_mean_a4,rest_mean_a4,top_median_a4,rest_median_a4,top_positive_rate,rest_positive_rate,b4_lift,auc_b4,top_median_w4,rest_median_w4,top_severe_w4_rate,rest_severe_w4_rate,bh_q_value,positive_rankic_year_fraction,family,display_name,preregistered_role,direct_eligible,conditional_eligible,context_only,minimum_leaveout_spearman,cost_bps_10,common_start_10,mean_daily_target_weight_10,dynamic_cagr_10,dynamic_sharpe_10,dynamic_mdd_10,dynamic_ann_vol_10,dynamic_beta_10,dynamic_turnover_10,dynamic_cost_10,static_cagr_10,static_mdd_10,active_terminal_wealth_10,active_terminal_wealth_20,positive_active_year_fraction,conditional_registered,conditional_common_weeks,conditional_high_weeks,conditional_low_weeks,conditional_cells_valid,conditional_a4_contrast,conditional_block95_lower,conditional_one_sided_p,conditional_w4_harm_veto,conditional_bh_q,binary_guardrail_pass,worst_path_harm_veto,reference_attack_positive,robust_direct_attack,economic_reference,conditional_role_pass,model_input_eligible,failed_routes
A4__RV21_LVL,883,883,2004-12-31,2021-11-26,-0.157501366257802,-0.157501366257802,-0.2482429817227198,0.997,-0.157501366257802,-0.2565899021224679,0.993,883,0.3544733861834654,0.2375656016215684,0.0048779255339753,0.0078070261430722,0.010706984062789,0.0175405434796509,0.6517571884984026,0.6701754385964912,0.9820846372766032,0.4857965318716171,-0.0127984883317632,-0.017807741647093,0.0894568690095846,0.1719298245614035,1.0,0.1176470588235294,realized_risk,Low SPY RV21,direct,True,False,False,-0.2401402204319978,10,2009-01-05,0.6661063569682152,0.0899026672896137,0.8678354952070932,-0.1840674445625503,0.105665023427396,0.5664369008300904,51.46535638427532,0.0927890641401479,0.106703486182013,-0.2359376389417599,-0.1801410541386782,-0.2188630856008355,0.3076923076923077,False,883,127,297,True,-0.0093346834526422,-0.0174537513061299,0.988,True,,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__RV126_LVL,883,883,2004-12-31,2021-11-26,-0.1500501062869611,-0.1500501062869611,-0.2408587388867462,0.995,-0.1500501062869611,-0.2494553699006618,0.988,883,0.2536806342015855,0.1785948108834441,0.0047117385343229,0.0074679304430912,0.0101989222586151,0.0157805272623756,0.6517857142857143,0.6676783004552352,0.9821276206728424,0.4811137541512968,-0.0125931289533318,-0.0166625900223517,0.09375,0.1593323216995447,1.0,0.2352941176470588,realized_risk,Low SPY RV126,direct,True,False,False,-0.20664091596985495,10,2009-01-05,0.5922982885085575,0.0781870145831973,0.797368607034361,-0.2151121291598173,0.1008208352475062,0.5455357267205033,12.864151901035882,0.0241490848330198,0.0955178507457559,-0.2120264693188442,-0.187019316659978,-0.1947985006463699,0.15384615384615385,False,883,44,380,False,-0.0029532692102076,-0.0119812664834951,0.7425,False,,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__RV_RATIO_LVL,883,883,2004-12-31,2021-11-26,-0.0270314589813623,-0.0270314589813623,-0.1119260241116652,0.689,-0.0270314589813623,-0.1189027722422332,0.679,883,0.3306908267270668,0.3264561192327865,0.0095901282582179,0.0053747515097898,0.0141853917357119,0.0137793964560265,0.684931506849315,0.6531302876480541,1.0320725606620225,0.5052918261109387,-0.0137851148039915,-0.0165302770408681,0.0890410958904109,0.1692047377326565,1.0,0.2352941176470588,realized_risk,Low RV21 over RV126,direct,True,False,False,-0.10845853524313251,10,2009-01-05,0.690403422982885,0.1059600887195486,0.8803462987558934,-0.2713169972047097,0.1230343810633519,0.6494503288250906,49.1211767529936,0.1042250710632084,0.1103746476467117,-0.2436812179048174,-0.0504094425898864,-0.0931992507767874,0.46153846153846156,False,883,184,240,True,-0.0004711752964496,-0.0072696688737671,0.434,True,,True,False,False,False,False,False,False,robust_direct|economic|conditional
A4__DOWNSIDE_VAR63_LVL,883,883,2004-12-31,2021-11-26,-0.1004048104127093,-0.1004048104127093,-0.1840516810488772,0.9725,-0.1004048104127093,-0.1886781216665662,0.9715,883,0.2366930917327293,0.1812030917638691,0.0041582434931708,0.0075782235958646,0.0119390800699986,0.0147920945689234,0.6555023923444976,0.6661721068249258,0.9877280075771184,0.4921685570149735,-0.0135478711808173,-0.0159437191031893,0.1004784688995215,0.1557863501483679,1.0,0.1176470588235294,realized_risk,Low downside variance share 63d,conditional,False,True,False,-0.17757084549887642,10,2009-01-05,0.6237775061124694,0.0929788213353963,0.9164310315081016,-0.201552885965118,0.1028079570218833,0.5539104564518628,41.558393175952965,0.0808886261447533,0.1002945755780801,-0.2222964575289462,-0.0829731324340063,-0.1174967212209213,0.38461538461538464,True,883,118,306,True,-0.0020329620353631,-0.0100402169193743,0.745,False,0.8939999999999999,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__RET21_LVL,883,883,2004-12-31,2021-11-26,-0.0664410376050411,-0.0664410376050411,-0.1480985603821414,0.8995,-0.0664410376050411,-0.1487607629270286,0.902,883,0.2480181200453001,0.2315601175924648,0.0073555602211635,0.0065751926283895,0.0136766017341256,0.0139619823783437,0.680365296803653,0.6581325301204819,1.0251920769242755,0.5000229829581365,-0.0121226563412265,-0.0158708933688718,0.136986301369863,0.144578313253012,1.0,0.2352941176470588,price_trend,Positive 21d total return,direct,True,False,False,-0.13553093538376876,10,2009-01-05,0.6405867970660146,0.096899581325901,0.8958435315022181,-0.1842674621205147,0.1100319594148938,0.5863284563759362,77.0368174765512,0.1470159312803975,0.1028416087954289,-0.2277365681093304,-0.0677428964534891,-0.1341633568480223,0.38461538461538464,False,883,140,284,True,-0.00166945757507,-0.0092665511562921,0.6995,True,,True,False,False,False,False,False,False,robust_direct|economic|conditional
A4__RET126_LVL,883,883,2004-12-31,2021-11-26,-0.0818727874458433,-0.0818727874458433,-0.1756999677840563,0.92,-0.0818727874458433,-0.1877578207395474,0.891,883,0.2310305775764439,0.1828567542040254,0.0013960608956896,0.0083829148320541,0.0114827367234472,0.015060492336882,0.6470588235294118,0.6686303387334315,0.9750050190724756,0.5130083543052826,-0.0170673702935765,-0.0149044890721493,0.1470588235294117,0.1413843888070692,1.0,0.0,price_trend,Positive 126d total return,direct,True,False,False,-0.1592219025635538,10,2009-01-05,0.6401283618581907,0.0852426527050906,0.7989852889142153,-0.2327886565094641,0.1099923118873906,0.5862614811481007,36.253994113057445,0.0630305043524156,0.1027721785040385,-0.2275886048699513,-0.1878352177372948,-0.2142756844944545,0.3076923076923077,False,883,143,281,True,-0.0062839235202894,-0.0145793387949975,0.9365,True,,False,True,False,False,False,False,False,robust_direct|economic|conditional
A4__SMA_GAP_LVL,883,883,2004-12-31,2021-11-26,-0.0245788009428006,-0.0245788009428006,-0.1172103820318834,0.656,-0.0245788009428006,-0.1298707984814534,0.6425,883,0.1800679501698754,0.1717705015764821,0.001804669554804,0.0078589131691596,0.0134085248480264,0.0140966064148245,0.6415094339622641,0.6685082872928176,0.9666430549294868,0.5206559336252169,-0.0225050536755019,-0.0145971008208218,0.1698113207547169,0.1367403314917127,1.0,0.1764705882352941,price_trend,Positive SMA50 over SMA200 gap,direct,True,False,False,-0.07253877126740756,10,2009-01-05,0.617359413202934,0.0764144024858231,0.6662258126503361,-0.3124212265609799,0.1217652232840271,0.6435972148802641,10.484541077240198,0.015619343896073,0.0993213963948485,-0.2202112857094926,-0.2392222355511658,-0.2447304461282521,0.23076923076923078,False,883,118,306,True,-0.004106959956402,-0.0143141377906478,0.7955,True,,False,True,False,False,False,False,False,robust_direct|economic|conditional
A4__DRAWDOWN252_LVL,883,883,2004-12-31,2021-11-26,-0.1981106440126777,-0.1981106440126777,-0.2851593025263518,1.0,-0.1981106440126777,-0.2989425056154707,0.999,883,0.3420158550396376,0.2139126743300088,0.0028803588000025,0.008789891972607,0.0081759000541317,0.0184218213391683,0.6423841059602649,0.6746987951807228,0.967961033383812,0.4768274324588318,-0.0126262020553264,-0.0170634566643306,0.0894039735099337,0.1703958691910499,1.0,0.0,price_path,Shallow drawdown from 252d high,direct,True,False,False,-0.29579014923917,10,2009-01-05,0.6749694376528117,0.0864435423156135,0.8641850888032533,-0.2017486171451632,0.1019854606782147,0.5506736038059883,80.53691364902826,0.1521227809031724,0.1080433057560439,-0.2387696228421206,-0.2255537539010597,-0.2833062333403524,0.3076923076923077,False,883,160,264,True,-0.0108138488892227,-0.018199076590279,0.9965,False,,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__SKEW63_LVL,883,883,2004-12-31,2021-11-26,0.0187614029844013,0.0187614029844013,-0.0628579099997293,0.3645,0.0187614029844013,-0.0717170598182615,0.3705,883,0.203850509626274,0.2087556211600809,0.0094520454477915,0.0060816890655519,0.015674560517047,0.0135409066495916,0.6833333333333333,0.6586059743954481,1.0296643913538113,0.4991898507256869,-0.0121528520463316,-0.0157802308882558,0.1388888888888889,0.1436699857752489,1.0,0.7647058823529411,tail_shape,Positive return skew 63d,conditional,False,True,False,-0.010542203884996219,10,2009-01-05,0.5967298288508558,0.1000788116152155,0.942327110468982,-0.20088976323315,0.1073608766633616,0.5743100686898568,25.626530975272843,0.0416308306778632,0.0961908319430007,-0.2134787460554715,0.0470437779486623,0.0238585514905562,0.5384615384615384,True,883,110,314,True,0.0041325586609435,-0.0039558862683506,0.1935,False,0.873,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__KURT126_LVL,883,883,2004-12-31,2021-11-26,-0.048620807326328,-0.048620807326328,-0.1398600197856798,0.808,-0.048620807326328,-0.1369705560656487,0.797,883,0.1245753114382786,0.0820818961156301,-0.0016842967332916,0.0079716277287807,0.0036080411293609,0.0150096626505343,0.5636363636363636,0.6778783958602846,0.8493018926466025,0.4857965318716172,-0.0149688248617036,-0.0154508278418066,0.1272727272727272,0.1448900388098318,1.0,0.5294117647058824,tail_shape,Low excess kurtosis 126d,conditional,False,True,False,-0.09622876010822874,10,2009-01-05,0.5424816625916871,0.0760828465381133,0.8081369775149099,-0.1812896165982168,0.0965334391144382,0.5281586712926332,12.00752017370522,0.0200046354015002,0.0879410314345168,-0.1955532640044616,-0.1326385264541543,-0.1401802674313336,0.23076923076923078,True,883,41,383,False,-0.007426506840099,-0.0183804848168494,0.9105,True,0.9105,False,False,False,False,False,False,False,robust_direct|economic|conditional
