process_id,frequency,top_k,cost_bps,periods,total_return,cagr,annualized_mean,annualized_volatility,sharpe_zero,max_drawdown,terminal_relative_wealth,annualized_relative_log,active_ir,mean_turnover,total_cost_return,period_endpoint_max_drawdown,invalid,invalid_reason
AB_RIDGE__ALL14_S5_NO_RSP,monthly,5,5,101,2.7194659071216227,0.1689067624727698,0.22460830463446357,0.4062115323721945,0.5529343377397381,-0.5710905643952696,0.5534777060642682,0.05233617017449119,0.33198020047233284,1.8736277532774857,0.09461820154051302,-0.4524083877206052,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,10,5,101,0.771910072024727,0.07033030723308031,0.12617267288653644,0.3444799958379881,0.366269955907328,-0.6223846838835553,-0.25994138331239236,-0.03576545158586085,0.01742394644234773,1.8132879747637245,0.09157104272556808,-0.5015111192046023,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,20,5,101,0.6751516540014926,0.0632130357589431,0.11271644490221905,0.31248139721046175,0.3607140966100536,-0.6062378867248238,-0.30035364922007046,-0.0424372615572399,-0.05168456420891309,1.744111947067739,0.08807765332692083,-0.5099428017575525,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,50,5,101,0.766959931965731,0.0699746032922357,0.10667747968109059,0.2713348923207778,0.39315798557516235,-0.5432852135364469,-0.2620088662294501,-0.03609783781958911,-0.11810945971867368,1.5473316690255916,0.07814024928579236,-0.47363283021295244,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,5,10,443,-0.561867044924937,-0.09232333814180294,-0.028325183237507257,0.3601780774776384,-0.0786421634427926,-0.7901874417254258,-0.8264421785058798,-0.20556368496847663,-0.6179951579333998,1.2974273261619609,0.5747603054897488,-0.7858064648335347,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,10,10,443,-0.3052222417236863,-0.04184529409563087,0.016020012685761822,0.33832538655708294,0.047350903367870366,-0.6857491502151709,-0.724777347259014,-0.15144264752532163,-0.5049042518714826,1.1794688217236737,0.5225046880235874,-0.675133741313577,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,20,10,443,-0.2601571535565611,-0.03475091840400801,0.013711232936697553,0.30796448968509127,0.0445221231536076,-0.6340346164955866,-0.7069256918719269,-0.14406571719986436,-0.6220192127449857,1.0707297057684382,0.47433325965541806,-0.5970267605642904,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,50,10,443,0.18775525956134942,0.020402613225555477,0.060742137923048625,0.2841583457419348,0.2137615834032657,-0.5482819572425516,-0.5294939288866449,-0.08849935363034388,-0.45438974178488917,0.8803150914793759,0.3899795855253635,-0.5265185014865794,False,
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,5,5,101,3.422802410526331,0.19320905130692423,0.23297661761912206,0.33899495245822653,0.6872568925575112,-0.4912005596044279,0.8472342843429896,0.0729136086005071,0.4915349963864512,1.702564838774589,0.08597952435811676,-0.428079644431997,False,
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,10,5,101,1.6986458827740396,0.12518842394271523,0.16152647255706765,0.29541407811222814,0.5467798745045033,-0.4671633767508523,0.12712048453641267,0.014217758810105757,0.2308946835664355,1.6109277300346732,0.08135185036675098,-0.4116140255362334,False,
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,20,5,101,1.4840707728362958,0.11416669962651005,0.1431274564979174,0.26434796653447784,0.5414358142197014,-0.43154862102612535,0.03750072248231473,0.00437402013754099,0.1570800628740992,1.5198182538691718,0.07675082182039315,-0.36156436920726553,False,
AB_RIDGE__ROLE5_S1_NO_RSP,monthly,50,5,101,1.1569646299852292,0.09563151939887482,0.11941064715541949,0.23693623281257714,0.5039779933104468,-0.40034903221312845,-0.09911891945682882,-0.01240182370257498,-0.03236493497876549,1.3822791454882175,0.06980509684715498,-0.32103883452950155,False,
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,5,10,443,4.222090108365887,0.21412007655530152,0.2343889067733622,0.28337397381082374,0.8271363231467288,-0.32136460633885167,1.0686291052876853,0.08532297569979302,0.4862007947727775,0.8152526529245393,0.36115692524557086,-0.3101170351492195,False,
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,10,10,443,2.070351455914636,0.14074050857715648,0.1619876325411545,0.24580365285292588,0.6590123078361171,-0.31335822334492025,0.2162598219039502,0.02298099856103787,0.21095795639358303,0.7356620700478195,0.32589829703118406,-0.3024244452960748,False,
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,20,10,443,2.415743083391228,0.15510453069722585,0.1700796936394783,0.22705825326690968,0.7490575268345238,-0.3318105580023002,0.3530799759982073,0.03549422075267265,0.3130477941737883,0.6577281637447329,0.2913735765389167,-0.31592032812086357,False,
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,50,10,443,2.381013842516994,0.15371972840423487,0.1646320431665375,0.20718481025774865,0.7946144457295238,-0.333160921194943,0.3393226648476637,0.03429464702713691,0.3631167349656507,0.5810132382882544,0.25738886456169663,-0.3185744572505744,False,
FO_RIDGE__ALL14,monthly,5,5,101,1.658524232873174,0.12318773212887901,0.18476312707407752,0.3560149268957043,0.5189757875747846,-0.6899543186997226,0.11036321609844468,0.012438081209014518,0.26243182206684323,1.7905115743793574,0.09042083450615755,-0.6158436009821799,False,
FO_RIDGE__ALL14,monthly,10,5,101,2.1805355130811566,0.14736870439544614,0.18942486053634522,0.31366423496737666,0.6039096569490836,-0.5701896469165199,0.3283872298592587,0.03373848680791447,0.3686284111346845,1.7322197778089068,0.08747709877934977,-0.4858972221082627,False,
FO_RIDGE__ALL14,monthly,20,5,101,1.292685105963813,0.10360382537931145,0.14353564860718082,0.2930286711261839,0.4898348276144335,-0.5326317306783973,-0.04243370202131769,-0.005151721142442368,0.14051639718043057,1.643426350001668,0.0829930306750842,-0.45512998743438327,False,
FO_RIDGE__ALL14,monthly,50,5,101,1.4558681351797,0.11265620788869835,0.14184886614563047,0.2597728592396873,0.5460496010276013,-0.4926691257408601,0.025721566564299803,0.003017386016004033,0.18685297619144348,1.4690526133553043,0.07418715697444285,-0.4117590422041685,False,
FO_RIDGE__ALL14,weekly,5,10,443,1.6124252778811345,0.11931733982060688,0.163080481330692,0.317120141863435,0.514254567282961,-0.5259399816461612,0.0348613013315584,0.004022359563948766,0.15482932858489154,1.0948109828234622,0.4850012653907938,-0.5152332667104196,False,
FO_RIDGE__ALL14,weekly,10,10,443,1.252410191961784,0.100004057322578,0.13291941914276378,0.2734204116418596,0.48613568513263955,-0.4072159301499745,-0.10775165049826607,-0.01338275362152275,0.03017538274037025,1.0084091418998808,0.4467252498616472,-0.39749451484007847,False,
FO_RIDGE__ALL14,weekly,20,10,443,1.484576893908617,0.11274415193590182,0.1395874239901164,0.25514061921561865,0.5470999655768313,-0.3777329032318575,-0.015783341457321964,-0.0018674484999173333,0.0796990932722668,0.9288837841275014,0.41149551636848314,-0.36358058366889123,False,
FO_RIDGE__ALL14,weekly,50,10,443,1.590705364048401,0.1182209475926832,0.13914965598014165,0.2328375977456413,0.5976253720507495,-0.34669498898767437,0.026257381256196144,0.0030423608556911083,0.09430811060429611,0.7865198087831524,0.34842827529093656,-0.3332591277505673,False,
FO_RIDGE__ROLE5,monthly,5,5,101,2.1087848906280695,0.14426239215306125,0.1880860822414961,0.3288063375597124,0.5720269373072501,-0.4893505598182575,0.29841975733486015,0.03102747965709904,0.3105270217496226,1.5817830285527175,0.07988004294191224,-0.4339813178416243,False,
FO_RIDGE__ROLE5,monthly,10,5,101,1.3922633722467581,0.10919271571061451,0.1458809940263301,0.29183192510019984,0.4998801758109301,-0.4724266743704767,-0.0008436940626747047,-0.00010028318885027697,0.1457815483644812,1.5154969818120017,0.07653259758150609,-0.41421688371563437,False,
FO_RIDGE__ROLE5,monthly,20,5,101,1.413036389871864,0.11033270761751002,0.1409251815235077,0.2688421168321336,0.5241930958738213,-0.4436291121469893,0.007832395616354626,0.0009269562337386263,0.14171981727411948,1.394512034657958,0.07042285775022689,-0.3777888388323254,False,
