process_id,frequency,prediction_rows,signal_dates,median_names,invalid_selected_total
UNI_RIDGE__XS007_ST_REV_21,monthly,50243,101,498.0,8
UNI_RIDGE__XS007_ST_REV_21,weekly,220395,443,498.0,52
UNI_RIDGE__XS015_MAX_21,monthly,50243,101,498.0,0
UNI_RIDGE__XS015_MAX_21,weekly,220395,443,498.0,52
UNI_RIDGE__XS018_AMIHUD_252,monthly,50140,101,498.0,0
UNI_RIDGE__XS018_AMIHUD_252,weekly,219950,443,498.0,4
UNI_RIDGE__XS019_PRICE_DELAY_52W,monthly,50243,101,498.0,4
UNI_RIDGE__XS019_PRICE_DELAY_52W,weekly,220395,443,498.0,8
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,monthly,50243,101,498.0,32
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,weekly,220395,443,498.0,88
UNI_RIDGE__XS032_GROSS_PROFIT_AT,monthly,28307,101,290.0,0
UNI_RIDGE__XS032_GROSS_PROFIT_AT,weekly,124262,443,290.0,16
UNI_RIDGE__XS041_ASSET_GROWTH,monthly,49560,101,491.0,4
UNI_RIDGE__XS041_ASSET_GROWTH,weekly,217415,443,491.0,8
UNI_RIDGE__XS056_CFO_ACCRUALS_PT,monthly,45944,101,470.0,0
UNI_RIDGE__XS056_CFO_ACCRUALS_PT,weekly,201825,443,470.0,24
