process_id,frequency,top_k,expected_periods,engine_periods,maximum_abs_label_proxy_difference,mean_abs_label_proxy_difference,identity_passed
RAW__XS001_MOM_255_0,weekly,10,443,443,4.0939474033052647e-16,1.1023448151596242e-16,True
RAW__XS001_MOM_255_0,weekly,20,443,443,0.0024185997355473943,7.1826035318425986e-06,True
RAW__XS001_MOM_255_0,weekly,50,443,443,0.002010985023069227,1.2181501376840845e-05,True
RAW__XS002_MOM_12_1,monthly,5,101,101,3.3306690738754696e-16,8.089651061238378e-17,True
RAW__XS002_MOM_12_1,monthly,10,101,101,4.666406150377611e-16,1.6099865527660986e-16,True
RAW__XS002_MOM_12_1,monthly,20,101,101,0.0034710885211367837,5.139841214759143e-05,True
RAW__XS002_MOM_12_1,monthly,50,101,101,0.0013884354084545553,2.8635925396806475e-05,True
RAW__XS002_MOM_12_1,weekly,5,443,443,3.7730235602495554e-16,1.0258553308543587e-16,True
RAW__XS002_MOM_12_1,weekly,10,443,443,4.991666802123262e-16,1.1409624812536394e-16,True
RAW__XS002_MOM_12_1,weekly,20,443,443,0.002991384337882791,8.46500041188378e-06,True
RAW__XS002_MOM_12_1,weekly,50,443,443,0.0017272877012149412,8.997279830405078e-06,True
RAW__XS003_MOM_12_7,monthly,5,101,101,4.436783717575235e-06,4.392855175388352e-08,True
RAW__XS003_MOM_12_7,monthly,10,101,101,2.218391858542154e-06,2.1964275999856335e-08,True
RAW__XS003_MOM_12_7,monthly,20,101,101,1.1091959294107223e-06,1.098213805665321e-08,True
RAW__XS003_MOM_12_7,monthly,50,101,101,0.000557005165344307,1.1474775337445613e-05,True
RAW__XS003_MOM_12_7,weekly,5,443,443,1.0655301012317542e-05,2.405259831830408e-08,True
RAW__XS003_MOM_12_7,weekly,10,443,443,5.327650506147495e-06,1.2026299245979502e-08,True
RAW__XS003_MOM_12_7,weekly,20,443,443,0.0013910370216404025,3.949692372154449e-06,True
RAW__XS003_MOM_12_7,weekly,50,443,443,0.004999450357599135,1.3641543989187021e-05,True
RAW__XS004_HIGH_52W,monthly,5,101,101,0.0019833690151044303,3.77297815235659e-05,True
RAW__XS004_HIGH_52W,monthly,10,101,101,0.0009916845075522603,3.743496690946298e-05,True
RAW__XS004_HIGH_52W,monthly,20,101,101,0.0034710885211367976,5.662378783656368e-05,True
RAW__XS004_HIGH_52W,monthly,50,101,101,0.0013884354084543749,5.025693687035953e-05,True
RAW__XS004_HIGH_52W,weekly,5,443,443,0.00998611343738103,4.9906131303113604e-05,True
RAW__XS004_HIGH_52W,weekly,10,443,443,0.00499305671869036,2.5818637675917064e-05,True
RAW__XS004_HIGH_52W,weekly,20,443,443,0.002496528359345381,1.5049936470485265e-05,True
RAW__XS004_HIGH_52W,weekly,50,443,443,0.005606156967593,2.529265331788877e-05,True
RAW__XS007_ST_REV_21,monthly,5,101,101,2.7755575615628914e-16,9.488593903993931e-17,True
RAW__XS007_ST_REV_21,monthly,10,101,101,4.440892098500626e-16,1.2333712159395496e-16,True
RAW__XS007_ST_REV_21,monthly,20,101,101,0.014130435536501354,0.00014049115974406438,True
RAW__XS007_ST_REV_21,monthly,50,101,101,0.005652174214600639,5.700913765434526e-05,True
RAW__XS007_ST_REV_21,weekly,5,443,443,0.00020008001600142593,4.5164789174759e-07,True
RAW__XS007_ST_REV_21,weekly,10,443,443,0.00010004000800085608,2.2582394598835043e-07,True
RAW__XS007_ST_REV_21,weekly,20,443,443,0.01865203761755528,0.00013568627027805904,True
RAW__XS007_ST_REV_21,weekly,50,443,443,0.022799362863123566,0.00013007502345399754,True
RAW__XS008_SAME_MONTH_5Y,monthly,5,101,101,4.996003610813204e-16,9.8879238130678e-17,True
RAW__XS008_SAME_MONTH_5Y,monthly,10,101,101,3.226585665316861e-16,1.1354065721167506e-16,True
RAW__XS008_SAME_MONTH_5Y,monthly,20,101,101,5.273559366969494e-16,1.6815707328375795e-16,True
RAW__XS008_SAME_MONTH_5Y,monthly,50,101,101,4.85722573273506e-16,1.5343929715914162e-16,True
