process_id,frequency,top_k,cost_bps,periods,total_return,cagr,annualized_mean,annualized_volatility,sharpe_zero,max_drawdown,terminal_relative_wealth,annualized_relative_log,active_ir,mean_turnover,total_cost_return,period_endpoint_max_drawdown,invalid,invalid_reason
AB_RIDGE__ALL14_S5_NO_RSP,monthly,5,0,101,3.0887661830170208,0.1821277948732838,0.2360661720914135,0.40659732144973176,0.5805895898421424,-0.5706612256208905,0.701642869277165,0.06315970432834002,0.3673332350224923,1.8736277532774857,0.0,-0.43994642424794916,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,5,5,101,2.7194659071216227,0.1689067624727698,0.22460830463446357,0.4062115323721945,0.5529343377397381,-0.5710905643952696,0.5534777060642682,0.05233617017449119,0.33198020047233284,1.8736277532774857,0.09461820154051302,-0.4524083877206052,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,5,10,101,2.3832163941469715,0.15582122800609977,0.21315043717751375,0.40582614562867525,0.5252259852487255,-0.5715199031696487,0.4180863351515547,0.04150197759359458,0.2965467586314381,1.8736277532774857,0.18923640308102604,-0.4646748689900345,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,5,20,101,1.7984047435104689,0.13005161576560598,0.19023470226361433,0.4050565837360492,0.46964969809644846,-0.572378580718407,0.18135598493486627,0.019801534870949475,0.2254386962105988,1.8736277532774857,0.3784728061620521,-0.4884229006576176,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,10,0,101,0.9419086971233277,0.0820442131789183,0.13714403092259217,0.3446730096571264,0.3978960553337792,-0.6220066905741294,-0.1918258615588182,-0.025304284254526625,0.06431861531968125,1.8132879747637245,0.0,-0.5000627004102874,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,10,5,101,0.771910072024727,0.07033030723308031,0.12617267288653644,0.3444799958379881,0.366269955907328,-0.6223846838835553,-0.25994138331239236,-0.03576545158586085,0.01742394644234773,1.8132879747637245,0.09157104272556808,-0.5015111192046023,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,10,10,101,0.6166568182532617,0.058732580331753326,0.11520131485048088,0.34428745675460753,0.33460793470786,-0.6227626771929812,-0.32237295061565985,-0.046236619846654295,-0.02951982894168884,1.8132879747637245,0.18314208545113617,-0.5075472240989731,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,10,20,101,0.3454258279629705,0.03588148464963181,0.09325859877836958,0.34390380598259873,0.27117640792579184,-0.6235186638118329,-0.4320239565645736,-0.0672090342416754,-0.12355217398441413,1.8132879747637245,0.36628417090227233,-0.523917022085747,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,20,0,101,0.8294597310498408,0.07440265242078659,0.12326387403662169,0.31265339727562785,0.39425087048696017,-0.6058977871502635,-0.23862432659976762,-0.03239149133145783,0.0031042156655381966,1.744111947067739,0.0,-0.5090285589071151,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,20,5,101,0.6751516540014926,0.0632130357589431,0.11271644490221905,0.31248139721046175,0.3607140966100536,-0.6062378867248238,-0.30035364922007046,-0.0424372615572399,-0.05168456420891309,1.744111947067739,0.08807765332692083,-0.5099428017575525,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,20,10,101,0.5337380593449759,0.0521301085212158,0.10216901576781656,0.31231011353124616,0.3271396325037508,-0.6065779862993841,-0.3571286225079433,-0.05249234967430873,-0.10652767232895938,1.744111947067739,0.17615530665384166,-0.5110423569754468,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,20,20,101,0.28541226047802293,0.030280635511539478,0.08107415749901135,0.3119697000456218,0.2598783070508297,-0.6072581854485044,-0.4573588861490261,-0.0726305476864892,-0.21637123252993318,1.744111947067739,0.3523106133076833,-0.5197196147774357,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,50,0,101,0.9106285742633995,0.07995853583143275,0.11604830647418213,0.27151799053937437,0.42740558827667546,-0.5430081216064327,-0.20484387130361392,-0.027233678650945115,-0.05030774890008436,1.5473316690255916,0.0,-0.4727862659799005,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,50,5,101,0.766959931965731,0.0699746032922357,0.10667747968109059,0.2713348923207778,0.39315798557516235,-0.5432852135364469,-0.2620088662294501,-0.03609783781958911,-0.11810945971867368,1.5473316690255916,0.07814024928579236,-0.47363283021295244,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,50,10,101,0.6339912553257534,0.06007502143843246,0.09730665288799892,0.27115293070303215,0.3588626264732118,-0.5435623054664611,-0.31510716401608685,-0.04496945308249038,-0.18601358644976485,1.5473316690255916,0.15628049857158471,-0.47447875510566606,False,
AB_RIDGE__ALL14_S5_NO_RSP,monthly,50,20,101,0.39705459760935,0.040526331026328855,0.07856499930181565,0.27079242642078205,0.29012997276273217,-0.5441164893264892,-0.41022869761998704,-0.06273510181928828,-0.32211205446854546,1.5473316690255916,0.31256099714316943,-0.47616868687007785,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,5,0,443,-0.22123250892874358,-0.028923850878042057,0.03920485457217106,0.36072229108004183,0.10868431350551543,-0.7494376147471524,-0.6955903976367033,-0.13961132647954194,-0.35597981068682294,1.2974273261619609,0.0,-0.7384862866539423,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,5,5,443,-0.41581075306379667,-0.061146760960215873,0.005439835667331787,0.36044552931060775,0.015091977081075408,-0.761564882286045,-0.770121749031863,-0.1725749065440894,-0.48692252365309346,1.2974273261619609,0.2873801527448744,-0.751392456973957,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,5,10,443,-0.561867044924937,-0.09232333814180294,-0.028325183237507257,0.3601780774776384,-0.0786421634427926,-0.7901874417254258,-0.8264421785058798,-0.20556368496847663,-0.6179951579333998,1.2974273261619609,0.5747603054897488,-0.7858064648335347,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,5,20,443,-0.7537195787860368,-0.15166939825762704,-0.09585522104718489,0.359671185972683,-0.2665079238637289,-0.8477674274434789,-0.9011318283466143,-0.2716170013884514,-0.8804456811382878,1.2974273261619609,1.1495206109794975,-0.8506160998676147,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,10,0,443,0.17198239854240827,0.018802636408471907,0.07746394642048243,0.3387770428405011,0.22865760256651474,-0.6521447280412866,-0.5418880474500516,-0.09163288423592346,-0.23343451075158567,1.1794688217236737,0.0,-0.6055643108680019,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,10,5,443,-0.09755220696369038,-0.011976263769130968,0.04674197955312228,0.33854714976902284,0.13806638036980212,-0.6693676246949568,-0.6448871297422274,-0.1215273566002624,-0.3690927149399658,1.1794688217236737,0.2612523440117937,-0.6250934819286776,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,10,10,443,-0.3052222417236863,-0.04184529409563087,0.016020012685761822,0.33832538655708294,0.047350903367870366,-0.6857491502151709,-0.724777347259014,-0.15144264752532163,-0.5049042518714826,1.1794688217236737,0.5225046880235874,-0.675133741313577,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,10,20,443,-0.5884130928331278,-0.09895823363112999,-0.04542392104895892,0.3379063131511871,-0.1344275595958907,-0.7707122261268703,-0.8347702802054752,-0.2113358096454439,-0.7768939580631875,1.1794688217236737,1.0450093760471748,-0.7671200691876547,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,20,0,443,0.18923159100143128,0.020551408789265313,0.06948283812757965,0.3083799896309972,0.22531565102755774,-0.6078653891937174,-0.5351455731201107,-0.08991785803578653,-0.32527558030567094,1.0707297057684382,0.0,-0.5735887698252189,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,20,5,443,-0.06193132703381243,-0.007476359496684126,0.041597035532138546,0.3081686662315197,0.13498139197866307,-0.610285989660594,-0.630870326764133,-0.11698324716012534,-0.47355847544548796,1.0707297057684382,0.23716662982770903,-0.574635417159993,False,
AB_RIDGE__ALL14_S5_NO_RSP,weekly,20,10,443,-0.2601571535565611,-0.03475091840400801,0.013711232936697553,0.30796448968509127,0.0445221231536076,-0.6340346164955866,-0.7069256918719269,-0.14406571719986436,-0.6220192127449857,1.0707297057684382,0.47433325965541806,-0.5970267605642904,False,
