process_id,frequency,window_type,window_id,periods,relative_log_sum,active_mean
FO_RIDGE__ALL14,weekly,calendar_year,2022,52,-0.018262453624047315,0.00013667008813066415
FO_RIDGE__ALL14,weekly,calendar_year,2023,52,-0.12835138029658588,-0.002240462019028711
FO_RIDGE__ALL14,weekly,calendar_year,2024,53,-0.03191067247870913,-0.0001660425345019871
FO_RIDGE__ALL14,weekly,calendar_year,2025,52,0.03125961466864241,0.001332208575486427
FO_RIDGE__ALL14,weekly,calendar_year,2026,25,0.14582286558949017,0.006379044754065091
FO_RIDGE__ROLE5,monthly,calendar_year,2018,12,-0.05026941871962778,-0.004021130875676414
FO_RIDGE__ROLE5,monthly,calendar_year,2019,12,-0.029357552402227823,-0.0017501516430964887
FO_RIDGE__ROLE5,monthly,calendar_year,2020,12,0.05415104206389261,0.007546296096935061
FO_RIDGE__ROLE5,monthly,calendar_year,2021,12,0.06069250911656751,0.006896779671446594
FO_RIDGE__ROLE5,monthly,calendar_year,2022,12,-0.08671479809905219,-0.006201577959988797
FO_RIDGE__ROLE5,monthly,calendar_year,2023,12,-0.012331754604873083,0.0025447300234112125
FO_RIDGE__ROLE5,monthly,calendar_year,2024,12,-0.24272653259950866,-0.020204430729214202
FO_RIDGE__ROLE5,monthly,calendar_year,2025,12,0.07961941470223421,0.007403795753730412
FO_RIDGE__ROLE5,monthly,calendar_year,2026,5,0.23473897217656195,0.05010665525247906
FO_RIDGE__ROLE5,weekly,calendar_year,2018,53,0.04086114212881917,0.000904542331581699
FO_RIDGE__ROLE5,weekly,calendar_year,2019,52,-0.05293748538359685,-0.0009980259529723278
FO_RIDGE__ROLE5,weekly,calendar_year,2020,52,-0.049867495593848114,-0.001447562880443458
FO_RIDGE__ROLE5,weekly,calendar_year,2021,52,0.021211105911314893,0.0005267904541585604
FO_RIDGE__ROLE5,weekly,calendar_year,2022,52,0.12766613438429297,0.0026519050631414252
FO_RIDGE__ROLE5,weekly,calendar_year,2023,52,-0.11103228917047184,-0.0019323098334071741
FO_RIDGE__ROLE5,weekly,calendar_year,2024,53,0.12268442443209715,0.002479084550283224
FO_RIDGE__ROLE5,weekly,calendar_year,2025,52,0.033956546494920706,0.0011146487034562934
FO_RIDGE__ROLE5,weekly,calendar_year,2026,25,0.15456977803794036,0.006620516949333641
FS_RIDGE__ALL14_S6,monthly,calendar_year,2018,12,0.061905260785362,0.005858560777846846
FS_RIDGE__ALL14_S6,monthly,calendar_year,2019,12,0.013556896389157157,0.0018683195477522767
FS_RIDGE__ALL14_S6,monthly,calendar_year,2020,12,0.2268889599685019,0.03292524508418879
FS_RIDGE__ALL14_S6,monthly,calendar_year,2021,12,0.27092589987830046,0.025602567372118506
FS_RIDGE__ALL14_S6,monthly,calendar_year,2022,12,-0.11992123068725229,-0.007685529393514644
FS_RIDGE__ALL14_S6,monthly,calendar_year,2023,12,-0.1302761084773686,-0.010631309539991612
FS_RIDGE__ALL14_S6,monthly,calendar_year,2024,12,0.06164950782750281,0.005467777238603255
FS_RIDGE__ALL14_S6,monthly,calendar_year,2025,12,0.002757464560211623,0.0006175306217148605
