process_id,frequency,period,periods,relative_log_sum,active_mean
RAW__XS004_HIGH_52W,weekly,2018_2021,209,-0.7250208096418974,-0.0036832852874439056
RAW__XS004_HIGH_52W,weekly,2022_2026h1,234,-0.3801499558019801,-0.0016293670746751604
RAW__XS004_HIGH_52W,weekly,full,443,-1.1051707654438776,-0.002598371378216171
RAW__XS007_ST_REV_21,monthly,2018_2021,48,0.3091493529113915,0.012042424138444264
RAW__XS007_ST_REV_21,monthly,2022_2026h1,53,-0.48617515526129595,-0.007800383961497538
RAW__XS007_ST_REV_21,monthly,full,101,-0.17702580234990445,0.00162986147213817
RAW__XS007_ST_REV_21,weekly,2018_2021,209,0.3294849394483664,0.002787749046275809
RAW__XS007_ST_REV_21,weekly,2022_2026h1,234,-0.3766539664991684,-0.0011505869886109694
RAW__XS007_ST_REV_21,weekly,full,443,-0.04716902705080189,0.0007074541655455468
RAW__XS008_SAME_MONTH_5Y,monthly,2018_2021,48,0.03234668476560118,0.002915275822864422
RAW__XS008_SAME_MONTH_5Y,monthly,2022_2026h1,53,-0.20408966768656214,-0.0022590571100674366
RAW__XS008_SAME_MONTH_5Y,monthly,full,101,-0.17174298292096105,0.00020003180855364467
RAW__XS008_SAME_MONTH_5Y,weekly,2018_2021,209,-0.1721337191546192,-0.00045077198708760516
RAW__XS008_SAME_MONTH_5Y,weekly,2022_2026h1,234,-0.43257165968366895,-0.0014847977538920872
RAW__XS008_SAME_MONTH_5Y,weekly,full,443,-0.6047053788382881,-0.0009969616697789116
RAW__XS013_LOW_BETA_FP,monthly,2018_2021,48,-0.17461774791587445,-0.004891756383459507
RAW__XS013_LOW_BETA_FP,monthly,2022_2026h1,53,-0.3485248692709729,-0.006958705828855881
RAW__XS013_LOW_BETA_FP,monthly,full,101,-0.5231426171868474,-0.0059763932211427525
RAW__XS013_LOW_BETA_FP,weekly,2018_2021,209,-0.21189540441809737,-0.001212304106777049
RAW__XS013_LOW_BETA_FP,weekly,2022_2026h1,234,-0.3527716693522481,-0.0015898409056435197
RAW__XS013_LOW_BETA_FP,weekly,full,443,-0.5646670737703454,-0.0014117253504220923
RAW__XS015_MAX_21,monthly,2018_2021,48,-0.21380461721224137,-0.005316822493890487
RAW__XS015_MAX_21,monthly,2022_2026h1,53,-0.22477178386466973,-0.004681290775179205
RAW__XS015_MAX_21,monthly,full,101,-0.4385764010769111,-0.0049833256513984285
RAW__XS015_MAX_21,weekly,2018_2021,209,-0.2853185807534967,-0.0014907821865346625
RAW__XS015_MAX_21,weekly,2022_2026h1,234,-0.37176143176143683,-0.0016956052102923983
RAW__XS015_MAX_21,weekly,full,443,-0.6570800125149334,-0.0015989731291064686
RAW__XS018_AMIHUD_252,monthly,2018_2021,48,-0.19106319713653372,-0.0015455743256069267
RAW__XS018_AMIHUD_252,monthly,2022_2026h1,53,-0.2970013004490748,-0.004974730428000011
RAW__XS018_AMIHUD_252,monthly,full,101,-0.4880644975856085,-0.003345032478347852
RAW__XS018_AMIHUD_252,weekly,2018_2021,209,-0.1937768416368149,-0.00046108534108659687
RAW__XS018_AMIHUD_252,weekly,2022_2026h1,234,-0.22561359442401097,-0.0008099122345577778
RAW__XS018_AMIHUD_252,weekly,full,443,-0.41939043606082593,-0.0006453415331232929
RAW__XS019_PRICE_DELAY_52W,monthly,2018_2021,48,-0.16484341421085577,-0.0046630946372161405
RAW__XS019_PRICE_DELAY_52W,monthly,2022_2026h1,53,-0.2320404588509409,-0.004689220265726431
RAW__XS019_PRICE_DELAY_52W,monthly,full,101,-0.39688387306179673,-0.0046768041254443135
RAW__XS019_PRICE_DELAY_52W,weekly,2018_2021,209,-0.1058149143678154,-0.0007379124767746741
RAW__XS019_PRICE_DELAY_52W,weekly,2022_2026h1,234,-0.26642975697418614,-0.0012256459818368079
RAW__XS019_PRICE_DELAY_52W,weekly,full,443,-0.3722446713420016,-0.000995541461389887
RAW__XS020_VOLUME_SHOCK_50D,monthly,2018_2021,48,0.18059656818964315,0.003729193696627775
RAW__XS020_VOLUME_SHOCK_50D,monthly,2022_2026h1,53,-0.14715377867584511,-0.002667549144078225
RAW__XS020_VOLUME_SHOCK_50D,monthly,full,101,0.033442789513798074,0.0003724870574454186
RAW__XS020_VOLUME_SHOCK_50D,weekly,2018_2021,209,-0.4294981097123016,-0.0018456404513916048
RAW__XS020_VOLUME_SHOCK_50D,weekly,2022_2026h1,234,-0.10055393428463313,-0.0003890715981094244
RAW__XS020_VOLUME_SHOCK_50D,weekly,full,443,-0.5300520439969347,-0.0010762564521409723
RAW__XS032_GROSS_PROFIT_AT,monthly,2018_2021,48,0.10162116458599393,0.0021985551834972777
RAW__XS032_GROSS_PROFIT_AT,monthly,2022_2026h1,53,-0.1424638555536455,-0.0023813761308180323
RAW__XS032_GROSS_PROFIT_AT,monthly,full,101,-0.040842690967651606,-0.00020477511015333063
RAW__XS032_GROSS_PROFIT_AT,weekly,2018_2021,209,0.10049694196661929,0.0005153906685060509
RAW__XS032_GROSS_PROFIT_AT,weekly,2022_2026h1,234,-0.14545747800464115,-0.0005823402481167643
RAW__XS032_GROSS_PROFIT_AT,weekly,full,443,-0.044960536038021845,-6.444913846852875e-05
RAW__XS041_ASSET_GROWTH,monthly,2018_2021,48,-0.01093634126671792,0.0016050485177670191
RAW__XS041_ASSET_GROWTH,monthly,2022_2026h1,53,0.4029732947455217,0.008139672529116992
RAW__XS041_ASSET_GROWTH,monthly,full,101,0.3920369534788038,0.005034108642534827
RAW__XS041_ASSET_GROWTH,weekly,2018_2021,209,-0.0180192931783875,0.0002953684931383438
