factor_id,frequency,pair_id,outcome,interaction_sign,bh_q,sample_gate_passed,leave_one_year_out_estimable,leave_one_year_out_direction_fraction,maximum_single_year_absolute_contribution_fraction,topk_widths_same_direction,top20_same_direction,twenty_bps_same_direction,base_stability_passed,replicated,context_label
XS004_HIGH_52W,monthly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.7128154183973678,3,True,True,False,False,none
XS004_HIGH_52W,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.7577923125719056,3,True,True,False,False,none
XS004_HIGH_52W,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.2361905637536447,3,True,True,False,False,none
XS004_HIGH_52W,weekly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3204920069309786,3,True,True,False,False,none
XS004_HIGH_52W,weekly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.457124716505259,3,True,True,False,False,none
XS004_HIGH_52W,weekly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.4024440486507323,3,True,True,False,False,none
XS004_HIGH_52W,weekly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.2135258565180348,2,True,True,False,False,none
XS004_HIGH_52W,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.38221657540675463,3,True,True,False,False,none
XS007_ST_REV_21,monthly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.325489334202187,3,True,True,False,False,none
XS007_ST_REV_21,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.32670558733969307,3,True,True,False,False,none
XS007_ST_REV_21,monthly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.5619265288506528,3,True,True,False,False,none
XS007_ST_REV_21,monthly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.3716043122135284,3,True,True,False,False,none
XS007_ST_REV_21,monthly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.730656506267429,3,True,True,False,False,none
XS007_ST_REV_21,monthly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.6237661076151355,3,True,True,False,False,none
XS007_ST_REV_21,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.42355887655099084,1,True,False,False,False,none
XS007_ST_REV_21,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.4747681673353357,3,True,True,False,False,none
XS007_ST_REV_21,weekly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.2842233342285945,3,True,True,False,False,none
XS007_ST_REV_21,weekly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.4085812716196272,3,True,True,False,False,none
XS007_ST_REV_21,weekly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.35772546918139525,3,True,True,False,False,none
XS007_ST_REV_21,weekly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.40393764446547964,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,monthly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.3425647601999844,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.26523441065712317,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,monthly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.2196525613813203,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,monthly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.4632482873257914,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,monthly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.46733319272186147,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,monthly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.34431829685349374,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,weekly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.3659313884898937,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.379884668395971,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,weekly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.2622119885925665,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,weekly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.1917178357328279,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,weekly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.31879389654990387,3,True,True,False,False,none
XS008_SAME_MONTH_5Y,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.4911613515229396,3,True,True,False,False,none
