frequency,factor_left,factor_right,median_date_score_spearman,median_top20_jaccard,active_return_pearson,active_return_spearman,thresholds_exceeded,empirically_redundant
weekly,XS001_MOM_255_0,XS002_MOM_12_1,0.9499139366221233,0.6666666666666666,0.9410632739528982,0.92238208198904,3,True
weekly,XS001_MOM_255_0,XS003_MOM_12_7,0.7094759201562321,0.2903225806451613,0.740662150529264,0.7196266519729541,1,False
weekly,XS001_MOM_255_0,XS004_HIGH_52W,0.7500541682092164,0.05263157894736842,0.35807859056062924,0.25515119626127464,0,False
weekly,XS001_MOM_255_0,XS007_ST_REV_21,-0.281464990338049,0.0,-0.20681972071654,-0.017332792993395837,0,False
weekly,XS001_MOM_255_0,XS008_SAME_MONTH_5Y,0.09396234778238174,0.05263157894736842,0.2510663002966177,0.2691429823948746,0,False
weekly,XS001_MOM_255_0,XS013_LOW_BETA_FP,0.048410754056633774,0.0,-0.09511347799616697,-0.20570636518053864,0,False
weekly,XS001_MOM_255_0,XS015_MAX_21,0.05044765053123872,0.0,0.005548887804342196,-0.1306073496353672,0,False
weekly,XS001_MOM_255_0,XS018_AMIHUD_252,-0.14933422627652523,0.0,-0.324311505342578,-0.2194022158170346,0,False
weekly,XS001_MOM_255_0,XS019_PRICE_DELAY_52W,-0.07027355916652582,0.02564102564102564,0.06718184603940788,-0.04148659552988328,0,False
weekly,XS001_MOM_255_0,XS020_VOLUME_SHOCK_50D,-0.02623435190332508,0.02564102564102564,-0.12950361043272576,-0.042767924456943184,0,False
weekly,XS001_MOM_255_0,XS032_GROSS_PROFIT_AT,0.0563508348351559,0.02564102564102564,-0.03488085434645194,-0.05719050102266144,0,False
weekly,XS001_MOM_255_0,XS041_ASSET_GROWTH,-0.0788883215878631,0.02564102564102564,-0.005060205313661056,0.0017246800542511603,0,False
weekly,XS001_MOM_255_0,XS056_CFO_ACCRUALS_PT,0.04055884389202588,0.05263157894736842,0.26303731986827594,0.3530346225207466,0,False
weekly,XS002_MOM_12_1,XS003_MOM_12_7,0.7355321694399984,0.3333333333333333,0.781718015236136,0.7610055844022118,1,False
weekly,XS002_MOM_12_1,XS004_HIGH_52W,0.6367347160883672,0.02564102564102564,0.20451297967765214,0.1496870454512202,0,False
weekly,XS002_MOM_12_1,XS007_ST_REV_21,-0.03035368781075962,0.02564102564102564,-0.06626092292630223,0.06920087201590323,0,False
weekly,XS002_MOM_12_1,XS008_SAME_MONTH_5Y,0.08065666456465954,0.08108108108108109,0.281015075663878,0.27214043353998213,0,False
weekly,XS002_MOM_12_1,XS013_LOW_BETA_FP,0.0554094852595534,0.0,-0.1602293987942882,-0.23799922206508323,0,False
weekly,XS002_MOM_12_1,XS015_MAX_21,0.1328499766982026,0.0,-0.013534838569471179,-0.13548531627140048,0,False
weekly,XS002_MOM_12_1,XS018_AMIHUD_252,-0.14606134039672763,0.0,-0.3133996860038965,-0.2203791894404031,0,False
weekly,XS002_MOM_12_1,XS019_PRICE_DELAY_52W,-0.07692647946495398,0.02564102564102564,-0.006619574193667098,-0.06663655780638919,0,False
weekly,XS002_MOM_12_1,XS020_VOLUME_SHOCK_50D,-0.00025161139311893996,0.02564102564102564,-0.09778153937797683,-0.047476804813147935,0,False
weekly,XS002_MOM_12_1,XS032_GROSS_PROFIT_AT,0.05381609476893704,0.02564102564102564,0.03880101293495454,-0.004024805578384121,0,False
weekly,XS002_MOM_12_1,XS041_ASSET_GROWTH,-0.07792110904033,0.02564102564102564,-0.017134204777185746,-0.024964036383502593,0,False
